<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YCAP.B,D,20240321,000000,98.09,98.09,97.84,97.84,0,0
10YCAP.B,D,20240322,000000,97.84,98.38,97.84,98.38,0,0
10YCAP.B,D,20240325,000000,98.38,98.46,98.11,98.11,0,0
10YCAP.B,D,20240326,000000,98.05,98.05,97.7,97.7,0,0
10YCAP.B,D,20240327,000000,97.99,98.12,97.99,98.12,0,0
10YCAP.B,D,20240328,000000,98.47,98.47,98.47,98.47,0,0
10YCAP.B,D,20240401,000000,95.99,95.99,94.92,94.92,0,0
10YCAP.B,D,20240402,000000,94.92,95.03,94.7,94.7,0,0
10YCAP.B,D,20240403,000000,94.86,94.86,94.67,94.67,0,0
10YCAP.B,D,20240404,000000,95.03,95.15,95.03,95.15,0,0
10YCAP.B,D,20240405,000000,95.36,95.54,95.36,95.54,0,0
10YCAP.B,D,20240408,000000,95.54,95.54,94.97,94.97,0,0
10YCAP.B,D,20240409,000000,94.76,95.11,94.76,95.11,0,0
10YCAP.B,D,20240410,000000,95.29,95.29,94.57,94.57,0,0
10YCAP.B,D,20240411,000000,94.17,94.17,93.99,93.99,0,0
10YCAP.B,D,20240412,000000,93.88,93.88,93.88,93.88,0,0
10YCAP.B,D,20240415,000000,93.88,94.55,93.73,93.73,0,0
10YCAP.B,D,20240416,000000,93.82,93.86,93.82,93.86,0,0
10YCAP.B,D,20240417,000000,93.92,93.94,93.92,93.94,0,0
10YCAP.B,D,20240418,000000,94.14,94.14,93.87,93.87,0,0
10YCAP.B,D,20240419,000000,93.74,93.97,93.74,93.97,0,0
10YCAP.B,D,20240422,000000,93.97,93.97,93.65,93.65,0,0
10YCAP.B,D,20240423,000000,93.75,93.81,93.75,93.81,0,0
10YCAP.B,D,20240424,000000,93.66,93.66,93.35,93.35,0,0
10YCAP.B,D,20240425,000000,93.37,93.37,92.93,92.93,0,0
10YCAP.B,D,20240426,000000,92.82,93.24,92.82,93.24,0,0
10YCAP.B,D,20240429,000000,93.24,93.61,93.24,93.61,0,0
10YCAP.B,D,20240430,000000,93.76,93.76,93.33,93.33,0,0
10YCAP.B,D,20240501,000000,93.24,93.24,93.24,93.24,0,0
10YCAP.B,D,20240502,000000,93.24,93.76,93.24,93.76,0,0
10YCAP.B,D,20240503,000000,93.87,94.1,93.87,94.1,0,0
10YCAP.B,D,20240506,000000,94.1,94.15,94.1,94.15,0,0
10YCAP.B,D,20240507,000000,94.91,95.26,94.91,95.26,0,0
10YCAP.B,D,20240508,000000,95.13,95.13,94.76,94.76,0,0
10YCAP.B,D,20240509,000000,94.74,94.74,94.63,94.63,0,0
10YCAP.B,D,20240510,000000,94.77,94.77,94.3,94.3,0,0
10YCAP.B,D,20240513,000000,94.3,94.35,94.3,94.35,0,0
10YCAP.B,D,20240514,000000,94.32,94.32,94.22,94.22,0,0
10YCAP.B,D,20240515,000000,94.33,95.08,94.33,95.08,0,0
10YCAP.B,D,20240516,000000,95.08,95.3,95.08,95.25,0,0
10YCAP.B,D,20240517,000000,95.32,95.32,95.04,95.04,0,0
10YCAP.B,D,20240521,000000,94.85,95.34,94.85,95.34,0,0
10YCAP.B,D,20240522,000000,95.2,95.2,94.98,94.98,0,0
10YCAP.B,D,20240523,000000,95.09,95.09,94.77,94.77,0,0
10YCAP.B,D,20240524,000000,94.87,94.87,94.87,94.87,0,0
10YCAP.B,D,20240527,000000,94.87,94.87,94.86,94.86,0,0
10YCAP.B,D,20240528,000000,94.86,94.86,94.75,94.75,0,0
10YCAP.B,D,20240529,000000,94.24,94.24,93.79,93.79,0,0
10YCAP.B,D,20240530,000000,93.73,94,93.73,94.0,0,0
10YCAP.B,D,20240531,000000,94.2,94.88,94.2,94.88,0,0
10YCAP.B,D,20240603,000000,94.88,95.45,94.82,95.45,0,0
10YCAP.B,D,20240604,000000,95.81,96.19,95.81,96.19,0,0
10YCAP.B,D,20240605,000000,96.25,96.55,96.25,96.55,0,0
10YCAP.B,D,20240606,000000,96.77,96.77,96.63,96.63,0,0
10YCAP.B,D,20240607,000000,96.73,96.73,96.12,96.12,0,0
10YCAP.B,D,20240610,000000,96.12,96.13,95.83,95.83,0,0
10YCAP.B,D,20240611,000000,95.78,95.9,95.78,95.9,0,0
10YCAP.B,D,20240612,000000,96.0,96.14,96,96.14,0,0
10YCAP.B,D,20240613,000000,96.73,97,96.73,97.0,0,0
10YCAP.B,D,20240614,000000,97.25,97.73,97.25,97.73,0,0
10YCAP.B,D,20240617,000000,97.73,97.73,97.22,97.22,0,0
10YCAP.B,D,20240618,000000,97.38,97.66,97.38,97.66,0,0
10YCAP.B,D,20240619,000000,97.8,97.8,97.7,97.7,0,0
10YCAP.B,D,20240620,000000,97.7,97.7,96.93,96.93,0,0
10YCAP.B,D,20240621,000000,97.12,97.33,97.12,97.33,0,0
10YCAP.B,D,20240624,000000,97.33,97.33,97.07,97.07,0,0
10YCAP.B,D,20240625,000000,97.21,97.21,96.76,96.76,0,0
10YCAP.B,D,20240626,000000,96.83,96.83,96.83,96.83,0,0
10YCAP.B,D,20240627,000000,95.92,96.1,95.92,96.1,0,0
10YCAP.B,D,20240628,000000,96.06,96.2,96.06,96.2,0,0
10YCAP.B,D,20240702,000000,95.81,95.81,95,95.0,0,0
10YCAP.B,D,20240703,000000,94.99,95.31,94.99,95.31,0,0
10YCAP.B,D,20240704,000000,95.45,95.45,95.07,95.07,0,0
10YCAP.B,D,20240705,000000,95.03,95.68,95.03,95.68,0,0
10YCAP.B,D,20240708,000000,95.68,95.91,95.68,95.91,0,0
10YCAP.B,D,20240709,000000,95.91,96.07,95.91,96.06,0,0
10YCAP.B,D,20240710,000000,95.93,96.1,95.93,96.1,0,0
10YCAP.B,D,20240711,000000,96.08,96.53,96.08,96.53,0,0
10YCAP.B,D,20240712,000000,96.39,96.58,96.39,96.58,0,0
10YCAP.B,D,20240715,000000,96.58,96.58,96.54,96.54,0,0
10YCAP.B,D,20240716,000000,96.53,96.94,96.53,96.94,0,0
10YCAP.B,D,20240717,000000,97.07,97.07,96.92,96.92,0,0
10YCAP.B,D,20240718,000000,97.12,97.12,97.12,97.12,0,0
10YCAP.B,D,20240719,000000,96.84,96.84,96.82,96.82,0,0
10YCAP.B,D,20240722,000000,96.82,96.92,96.7,96.92,0,0
10YCAP.B,D,20240723,000000,96.59,96.74,96.59,96.74,0,0
10YCAP.B,D,20240724,000000,96.74,97.07,96.74,97.07,0,0
10YCAP.B,D,20240725,000000,96.7,97.21,96.7,97.21,0,0
10YCAP.B,D,20240726,000000,96.89,97.36,96.89,97.36,0,0
10YCAP.B,D,20240729,000000,97.36,97.58,97.34,97.58,0,0
10YCAP.B,D,20240730,000000,97.59,97.8,97.59,97.8,0,0
10YCAP.B,D,20240731,000000,98.05,98.16,98.05,98.16,0,0
10YCAP.B,D,20240801,000000,98.65,98.65,98.65,98.65,0,0
10YCAP.B,D,20240802,000000,99.07,99.92,99.07,99.92,0,0
10YCAP.B,D,20240806,000000,99.89,99.89,99.5,99.5,0,0
10YCAP.B,D,20240807,000000,99.01,99.01,98.6,98.6,0,0
10YCAP.B,D,20240808,000000,98.7,98.7,98.53,98.53,0,0
10YCAP.B,D,20240809,000000,98.57,98.95,98.57,98.95,0,0
10YCAP.B,D,20240812,000000,98.95,99.05,98.95,99.0,0,0
10YCAP.B,D,20240813,000000,99.3,99.61,99.3,99.61,0,0
10YCAP.B,D,20240814,000000,99.73,100.01,99.73,100.01,0,0
10YCAP.B,D,20240815,000000,99.79,99.79,99.33,99.33,0,0
10YCAP.B,D,20240816,000000,99.33,99.33,99.33,99.33,0,0
10YCAP.B,D,20240819,000000,99.33,99.69,99.33,99.37,0,0
10YCAP.B,D,20240820,000000,99.45,99.81,99.45,99.81,0,0
10YCAP.B,D,20240821,000000,99.94,99.94,99.83,99.83,0,0
10YCAP.B,D,20240822,000000,99.85,99.85,99.57,99.57,0,0
10YCAP.B,D,20240823,000000,99.4,99.62,99.4,99.62,0,0
10YCAP.B,D,20240826,000000,99.62,99.74,99.62,99.62,0,0
10YCAP.B,D,20240827,000000,99.55,99.55,99.22,99.22,0,0
10YCAP.B,D,20240828,000000,99.49,99.49,99.37,99.37,0,0
10YCAP.B,D,20240829,000000,99.26,99.26,98.85,98.85,0,0
10YCAP.B,D,20240830,000000,98.9,98.95,98.9,98.95,0,0
10YCAP.B,D,20240903,000000,98.69,98.69,98.69,98.69,0,0
10YCAP.B,D,20240904,000000,99.48,99.65,99.48,99.65,0,0
10YCAP.B,D,20240905,000000,100.06,100.2,100.06,100.2,0,0
10YCAP.B,D,20240906,000000,100.24,100.24,100.05,100.05,0,0
10YCAP.B,D,20240910,000000,99.94,100.52,99.94,100.52,0,0
10YCAP.B,D,20240911,000000,100.87,100.91,100.87,100.91,0,0
10YCAP.B,D,20240912,000000,100.71,100.74,100.71,100.74,0,0
10YCAP.B,D,20240913,000000,100.73,100.88,100.73,100.88,0,0
10YCAP.B,D,20240916,000000,100.88,101.05,100.82,101.05,0,0
10YCAP.B,D,20240917,000000,101.12,101.12,100.96,100.96,0,0
10YCAP.B,D,20240918,000000,100.92,100.92,100.82,100.82,0,0
10YCAP.B,D,20240919,000000,100.62,100.62,100.43,100.43,0,0
10YCAP.B,D,20240920,000000,100.64,100.64,100.3,100.3,0,0
10YCAP.B,D,20240923,000000,100.3,100.41,100.3,100.41,0,0
10YCAP.B,D,20240924,000000,100.46,100.46,100.46,100.46,0,0
10YCAP.B,D,20240925,000000,100.38,100.38,99.92,99.92,0,0
10YCAP.B,D,20240926,000000,99.9,99.9,99.9,99.9,0,0
10YCAP.B,D,20240927,000000,99.86,100.22,99.86,100.22,0,0
10YCAP.B,D,20241001,000000,100.41,100.6,100.41,100.6,0,0
