<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1YHKY.B,D,20020123,000000,2.058,2.058,2.058,2.058,0,0
1YHKY.B,D,20020124,000000,2.096,2.096,2.096,2.096,0,0
1YHKY.B,D,20020125,000000,2.193,2.193,2.193,2.193,0,0
1YHKY.B,D,20020129,000000,2.164,2.164,2.164,2.164,0,0
1YHKY.B,D,20020130,000000,2.116,2.116,2.116,2.116,0,0
1YHKY.B,D,20020131,000000,2.174,2.174,2.174,2.174,0,0
1YHKY.B,D,20020201,000000,2.203,2.203,2.203,2.203,0,0
1YHKY.B,D,20020204,000000,2.107,2.107,2.107,2.107,0,0
1YHKY.B,D,20020205,000000,2.069,2.069,2.069,2.069,0,0
1YHKY.B,D,20020206,000000,2.098,2.098,2.098,2.098,0,0
1YHKY.B,D,20020207,000000,2.108,2.108,2.108,2.108,0,0
1YHKY.B,D,20020208,000000,2.127,2.127,2.127,2.127,0,0
1YHKY.B,D,20020211,000000,2.182,2.182,2.182,2.182,0,0
1YHKY.B,D,20020215,000000,2.201,2.201,2.201,2.201,0,0
1YHKY.B,D,20020218,000000,2.163,2.163,2.163,2.163,0,0
1YHKY.B,D,20020219,000000,2.182,2.182,2.182,2.182,0,0
1YHKY.B,D,20020220,000000,2.192,2.192,2.192,2.192,0,0
1YHKY.B,D,20020221,000000,2.221,2.221,2.221,2.221,0,0
1YHKY.B,D,20020222,000000,2.202,2.202,2.202,2.202,0,0
1YHKY.B,D,20020225,000000,2.193,2.193,2.193,2.193,0,0
1YHKY.B,D,20020226,000000,2.212,2.212,2.212,2.212,0,0
1YHKY.B,D,20020227,000000,2.222,2.222,2.222,2.222,0,0
1YHKY.B,D,20020228,000000,2.174,2.174,2.174,2.174,0,0
1YHKY.B,D,20020301,000000,2.184,2.184,2.184,2.184,0,0
1YHKY.B,D,20020304,000000,2.28,2.28,2.28,2.28,0,0
1YHKY.B,D,20020305,000000,2.27,2.27,2.27,2.27,0,0
1YHKY.B,D,20020306,000000,2.28,2.28,2.28,2.28,0,0
1YHKY.B,D,20020307,000000,2.3,2.3,2.3,2.3,0,0
1YHKY.B,D,20020308,000000,2.501,2.501,2.501,2.501,0,0
1YHKY.B,D,20020311,000000,2.577,2.577,2.577,2.577,0,0
1YHKY.B,D,20020312,000000,2.62,2.62,2.62,2.62,0,0
1YHKY.B,D,20020313,000000,2.705,2.705,2.705,2.705,0,0
1YHKY.B,D,20020314,000000,2.677,2.677,2.677,2.677,0,0
1YHKY.B,D,20020315,000000,2.744,2.744,2.744,2.744,0,0
1YHKY.B,D,20020318,000000,2.735,2.735,2.735,2.735,0,0
1YHKY.B,D,20020319,000000,2.735,2.735,2.735,2.735,0,0
1YHKY.B,D,20020320,000000,2.726,2.726,2.726,2.726,0,0
1YHKY.B,D,20020321,000000,2.773,2.773,2.773,2.773,0,0
1YHKY.B,D,20020322,000000,2.764,2.764,2.764,2.764,0,0
1YHKY.B,D,20020325,000000,2.774,2.774,2.774,2.774,0,0
1YHKY.B,D,20020326,000000,2.812,2.812,2.812,2.812,0,0
1YHKY.B,D,20020327,000000,2.746,2.746,2.746,2.746,0,0
1YHKY.B,D,20020328,000000,2.719,2.719,2.719,2.719,0,0
1YHKY.B,D,20020402,000000,2.757,2.757,2.757,2.757,0,0
1YHKY.B,D,20020403,000000,2.7,2.7,2.7,2.7,0,0
1YHKY.B,D,20020404,000000,2.644,2.644,2.644,2.644,0,0
