<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2YUSP.B,D,20240321,000000,100.083984,100.083984,99.984375,99.984375,0,0
2YUSP.B,D,20240322,000000,100.033203,100.060547,100.033203,100.060547,0,0
2YUSP.B,D,20240325,000000,100.060547,100.060547,99.9746095,99.9746095,0,0
2YUSP.B,D,20240326,000000,99.826172,99.826172,99.783203,99.783203,0,0
2YUSP.B,D,20240327,000000,99.810547,99.875,99.810547,99.875,0,0
2YUSP.B,D,20240328,000000,99.751953,99.751953,99.751953,99.751953,0,0
2YUSP.B,D,20240401,000000,99.767578,99.820313,99.591797,99.591797,0,0
2YUSP.B,D,20240402,000000,99.591797,99.6308595,99.591797,99.6308595,0,0
2YUSP.B,D,20240403,000000,99.601563,99.611328,99.601563,99.611328,0,0
2YUSP.B,D,20240404,000000,99.642578,99.673828,99.642578,99.673828,0,0
2YUSP.B,D,20240405,000000,99.7246095,99.7246095,99.6308595,99.6308595,0,0
2YUSP.B,D,20240408,000000,99.6308595,99.6308595,99.480469,99.480469,0,0
2YUSP.B,D,20240409,000000,99.480469,99.554687,99.480469,99.554687,0,0
2YUSP.B,D,20240410,000000,99.546875,99.546875,99.199219,99.199219,0,0
2YUSP.B,D,20240411,000000,99.1308595,99.166016,99.1308595,99.166016,0,0
2YUSP.B,D,20240412,000000,99.230469,99.230469,99.230469,99.230469,0,0
2YUSP.B,D,20240415,000000,99.230469,99.230469,99.121094,99.121094,0,0
2YUSP.B,D,20240416,000000,99.185547,99.185547,99.1503905,99.1503905,0,0
2YUSP.B,D,20240417,000000,99.144531,99.15625,99.144531,99.15625,0,0
2YUSP.B,D,20240418,000000,99.216797,99.216797,99.1191405,99.1191405,0,0
2YUSP.B,D,20240419,000000,99.140625,99.140625,99.107422,99.107422,0,0
2YUSP.B,D,20240422,000000,99.107422,99.140625,99.103516,99.140625,0,0
2YUSP.B,D,20240423,000000,99.125,99.201172,99.125,99.201172,0,0
2YUSP.B,D,20240424,000000,99.876953,99.884766,99.876953,99.884766,0,0
2YUSP.B,D,20240425,000000,99.904297,99.904297,99.763672,99.763672,0,0
2YUSP.B,D,20240426,000000,99.796875,99.796875,99.794922,99.794922,0,0
2YUSP.B,D,20240429,000000,99.794922,99.814453,99.794922,99.814453,0,0
2YUSP.B,D,20240430,000000,99.800781,99.800781,99.740234,99.740234,0,0
2YUSP.B,D,20240501,000000,99.705078,99.705078,99.705078,99.705078,0,0
2YUSP.B,D,20240502,000000,99.705078,99.939453,99.705078,99.939453,0,0
2YUSP.B,D,20240503,000000,99.9746095,100.144531,99.9746095,100.144531,0,0
2YUSP.B,D,20240506,000000,100.144531,100.144531,100.103516,100.103516,0,0
2YUSP.B,D,20240507,000000,100.130859,100.130859,100.125,100.125,0,0
2YUSP.B,D,20240508,000000,100.070313,100.083984,100.070313,100.083984,0,0
2YUSP.B,D,20240509,000000,100.037109,100.097656,100.037109,100.097656,0,0
2YUSP.B,D,20240510,000000,100.107422,100.107422,100.054687,100.054687,0,0
2YUSP.B,D,20240513,000000,100.054687,100.066406,100.037109,100.066406,0,0
2YUSP.B,D,20240514,000000,100.058594,100.095703,100.058594,100.095703,0,0
2YUSP.B,D,20240515,000000,100.130859,100.203125,100.130859,100.203125,0,0
2YUSP.B,D,20240516,000000,100.203125,100.269531,100.177734,100.177734,0,0
2YUSP.B,D,20240517,000000,100.169922,100.169922,100.140625,100.140625,0,0
2YUSP.B,D,20240520,000000,100.140625,100.140625,100.078125,100.078125,0,0
