<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
30YCHP.B,D,20240321,000000,94.9,94.9,94.9,94.9,0,0
30YCHP.B,D,20240322,000000,94.9,94.9,94.9,94.9,0,0
30YCHP.B,D,20240325,000000,94.9,95.55,94.9,95.55,0,0
30YCHP.B,D,20240326,000000,95.55,95.55,95.55,95.55,0,0
30YCHP.B,D,20240327,000000,95.55,95.55,95.55,95.55,0,0
30YCHP.B,D,20240328,000000,95.55,95.55,95.55,95.55,0,0
30YCHP.B,D,20240402,000000,95.55,95.55,95.55,95.55,0,0
30YCHP.B,D,20240403,000000,95.55,95.55,95.55,95.55,0,0
30YCHP.B,D,20240404,000000,95.55,95.55,95.55,95.55,0,0
30YCHP.B,D,20240405,000000,95.55,95.55,95.55,95.55,0,0
30YCHP.B,D,20240408,000000,95.55,95.55,95.55,95.55,0,0
30YCHP.B,D,20240409,000000,95.55,95.55,95.55,95.55,0,0
30YCHP.B,D,20240410,000000,95.79,95.79,95.79,95.79,0,0
30YCHP.B,D,20240411,000000,95.79,95.79,95.32,95.32,0,0
30YCHP.B,D,20240412,000000,95.73,95.73,95.73,95.73,0,0
30YCHP.B,D,20240415,000000,95.73,95.73,95.73,95.73,0,0
30YCHP.B,D,20240416,000000,95.73,95.73,95.73,95.73,0,0
30YCHP.B,D,20240417,000000,95.52,95.75,95.52,95.75,0,0
30YCHP.B,D,20240418,000000,95.75,95.75,95.75,95.75,0,0
30YCHP.B,D,20240419,000000,95.75,95.75,95.75,95.75,0,0
30YCHP.B,D,20240422,000000,95.75,96.08,95.66,96.08,0,0
30YCHP.B,D,20240423,000000,96.08,96.88,96.08,96.88,0,0
30YCHP.B,D,20240424,000000,96.88,96.88,96.88,96.88,0,0
30YCHP.B,D,20240425,000000,95.81,95.81,95.81,95.81,0,0
30YCHP.B,D,20240426,000000,95.37,95.37,95.37,95.37,0,0
30YCHP.B,D,20240429,000000,95.37,97.91,95.37,97.91,0,0
30YCHP.B,D,20240430,000000,97.91,97.91,97.91,97.91,0,0
30YCHP.B,D,20240502,000000,97.91,97.91,97.7,97.7,0,0
30YCHP.B,D,20240503,000000,96.72,96.72,96.72,96.72,0,0
30YCHP.B,D,20240506,000000,96.72,96.87,96.72,96.87,0,0
30YCHP.B,D,20240507,000000,96.87,96.87,96.66,96.66,0,0
30YCHP.B,D,20240508,000000,96.66,96.66,96.66,96.66,0,0
30YCHP.B,D,20240510,000000,96.66,96.66,96.21,96.21,0,0
30YCHP.B,D,20240513,000000,96.21,96.21,96.21,96.21,0,0
30YCHP.B,D,20240514,000000,96.21,96.55,96.21,96.55,0,0
30YCHP.B,D,20240515,000000,96.55,96.55,96.55,96.55,0,0
30YCHP.B,D,20240516,000000,96.55,96.55,96.55,96.55,0,0
30YCHP.B,D,20240517,000000,96.54,96.54,96.54,96.54,0,0
30YCHP.B,D,20240521,000000,96.54,96.54,96.26,96.26,0,0
30YCHP.B,D,20240522,000000,95.98,95.98,95.98,95.98,0,0
30YCHP.B,D,20240523,000000,95.37,95.37,95.37,95.37,0,0
30YCHP.B,D,20240524,000000,95.03,95.03,95.03,95.03,0,0
30YCHP.B,D,20240527,000000,95.03,95.03,95.03,95.03,0,0
30YCHP.B,D,20240528,000000,95.03,95.03,95.03,95.03,0,0
30YCHP.B,D,20240529,000000,95.03,95.03,93,93.0,0,0
30YCHP.B,D,20240530,000000,93.0,93.0,93.0,93.0,0,0
30YCHP.B,D,20240531,000000,93.0,93.0,93.0,93.0,0,0
30YCHP.B,D,20240603,000000,93.0,93,92.5,92.5,0,0
30YCHP.B,D,20240604,000000,92.5,92.5,92.5,92.5,0,0
30YCHP.B,D,20240605,000000,92.5,92.5,92.5,92.5,0,0
30YCHP.B,D,20240606,000000,92.75,92.75,92.75,92.75,0,0
30YCHP.B,D,20240607,000000,92.75,92.75,92.75,92.75,0,0
30YCHP.B,D,20240610,000000,92.75,92.75,92.75,92.75,0,0
30YCHP.B,D,20240611,000000,92.75,92.75,92.75,92.75,0,0
30YCHP.B,D,20240612,000000,92.75,92.75,92.75,92.75,0,0
30YCHP.B,D,20240613,000000,92.75,94,92.75,94.0,0,0
30YCHP.B,D,20240614,000000,94.0,94.0,94.0,94.0,0,0
30YCHP.B,D,20240617,000000,94.0,95.02,94,95.02,0,0
30YCHP.B,D,20240618,000000,95.25,95.25,95.25,95.25,0,0
30YCHP.B,D,20240619,000000,95.5,95.5,95.5,95.5,0,0
30YCHP.B,D,20240620,000000,95.5,95.5,95.5,95.5,0,0
