<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
30YITP.B,D,20240321,000000,105.373,105.373,104.663,104.663,0,0
30YITP.B,D,20240322,000000,105.001,105.584,105.001,105.584,0,0
30YITP.B,D,20240325,000000,105.584,105.584,104.851,104.851,0,0
30YITP.B,D,20240326,000000,105.17,105.551,105.17,105.551,0,0
30YITP.B,D,20240327,000000,105.779,106.089,105.779,106.089,0,0
30YITP.B,D,20240328,000000,105.544,105.544,105.544,105.544,0,0
30YITP.B,D,20240402,000000,105.323,105.323,103.043,103.043,0,0
30YITP.B,D,20240403,000000,102.818,102.818,102.622,102.622,0,0
30YITP.B,D,20240404,000000,103.081,104.449,103.081,104.449,0,0
30YITP.B,D,20240405,000000,104.358,104.358,103.683,103.683,0,0
30YITP.B,D,20240408,000000,103.683,103.683,103.086,103.25,0,0
30YITP.B,D,20240409,000000,104.24,105.105,104.24,105.105,0,0
30YITP.B,D,20240410,000000,104.924,104.924,104.254,104.254,0,0
30YITP.B,D,20240411,000000,103.911,103.911,103.357,103.357,0,0
30YITP.B,D,20240412,000000,104.642,104.642,104.642,104.642,0,0
30YITP.B,D,20240415,000000,104.642,104.642,103.276,103.276,0,0
30YITP.B,D,20240416,000000,102.641,102.641,101.615,101.615,0,0
30YITP.B,D,20240417,000000,102.275,102.906,102.275,102.906,0,0
30YITP.B,D,20240418,000000,103.443,103.443,102.51,102.51,0,0
30YITP.B,D,20240419,000000,102.673,102.673,102.307,102.307,0,0
30YITP.B,D,20240422,000000,102.307,103.314,102.307,103.314,0,0
30YITP.B,D,20240423,000000,103.495,103.495,103.464,103.464,0,0
30YITP.B,D,20240424,000000,102.49,102.49,100.835,100.835,0,0
30YITP.B,D,20240425,000000,101.383,101.383,100.365,100.365,0,0
30YITP.B,D,20240426,000000,101.572,102.006,101.572,102.006,0,0
30YITP.B,D,20240429,000000,102.006,103.001,102.006,103.001,0,0
30YITP.B,D,20240430,000000,102.717,102.717,102.326,102.326,0,0
30YITP.B,D,20240502,000000,102.536,103.376,102.536,103.164,0,0
30YITP.B,D,20240503,000000,103.563,103.563,103.353,103.353,0,0
30YITP.B,D,20240506,000000,103.353,104.166,103.353,104.166,0,0
30YITP.B,D,20240507,000000,104.429,104.429,104.262,104.262,0,0
30YITP.B,D,20240508,000000,104.213,104.213,103.88,103.88,0,0
30YITP.B,D,20240509,000000,103.224,103.224,102.971,102.971,0,0
30YITP.B,D,20240510,000000,103.576,103.576,103.037,103.037,0,0
30YITP.B,D,20240513,000000,103.037,103.1,102.987,103.1,0,0
30YITP.B,D,20240514,000000,103.058,103.058,102.43,102.43,0,0
30YITP.B,D,20240515,000000,103.317,104.231,103.317,104.231,0,0
30YITP.B,D,20240516,000000,104.231,104.765,104.231,104.472,0,0
30YITP.B,D,20240517,000000,103.83,103.83,103.666,103.666,0,0
30YITP.B,D,20240520,000000,103.666,103.666,103.332,103.332,0,0
30YITP.B,D,20240521,000000,103.332,103.611,103.332,103.611,0,0
30YITP.B,D,20240522,000000,103.025,103.338,103.025,103.338,0,0
30YITP.B,D,20240523,000000,103.152,103.152,102.515,102.515,0,0
30YITP.B,D,20240524,000000,102.794,102.831,102.794,102.831,0,0
30YITP.B,D,20240527,000000,102.831,103.225,102.718,103.225,0,0
30YITP.B,D,20240528,000000,103.399,103.399,102.709,102.709,0,0
30YITP.B,D,20240529,000000,101.998,101.998,101.159,101.159,0,0
30YITP.B,D,20240530,000000,100.942,101.084,100.942,101.084,0,0
30YITP.B,D,20240531,000000,101.239,101.636,101.239,101.636,0,0
30YITP.B,D,20240603,000000,101.636,102.291,101.452,102.291,0,0
30YITP.B,D,20240604,000000,102.716,102.716,102.519,102.519,0,0
30YITP.B,D,20240605,000000,102.605,102.972,102.605,102.972,0,0
30YITP.B,D,20240606,000000,103.243,103.243,102.54,102.54,0,0
30YITP.B,D,20240607,000000,102.387,102.387,101.682,101.682,0,0
30YITP.B,D,20240610,000000,101.682,101.682,99.904,99.904,0,0
30YITP.B,D,20240611,000000,99.783,99.783,98.667,98.667,0,0
30YITP.B,D,20240612,000000,100.079,101.649,100.079,101.649,0,0
30YITP.B,D,20240613,000000,101.15,101.204,101.15,101.204,0,0
30YITP.B,D,20240614,000000,101.734,102.088,101.734,102.088,0,0
30YITP.B,D,20240617,000000,102.088,102.088,101.741,101.741,0,0
30YITP.B,D,20240618,000000,101.767,102.559,101.767,102.559,0,0
30YITP.B,D,20240619,000000,102.27,102.27,101.707,101.707,0,0
30YITP.B,D,20240620,000000,101.245,101.592,101.245,101.592,0,0
30YITP.B,D,20240621,000000,102.425,102.425,101.2,101.2,0,0
30YITP.B,D,20240624,000000,101.2,101.602,101.2,101.602,0,0
30YITP.B,D,20240625,000000,101.585,101.585,101.237,101.237,0,0
30YITP.B,D,20240626,000000,101.237,101.237,101.237,101.237,0,0
30YITP.B,D,20240627,000000,99.928,99.928,99.864,99.864,0,0
30YITP.B,D,20240628,000000,99.817,99.817,98.476,98.476,0,0
30YITP.B,D,20240701,000000,98.476,99.156,98.476,98.553,0,0
30YITP.B,D,20240702,000000,98.362,99.1,98.362,99.1,0,0
30YITP.B,D,20240703,000000,99.278,100.261,99.278,100.261,0,0
30YITP.B,D,20240704,000000,99.88,99.88,99.712,99.712,0,0
30YITP.B,D,20240705,000000,100.33,100.727,100.33,100.727,0,0
30YITP.B,D,20240708,000000,100.727,101.52,100.727,101.475,0,0
30YITP.B,D,20240709,000000,101.475,101.475,101.092,101.092,0,0
30YITP.B,D,20240710,000000,101.516,102.142,101.516,102.142,0,0
30YITP.B,D,20240711,000000,102.006,102.891,102.006,102.891,0,0
30YITP.B,D,20240712,000000,102.512,102.77,102.512,102.77,0,0
30YITP.B,D,20240715,000000,102.77,103.196,102.77,103.196,0,0
30YITP.B,D,20240716,000000,103.631,103.767,103.631,103.767,0,0
30YITP.B,D,20240717,000000,104.273,104.273,103.938,103.938,0,0
30YITP.B,D,20240718,000000,103.985,103.985,103.985,103.985,0,0
30YITP.B,D,20240719,000000,104.007,104.007,102.956,102.956,0,0
30YITP.B,D,20240722,000000,102.956,103.431,102.956,103.431,0,0
30YITP.B,D,20240723,000000,102.881,103.322,102.881,103.322,0,0
30YITP.B,D,20240724,000000,103.105,103.105,102.621,102.621,0,0
30YITP.B,D,20240725,000000,102.185,102.185,102.137,102.137,0,0
30YITP.B,D,20240726,000000,101.749,102.437,101.749,102.437,0,0
30YITP.B,D,20240729,000000,102.437,103.635,102.437,103.635,0,0
30YITP.B,D,20240730,000000,103.714,103.714,103.646,103.646,0,0
30YITP.B,D,20240731,000000,103.902,104.249,103.902,104.249,0,0
30YITP.B,D,20240801,000000,104.304,104.304,104.304,104.304,0,0
30YITP.B,D,20240802,000000,104.027,104.976,104.027,104.976,0,0
30YITP.B,D,20240805,000000,104.976,104.976,104.148,104.148,0,0
30YITP.B,D,20240806,000000,104.487,104.487,104.462,104.462,0,0
30YITP.B,D,20240807,000000,104.148,104.148,103.574,103.574,0,0
30YITP.B,D,20240808,000000,103.747,103.747,103.485,103.485,0,0
30YITP.B,D,20240809,000000,103.969,104.486,103.969,104.486,0,0
30YITP.B,D,20240812,000000,104.486,104.486,104.486,104.486,0,0
30YITP.B,D,20240813,000000,104.582,105.28,104.582,105.28,0,0
30YITP.B,D,20240814,000000,105.262,105.51,105.262,105.51,0,0
30YITP.B,D,20240815,000000,105.762,105.762,104.739,104.739,0,0
30YITP.B,D,20240816,000000,104.928,104.928,104.928,104.928,0,0
30YITP.B,D,20240819,000000,104.928,105.384,104.928,105.096,0,0
30YITP.B,D,20240820,000000,105.223,105.358,105.223,105.358,0,0
30YITP.B,D,20240821,000000,105.302,105.336,105.302,105.336,0,0
30YITP.B,D,20240822,000000,105.536,105.536,105.067,105.067,0,0
30YITP.B,D,20240823,000000,104.633,105.429,104.633,105.429,0,0
30YITP.B,D,20240826,000000,105.429,105.429,104.635,104.635,0,0
30YITP.B,D,20240827,000000,104.417,104.417,103.335,103.335,0,0
30YITP.B,D,20240828,000000,103.98,104.207,103.98,104.207,0,0
30YITP.B,D,20240829,000000,104.271,104.271,103.9,103.9,0,0
30YITP.B,D,20240830,000000,103.928,103.928,103.801,103.801,0,0
30YITP.B,D,20240902,000000,103.801,103.801,102.709,103.096,0,0
30YITP.B,D,20240903,000000,103.111,103.111,103.111,103.111,0,0
30YITP.B,D,20240904,000000,104.138,104.896,104.138,104.896,0,0
30YITP.B,D,20240905,000000,104.873,105.182,104.873,105.182,0,0
30YITP.B,D,20240906,000000,105.471,105.471,104.978,104.978,0,0
30YITP.B,D,20240909,000000,104.978,104.978,104.51,104.891,0,0
30YITP.B,D,20240910,000000,104.963,104.963,104.963,104.963,0,0
30YITP.B,D,20240911,000000,105.934,106.309,105.934,106.309,0,0
30YITP.B,D,20240912,000000,106.023,106.023,105.945,105.945,0,0
30YITP.B,D,20240913,000000,106.404,106.404,106.167,106.167,0,0
30YITP.B,D,20240916,000000,106.167,106.759,106.167,106.759,0,0
30YITP.B,D,20240917,000000,107.172,107.172,107.075,107.075,0,0
30YITP.B,D,20240918,000000,106.48,106.48,105.743,105.743,0,0
30YITP.B,D,20240919,000000,105.636,105.636,105.39,105.39,0,0
30YITP.B,D,20240920,000000,105.784,105.784,105.452,105.452,0,0
30YITP.B,D,20240923,000000,105.452,105.806,105.452,105.806,0,0
30YITP.B,D,20240924,000000,105.966,105.966,105.966,105.966,0,0
30YITP.B,D,20240925,000000,106.599,106.599,105.645,105.645,0,0
30YITP.B,D,20240926,000000,106.498,106.498,106.498,106.498,0,0
30YITP.B,D,20240927,000000,107.6,107.6,107.035,107.035,0,0
30YITP.B,D,20240930,000000,107.035,107.198,106.348,107.198,0,0
30YITP.B,D,20241001,000000,107.898,108.812,107.898,108.812,0,0
30YITP.B,D,20241002,000000,107.575,107.575,107.112,107.112,0,0
30YITP.B,D,20241003,000000,107.063,107.063,107.063,107.063,0,0
30YITP.B,D,20241004,000000,106.609,106.609,106.609,106.609,0,0
30YITP.B,D,20241007,000000,106.609,106.609,106.014,106.014,0,0
30YITP.B,D,20241008,000000,105.72,106.043,105.72,106.043,0,0
30YITP.B,D,20241009,000000,106.179,106.179,105.948,105.948,0,0
30YITP.B,D,20241010,000000,105.796,106.28,105.796,106.28,0,0
30YITP.B,D,20241011,000000,106.106,106.106,106.106,106.106,0,0
30YITP.B,D,20241014,000000,106.106,106.496,106.106,106.496,0,0
30YITP.B,D,20241015,000000,106.826,106.826,106.826,106.826,0,0
30YITP.B,D,20241016,000000,107.657,108.257,107.657,108.257,0,0
30YITP.B,D,20241017,000000,107.999,107.999,107.999,107.999,0,0
30YITP.B,D,20241018,000000,107.89,107.89,107.89,107.89,0,0
30YITP.B,D,20241021,000000,107.89,108.18,107.89,108.18,0,0
30YITP.B,D,20241022,000000,105.879,105.879,105.879,105.879,0,0
30YITP.B,D,20241023,000000,105.761,105.761,105.761,105.761,0,0
30YITP.B,D,20241024,000000,106.465,106.789,106.465,106.789,0,0
30YITP.B,D,20241025,000000,106.881,106.881,106.881,106.881,0,0
30YITP.B,D,20241028,000000,106.881,106.881,106.3,106.3,0,0
30YITP.B,D,20241029,000000,106.117,106.117,106.117,106.117,0,0
30YITP.B,D,20241030,000000,105.873,105.873,105.19,105.19,0,0
30YITP.B,D,20241031,000000,105.19,105.19,105.123,105.123,0,0
30YITP.B,D,20241101,000000,105.123,105.227,105.073,105.073,0,0
30YITP.B,D,20241104,000000,105.073,105.168,105.073,105.168,0,0
30YITP.B,D,20241105,000000,105.225,105.225,105.225,105.225,0,0
30YITP.B,D,20241106,000000,105.225,105.56,105.225,105.56,0,0
30YITP.B,D,20241107,000000,102.865,102.865,102.865,102.865,0,0
30YITP.B,D,20241108,000000,102.865,105.151,102.865,105.151,0,0
30YITP.B,D,20241111,000000,105.151,105.976,105.151,105.976,0,0
30YITP.B,D,20241112,000000,105.976,105.976,105.93,105.93,0,0
30YITP.B,D,20241113,000000,105.598,105.598,105.598,105.598,0,0
30YITP.B,D,20241114,000000,105.964,106.463,105.964,106.463,0,0
30YITP.B,D,20241115,000000,106.902,107.192,106.902,107.192,0,0
30YITP.B,D,20241118,000000,107.192,107.192,106.762,106.762,0,0
30YITP.B,D,20241119,000000,107.591,107.591,107.2,107.2,0,0
30YITP.B,D,20241120,000000,107.2,107.2,106.784,107.144,0,0
30YITP.B,D,20241121,000000,106.661,107.02,106.661,107.02,0,0
30YITP.B,D,20241122,000000,107.789,107.789,107.789,107.789,0,0
30YITP.B,D,20241125,000000,107.789,108.241,107.609,108.241,0,0
30YITP.B,D,20241126,000000,107.945,107.945,107.945,107.945,0,0
30YITP.B,D,20241127,000000,107.945,108.438,107.945,108.438,0,0
30YITP.B,D,20241128,000000,109.506,110.038,109.506,110.038,0,0
30YITP.B,D,20241129,000000,110.038,110.322,110.038,110.322,0,0
30YITP.B,D,20241202,000000,110.322,111.39,110.322,111.267,0,0
30YITP.B,D,20241203,000000,111.267,111.289,111.267,111.289,0,0
30YITP.B,D,20241204,000000,111.733,111.733,111.733,111.733,0,0
30YITP.B,D,20241205,000000,112.234,112.234,112.234,112.234,0,0
30YITP.B,D,20241206,000000,113.3,113.3,113.3,113.3,0,0
30YITP.B,D,20241209,000000,113.3,113.3,112.562,112.562,0,0
30YITP.B,D,20241210,000000,112.107,112.107,112.107,112.107,0,0
30YITP.B,D,20241211,000000,112.594,112.594,112.594,112.594,0,0
30YITP.B,D,20241212,000000,111.593,111.593,111.593,111.593,0,0
30YITP.B,D,20241213,000000,109.887,109.887,109.618,109.618,0,0
30YITP.B,D,20241216,000000,109.618,109.618,109.366,109.366,0,0
30YITP.B,D,20241217,000000,109.35,109.36,109.35,109.36,0,0
30YITP.B,D,20241218,000000,109.012,109.012,109.012,109.012,0,0
30YITP.B,D,20241219,000000,108.254,108.254,107.799,107.799,0,0
30YITP.B,D,20241220,000000,107.438,107.988,107.438,107.988,0,0
30YITP.B,D,20241223,000000,107.988,107.988,107.602,107.602,0,0
30YITP.B,D,20241227,000000,106.544,106.544,106.544,106.544,0,0
30YITP.B,D,20241230,000000,106.544,106.895,106.544,106.895,0,0
30YITP.B,D,20250102,000000,106.895,106.895,106.594,106.594,0,0
30YITP.B,D,20250103,000000,106.513,106.513,106.513,106.513,0,0
30YITP.B,D,20250106,000000,106.513,106.513,105.925,105.925,0,0
30YITP.B,D,20250107,000000,105.987,105.987,105.987,105.987,0,0
30YITP.B,D,20250108,000000,105.225,105.225,105.225,105.225,0,0
30YITP.B,D,20250109,000000,103.946,103.99,103.946,103.99,0,0
30YITP.B,D,20250110,000000,103.554,103.712,103.554,103.712,0,0
30YITP.B,D,20250113,000000,103.712,103.712,102.673,102.84,0,0
30YITP.B,D,20250114,000000,102.889,102.889,102.889,102.889,0,0
30YITP.B,D,20250115,000000,102.438,102.438,102.438,102.438,0,0
30YITP.B,D,20250116,000000,103.874,103.874,103.874,103.874,0,0
30YITP.B,D,20250117,000000,100.827,100.827,100.827,100.827,0,0
30YITP.B,D,20250120,000000,100.827,100.827,100.715,100.715,0,0
30YITP.B,D,20250121,000000,101.27,101.27,101.27,101.27,0,0
30YITP.B,D,20250122,000000,101.894,101.894,101.894,101.894,0,0
30YITP.B,D,20250123,000000,101.213,101.213,100.732,100.732,0,0
30YITP.B,D,20250124,000000,100.819,100.819,100.819,100.819,0,0
30YITP.B,D,20250127,000000,100.819,101.307,100.819,101.307,0,0
30YITP.B,D,20250128,000000,101.307,101.307,100.689,100.689,0,0
30YITP.B,D,20250129,000000,101.146,101.146,100.783,100.783,0,0
30YITP.B,D,20250130,000000,100.869,100.869,100.869,100.869,0,0
30YITP.B,D,20250131,000000,101.183,101.623,101.183,101.623,0,0
30YITP.B,D,20250203,000000,101.623,101.926,101.623,101.926,0,0
30YITP.B,D,20250204,000000,102.283,102.283,102.283,102.283,0,0
30YITP.B,D,20250205,000000,103.318,103.318,103.318,103.318,0,0
30YITP.B,D,20250206,000000,103.442,103.442,103.442,103.442,0,0
30YITP.B,D,20250207,000000,104.169,104.169,104.169,104.169,0,0
30YITP.B,D,20250210,000000,104.169,104.169,103.365,103.365,0,0
30YITP.B,D,20250211,000000,102.866,102.866,102.866,102.866,0,0
30YITP.B,D,20250212,000000,101.986,101.986,101.986,101.986,0,0
30YITP.B,D,20250213,000000,102.04,102.04,102.04,102.04,0,0
30YITP.B,D,20250214,000000,102.654,102.654,102.654,102.654,0,0
30YITP.B,D,20250217,000000,102.654,102.654,101.436,101.895,0,0
30YITP.B,D,20250218,000000,101.612,101.612,101.612,101.612,0,0
30YITP.B,D,20250219,000000,101.338,101.338,101.338,101.338,0,0
30YITP.B,D,20250220,000000,100.451,100.451,100.451,100.451,0,0
30YITP.B,D,20250221,000000,101.118,101.598,101.118,101.598,0,0
30YITP.B,D,20250224,000000,101.598,101.598,101.31,101.31,0,0
30YITP.B,D,20250225,000000,101.066,101.796,101.066,101.796,0,0
30YITP.B,D,20250226,000000,102.257,102.299,102.257,102.299,0,0
30YITP.B,D,20250227,000000,102.071,102.071,101.91,101.91,0,0
30YITP.B,D,20250228,000000,102.541,102.541,102.408,102.408,0,0
30YITP.B,D,20250303,000000,102.408,102.408,100.797,100.797,0,0
30YITP.B,D,20250304,000000,101.28,101.28,101.28,101.28,0,0
30YITP.B,D,20250305,000000,97.369,97.369,97.369,97.369,0,0
30YITP.B,D,20250306,000000,95.639,95.639,95.639,95.639,0,0
30YITP.B,D,20250307,000000,96.885,96.885,96.617,96.617,0,0
30YITP.B,D,20250310,000000,96.617,96.617,96.617,96.617,0,0
30YITP.B,D,20250311,000000,95.084,95.084,95.084,95.084,0,0
30YITP.B,D,20250312,000000,95.096,95.096,95.096,95.096,0,0
30YITP.B,D,20250313,000000,94.626,94.626,94.626,94.626,0,0
30YITP.B,D,20250314,000000,94.403,94.403,94.403,94.403,0,0
30YITP.B,D,20250317,000000,94.403,96.17,94.403,96.17,0,0
30YITP.B,D,20250318,000000,95.778,95.778,95.778,95.778,0,0
30YITP.B,D,20250319,000000,96.145,96.145,96.145,96.145,0,0
30YITP.B,D,20250320,000000,96.559,96.559,96.162,96.162,0,0
30YITP.B,D,20250321,000000,97.208,97.208,97.208,97.208,0,0
30YITP.B,D,20250324,000000,97.208,97.208,96.375,96.375,0,0
30YITP.B,D,20250325,000000,95.8,95.8,95.76,95.76,0,0
30YITP.B,D,20250326,000000,95.875,95.875,95.875,95.875,0,0
30YITP.B,D,20250327,000000,95.86,95.86,95.86,95.86,0,0
30YITP.B,D,20250328,000000,96.46,96.46,96.46,96.46,0,0
30YITP.B,D,20250331,000000,96.46,96.502,96.372,96.502,0,0
30YITP.B,D,20250401,000000,96.97,97.184,96.97,97.184,0,0
30YITP.B,D,20250402,000000,97.22,97.22,97.19,97.19,0,0
30YITP.B,D,20250403,000000,97.24,97.24,96.813,96.813,0,0
30YITP.B,D,20250404,000000,96.907,96.907,96.907,96.907,0,0
30YITP.B,D,20250407,000000,96.907,96.907,95.515,95.515,0,0
30YITP.B,D,20250408,000000,96.081,96.081,95.681,95.681,0,0
30YITP.B,D,20250409,000000,94.67,94.67,94.67,94.67,0,0
30YITP.B,D,20250410,000000,95.816,95.816,95.816,95.816,0,0
30YITP.B,D,20250411,000000,96.195,97.335,96.195,97.335,0,0
30YITP.B,D,20250414,000000,97.335,98.716,97.335,98.716,0,0
30YITP.B,D,20250415,000000,98.975,98.975,98.04,98.04,0,0
30YITP.B,D,20250416,000000,98.469,98.469,97.827,97.827,0,0
30YITP.B,D,20250417,000000,97.648,98.259,97.648,98.259,0,0
30YITP.B,D,20250422,000000,98.152,98.719,98.152,98.719,0,0
30YITP.B,D,20250423,000000,98.829,98.829,98.557,98.557,0,0
30YITP.B,D,20250424,000000,98.664,99.62,98.664,99.62,0,0
30YITP.B,D,20250425,000000,99.682,99.682,99.253,99.253,0,0
30YITP.B,D,20250428,000000,99.253,99.253,98.756,98.756,0,0
30YITP.B,D,20250429,000000,98.76,98.76,98.713,98.713,0,0
30YITP.B,D,20250430,000000,99.224,99.224,99.224,99.224,0,0
30YITP.B,D,20250502,000000,99.224,99.224,98.855,98.855,0,0
30YITP.B,D,20250505,000000,98.855,98.855,98.153,98.153,0,0
30YITP.B,D,20250506,000000,97.91,97.91,97.535,97.535,0,0
30YITP.B,D,20250507,000000,98.167,99.256,98.167,99.256,0,0
30YITP.B,D,20250508,000000,99.406,99.406,98.818,98.818,0,0
30YITP.B,D,20250509,000000,97.973,98.374,97.973,98.374,0,0
30YITP.B,D,20250512,000000,98.374,98.374,97.85,97.885,0,0
