<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
30YJPP.B,D,20240321,000000,96.183,96.183,96.1645,96.1645,0,0
30YJPP.B,D,20240322,000000,96.022,96.022,96.022,96.022,0,0
30YJPP.B,D,20240325,000000,96.022,96.022,95.8495,95.8495,0,0
30YJPP.B,D,20240326,000000,95.9485,95.9485,95.9485,95.9485,0,0
30YJPP.B,D,20240327,000000,96.442,96.442,96.442,96.442,0,0
30YJPP.B,D,20240328,000000,96.7715,96.7715,96.7715,96.7715,0,0
30YJPP.B,D,20240329,000000,95.925,95.925,95.925,95.925,0,0
30YJPP.B,D,20240401,000000,95.925,95.925,95.609,95.609,0,0
30YJPP.B,D,20240402,000000,95.609,95.609,95.179,95.179,0,0
30YJPP.B,D,20240403,000000,95.3245,95.452,95.3245,95.452,0,0
30YJPP.B,D,20240404,000000,95.3815,95.3905,95.3815,95.3905,0,0
30YJPP.B,D,20240405,000000,99.826,99.894,99.826,99.894,0,0
30YJPP.B,D,20240408,000000,99.894,99.894,99.5065,99.5065,0,0
30YJPP.B,D,20240409,000000,99.3905,99.3905,99.275,99.275,0,0
30YJPP.B,D,20240410,000000,98.942,98.942,98.78,98.78,0,0
30YJPP.B,D,20240411,000000,97.3195,97.5875,97.3195,97.5875,0,0
30YJPP.B,D,20240412,000000,97.887,97.887,97.887,97.887,0,0
30YJPP.B,D,20240415,000000,97.887,97.887,97.868,97.868,0,0
30YJPP.B,D,20240416,000000,97.647,97.647,97.6005,97.6005,0,0
30YJPP.B,D,20240417,000000,97.369,97.4155,97.369,97.4155,0,0
30YJPP.B,D,20240418,000000,97.824,97.8895,97.824,97.8895,0,0
30YJPP.B,D,20240419,000000,98.142,98.433,98.142,98.433,0,0
30YJPP.B,D,20240422,000000,98.433,98.433,97.5895,97.5895,0,0
30YJPP.B,D,20240423,000000,97.202,97.202,97.1645,97.1645,0,0
30YJPP.B,D,20240424,000000,97.12,97.1565,97.12,97.1565,0,0
30YJPP.B,D,20240425,000000,97.112,97.1205,97.112,97.1205,0,0
30YJPP.B,D,20240426,000000,97.4915,97.4915,96.9115,96.9115,0,0
30YJPP.B,D,20240430,000000,97.4905,97.5825,97.4905,97.5825,0,0
30YJPP.B,D,20240501,000000,97.0775,97.0775,97.0775,97.0775,0,0
30YJPP.B,D,20240502,000000,97.0775,97.0775,96.637,96.637,0,0
30YJPP.B,D,20240507,000000,96.832,96.85,96.832,96.85,0,0
30YJPP.B,D,20240508,000000,96.9735,96.9735,96.927,96.927,0,0
30YJPP.B,D,20240509,000000,96.687,96.75,96.687,96.75,0,0
30YJPP.B,D,20240510,000000,96.4525,96.4525,96.3805,96.3805,0,0
