<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3MIDY.B,D,20240416,000000,5.957,5.957,5.957,5.957,0,0
3MIDY.B,D,20240417,000000,5.941,5.941,5.941,5.941,0,0
3MIDY.B,D,20240418,000000,5.924,5.924,5.924,5.924,0,0
3MIDY.B,D,20240419,000000,5.873,5.873,5.833,5.833,0,0
3MIDY.B,D,20240422,000000,5.855,5.855,5.855,5.855,0,0
3MIDY.B,D,20240423,000000,5.837,5.837,5.837,5.837,0,0
3MIDY.B,D,20240424,000000,5.819,5.819,5.819,5.819,0,0
3MIDY.B,D,20240425,000000,5.901,5.901,5.842,5.842,0,0
3MIDY.B,D,20240426,000000,5.828,5.828,5.828,5.828,0,0
3MIDY.B,D,20240429,000000,5.895,5.895,5.895,5.895,0,0
3MIDY.B,D,20240430,000000,5.902,5.902,5.902,5.902,0,0
3MIDY.B,D,20240502,000000,5.883,5.883,5.883,5.883,0,0
3MIDY.B,D,20240503,000000,5.916,5.963,5.916,5.963,0,0
3MIDY.B,D,20240506,000000,5.943,5.943,5.943,5.943,0,0
3MIDY.B,D,20240507,000000,5.923,5.923,5.923,5.923,0,0
3MIDY.B,D,20240508,000000,6.079,6.079,6.079,6.079,0,0
3MIDY.B,D,20240513,000000,6.053,6.053,5.898,5.898,0,0
3MIDY.B,D,20240514,000000,5.876,5.876,5.876,5.876,0,0
3MIDY.B,D,20240515,000000,5.8,5.881,5.8,5.881,0,0
3MIDY.B,D,20240516,000000,5.886,5.953,5.886,5.953,0,0
3MIDY.B,D,20240517,000000,5.793,5.793,5.753,5.753,0,0
3MIDY.B,D,20240520,000000,5.775,5.775,5.775,5.775,0,0
3MIDY.B,D,20240521,000000,5.756,5.756,5.756,5.756,0,0
3MIDY.B,D,20240522,000000,5.778,5.778,5.778,5.778,0,0
3MIDY.B,D,20240527,000000,5.721,5.721,5.721,5.721,0,0
3MIDY.B,D,20240528,000000,5.788,5.788,5.744,5.744,0,0
3MIDY.B,D,20240529,000000,5.812,5.812,5.768,5.768,0,0
3MIDY.B,D,20240531,000000,5.822,5.822,5.775,5.775,0,0
3MIDY.B,D,20240603,000000,5.801,5.801,5.801,5.801,0,0
3MIDY.B,D,20240604,000000,5.827,5.827,5.827,5.827,0,0
3MIDY.B,D,20240605,000000,5.757,5.757,5.757,5.757,0,0
3MIDY.B,D,20240606,000000,5.784,5.867,5.784,5.867,0,0
3MIDY.B,D,20240607,000000,5.867,5.867,5.867,5.867,0,0
3MIDY.B,D,20240610,000000,5.822,5.822,5.822,5.822,0,0
3MIDY.B,D,20240611,000000,5.822,5.822,5.796,5.796,0,0
3MIDY.B,D,20240612,000000,5.796,5.993,5.796,5.993,0,0
3MIDY.B,D,20240613,000000,5.993,5.993,5.856,5.856,0,0
3MIDY.B,D,20240614,000000,5.856,5.856,5.834,5.834,0,0
3MIDY.B,D,20240619,000000,5.872,5.872,5.872,5.872,0,0
3MIDY.B,D,20240620,000000,5.872,5.872,5.843,5.843,0,0
3MIDY.B,D,20240621,000000,5.843,5.843,5.819,5.819,0,0
3MIDY.B,D,20240624,000000,5.819,5.819,5.787,5.787,0,0
3MIDY.B,D,20240625,000000,5.787,5.787,5.755,5.755,0,0
3MIDY.B,D,20240626,000000,5.755,5.792,5.755,5.792,0,0
3MIDY.B,D,20240627,000000,5.792,5.794,5.792,5.794,0,0
3MIDY.B,D,20240628,000000,5.794,5.794,5.762,5.762,0,0
3MIDY.B,D,20240701,000000,5.762,5.803,5.762,5.803,0,0
3MIDY.B,D,20240702,000000,5.803,5.803,5.766,5.766,0,0
3MIDY.B,D,20240703,000000,5.766,5.808,5.766,5.808,0,0
3MIDY.B,D,20240704,000000,5.808,5.808,5.689,5.689,0,0
3MIDY.B,D,20240705,000000,5.689,5.734,5.689,5.734,0,0
3MIDY.B,D,20240708,000000,5.734,5.734,5.603,5.603,0,0
3MIDY.B,D,20240709,000000,5.603,5.647,5.603,5.647,0,0
3MIDY.B,D,20240710,000000,5.647,5.647,5.6,5.6,0,0
3MIDY.B,D,20240711,000000,5.6,5.646,5.6,5.646,0,0
3MIDY.B,D,20240712,000000,5.646,5.695,5.646,5.695,0,0
3MIDY.B,D,20240715,000000,5.695,5.851,5.695,5.749,0,0
3MIDY.B,D,20240716,000000,5.749,5.826,5.749,5.826,0,0
