<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3MJPP.B,D,20240321,000000,99.986,99.99,99.986,99.99,0,0
3MJPP.B,D,20240322,000000,99.99,99.99,99.99,99.99,0,0
3MJPP.B,D,20240325,000000,99.99,100.012,99.99,100.012,0,0
3MJPP.B,D,20240326,000000,100.01,100.01,100.01,100.01,0,0
3MJPP.B,D,20240327,000000,100.012,100.012,100.012,100.012,0,0
3MJPP.B,D,20240328,000000,100.004,100.004,100.004,100.004,0,0
3MJPP.B,D,20240329,000000,100.009,100.009,100.009,100.009,0,0
3MJPP.B,D,20240401,000000,100.009,100.009,100.009,100.009,0,0
3MJPP.B,D,20240402,000000,100.009,100.009,100.009,100.009,0,0
3MJPP.B,D,20240403,000000,100.008,100.008,100.008,100.008,0,0
3MJPP.B,D,20240404,000000,99.996,99.996,99.996,99.996,0,0
3MJPP.B,D,20240405,000000,99.996,99.996,99.996,99.996,0,0
3MJPP.B,D,20240408,000000,99.996,99.996,99.994,99.994,0,0
3MJPP.B,D,20240409,000000,99.999,99.999,99.999,99.999,0,0
3MJPP.B,D,20240410,000000,99.999,99.999,99.999,99.999,0,0
3MJPP.B,D,20240411,000000,99.999,99.999,99.999,99.999,0,0
3MJPP.B,D,20240412,000000,99.999,99.999,99.999,99.999,0,0
3MJPP.B,D,20240415,000000,99.999,99.999,99.986,99.986,0,0
3MJPP.B,D,20240416,000000,99.997,99.997,99.997,99.997,0,0
3MJPP.B,D,20240417,000000,99.997,99.997,99.997,99.997,0,0
3MJPP.B,D,20240418,000000,99.996,99.996,99.996,99.996,0,0
3MJPP.B,D,20240419,000000,99.995,99.995,99.995,99.995,0,0
3MJPP.B,D,20240422,000000,99.995,99.997,99.995,99.997,0,0
3MJPP.B,D,20240423,000000,99.997,99.997,99.997,99.997,0,0
3MJPP.B,D,20240424,000000,99.995,99.995,99.995,99.995,0,0
3MJPP.B,D,20240425,000000,99.994,99.994,99.994,99.994,0,0
3MJPP.B,D,20240426,000000,99.994,99.994,99.994,99.994,0,0
3MJPP.B,D,20240430,000000,99.994,99.994,99.994,99.994,0,0
3MJPP.B,D,20240501,000000,99.994,99.994,99.994,99.994,0,0
3MJPP.B,D,20240502,000000,99.994,99.994,99.994,99.994,0,0
3MJPP.B,D,20240507,000000,99.994,99.994,99.99,99.99,0,0
3MJPP.B,D,20240508,000000,99.991,99.991,99.991,99.991,0,0
3MJPP.B,D,20240509,000000,99.991,99.991,99.991,99.991,0,0
3MJPP.B,D,20240510,000000,99.99,99.99,99.99,99.99,0,0
3MJPP.B,D,20240513,000000,99.99,99.992,99.99,99.992,0,0
3MJPP.B,D,20240514,000000,99.993,99.993,99.993,99.993,0,0
3MJPP.B,D,20240515,000000,99.992,99.992,99.992,99.992,0,0
3MJPP.B,D,20240516,000000,99.992,99.993,99.992,99.993,0,0
3MJPP.B,D,20240517,000000,99.993,99.993,99.993,99.993,0,0
3MJPP.B,D,20240520,000000,99.993,99.993,99.991,99.991,0,0
3MJPP.B,D,20240521,000000,99.991,99.991,99.991,99.991,0,0
3MJPP.B,D,20240522,000000,99.99,99.99,99.99,99.99,0,0
3MJPP.B,D,20240523,000000,99.99,99.99,99.99,99.99,0,0
3MJPP.B,D,20240524,000000,99.991,99.991,99.991,99.991,0,0
3MJPP.B,D,20240527,000000,99.991,99.991,99.977,99.977,0,0
3MJPP.B,D,20240528,000000,99.977,99.977,99.977,99.977,0,0
3MJPP.B,D,20240529,000000,99.977,99.977,99.977,99.977,0,0
