<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
5YFRP.B,D,20240321,000000,100.476,100.476,100.315,100.315,0,0
5YFRP.B,D,20240322,000000,100.507,100.561,100.507,100.561,0,0
5YFRP.B,D,20240325,000000,100.561,100.561,100.256,100.256,0,0
5YFRP.B,D,20240326,000000,100.304,100.306,100.304,100.306,0,0
5YFRP.B,D,20240327,000000,100.375,100.549,100.375,100.549,0,0
5YFRP.B,D,20240328,000000,100.351,100.351,100.351,100.351,0,0
5YFRP.B,D,20240402,000000,100.443,100.443,100.154,100.154,0,0
5YFRP.B,D,20240403,000000,100.093,100.135,100.093,100.135,0,0
5YFRP.B,D,20240404,000000,100.201,100.323,100.201,100.323,0,0
5YFRP.B,D,20240405,000000,100.376,100.376,100.22,100.22,0,0
5YFRP.B,D,20240408,000000,100.22,100.22,100.004,100.004,0,0
5YFRP.B,D,20240409,000000,100.075,100.252,100.075,100.252,0,0
5YFRP.B,D,20240410,000000,100.241,100.241,99.917,99.917,0,0
5YFRP.B,D,20240411,000000,99.761,99.761,99.709,99.709,0,0
5YFRP.B,D,20240412,000000,100.108,100.108,100.108,100.108,0,0
5YFRP.B,D,20240415,000000,100.108,100.14,99.918,99.918,0,0
5YFRP.B,D,20240416,000000,99.932,99.932,99.664,99.664,0,0
5YFRP.B,D,20240417,000000,99.657,99.697,99.657,99.697,0,0
5YFRP.B,D,20240418,000000,99.825,99.825,99.66,99.66,0,0
5YFRP.B,D,20240419,000000,99.639,99.639,99.426,99.426,0,0
5YFRP.B,D,20240422,000000,99.426,99.618,99.426,99.618,0,0
5YFRP.B,D,20240423,000000,99.672,99.682,99.672,99.682,0,0
5YFRP.B,D,20240424,000000,99.526,99.526,99.274,99.274,0,0
5YFRP.B,D,20240425,000000,99.34,99.34,99.079,99.079,0,0
5YFRP.B,D,20240426,000000,99.178,99.358,99.178,99.358,0,0
5YFRP.B,D,20240429,000000,99.358,99.563,99.358,99.563,0,0
5YFRP.B,D,20240430,000000,99.47,99.47,99.277,99.277,0,0
5YFRP.B,D,20240502,000000,99.277,99.466,99.277,99.383,0,0
5YFRP.B,D,20240503,000000,99.45,99.628,99.45,99.628,0,0
5YFRP.B,D,20240506,000000,99.628,99.862,99.628,99.862,0,0
5YFRP.B,D,20240507,000000,99.863,99.909,99.863,99.909,0,0
5YFRP.B,D,20240508,000000,99.846,99.846,99.744,99.744,0,0
5YFRP.B,D,20240509,000000,99.604,99.615,99.604,99.615,0,0
5YFRP.B,D,20240510,000000,99.717,99.717,99.494,99.494,0,0
5YFRP.B,D,20240513,000000,99.494,99.547,99.494,99.547,0,0
5YFRP.B,D,20240514,000000,99.629,99.629,99.457,99.457,0,0
5YFRP.B,D,20240515,000000,99.549,99.788,99.549,99.788,0,0
5YFRP.B,D,20240516,000000,99.788,99.947,99.788,99.79,0,0
5YFRP.B,D,20240517,000000,99.619,99.619,99.507,99.507,0,0
5YFRP.B,D,20240520,000000,99.507,99.507,99.432,99.432,0,0
5YFRP.B,D,20240521,000000,99.432,99.582,99.432,99.582,0,0
5YFRP.B,D,20240522,000000,99.406,99.426,99.406,99.426,0,0
5YFRP.B,D,20240523,000000,99.243,99.243,99.025,99.025,0,0
5YFRP.B,D,20240524,000000,99.134,99.134,99.076,99.076,0,0
5YFRP.B,D,20240527,000000,99.076,99.283,99.076,99.283,0,0
5YFRP.B,D,20240528,000000,99.297,99.297,99.203,99.203,0,0
5YFRP.B,D,20240529,000000,99.105,99.105,98.881,98.881,0,0
5YFRP.B,D,20240530,000000,98.896,98.896,98.842,98.842,0,0
5YFRP.B,D,20240531,000000,98.851,98.976,98.851,98.976,0,0
5YFRP.B,D,20240603,000000,98.976,99.233,98.929,99.233,0,0
5YFRP.B,D,20240604,000000,99.373,99.384,99.373,99.384,0,0
5YFRP.B,D,20240605,000000,99.35,99.356,99.35,99.356,0,0
5YFRP.B,D,20240606,000000,99.383,99.383,99.253,99.253,0,0
5YFRP.B,D,20240607,000000,99.194,99.194,98.938,98.938,0,0
5YFRP.B,D,20240610,000000,98.938,98.938,98.608,98.608,0,0
5YFRP.B,D,20240611,000000,98.524,98.552,98.524,98.552,0,0
5YFRP.B,D,20240612,000000,98.661,99.037,98.661,99.037,0,0
5YFRP.B,D,20240613,000000,98.816,98.964,98.816,98.964,0,0
5YFRP.B,D,20240614,000000,99.13,99.307,99.13,99.307,0,0
5YFRP.B,D,20240617,000000,99.307,99.307,99.026,99.044,0,0
5YFRP.B,D,20240618,000000,98.989,99.233,98.989,99.233,0,0
5YFRP.B,D,20240619,000000,99.117,99.117,99.069,99.069,0,0
5YFRP.B,D,20240620,000000,98.972,99.122,98.972,99.122,0,0
5YFRP.B,D,20240621,000000,99.317,99.317,99.064,99.064,0,0
5YFRP.B,D,20240624,000000,99.064,99.108,99.064,99.108,0,0
5YFRP.B,D,20240625,000000,99.233,99.233,99.123,99.123,0,0
5YFRP.B,D,20240626,000000,99.16,99.16,99.16,99.16,0,0
5YFRP.B,D,20240627,000000,98.866,98.89,98.866,98.89,0,0
5YFRP.B,D,20240628,000000,98.895,98.895,98.57,98.57,0,0
5YFRP.B,D,20240701,000000,98.57,98.713,98.548,98.548,0,0
5YFRP.B,D,20240702,000000,98.638,98.73,98.638,98.73,0,0
5YFRP.B,D,20240703,000000,98.676,98.889,98.676,98.889,0,0
5YFRP.B,D,20240704,000000,98.84,98.84,98.781,98.781,0,0
5YFRP.B,D,20240705,000000,98.811,98.94,98.811,98.94,0,0
5YFRP.B,D,20240708,000000,98.94,99.18,98.889,99.18,0,0
5YFRP.B,D,20240709,000000,99.18,99.18,98.99,98.99,0,0
5YFRP.B,D,20240710,000000,99.028,99.136,99.028,99.136,0,0
5YFRP.B,D,20240711,000000,99.078,99.435,99.078,99.435,0,0
5YFRP.B,D,20240712,000000,99.272,99.34,99.272,99.34,0,0
5YFRP.B,D,20240715,000000,99.34,99.494,99.34,99.494,0,0
5YFRP.B,D,20240716,000000,99.604,99.604,99.578,99.578,0,0
5YFRP.B,D,20240717,000000,99.67,99.67,99.618,99.618,0,0
5YFRP.B,D,20240718,000000,99.581,99.581,99.581,99.581,0,0
5YFRP.B,D,20240719,000000,99.727,99.727,99.727,99.727,0,0
5YFRP.B,D,20240722,000000,99.727,99.727,99.416,99.416,0,0
5YFRP.B,D,20240723,000000,99.468,99.468,99.456,99.456,0,0
5YFRP.B,D,20240724,000000,99.623,99.623,99.581,99.581,0,0
5YFRP.B,D,20240725,000000,99.766,99.766,99.762,99.762,0,0
5YFRP.B,D,20240726,000000,99.593,99.787,99.593,99.787,0,0
5YFRP.B,D,20240729,000000,99.787,99.87,99.787,99.854,0,0
5YFRP.B,D,20240730,000000,99.958,99.962,99.958,99.962,0,0
5YFRP.B,D,20240731,000000,100.155,100.155,100.149,100.149,0,0
5YFRP.B,D,20240801,000000,100.275,100.275,100.275,100.275,0,0
5YFRP.B,D,20240802,000000,100.366,100.645,100.366,100.645,0,0
5YFRP.B,D,20240805,000000,100.645,100.71,100.453,100.453,0,0
5YFRP.B,D,20240806,000000,100.493,100.514,100.493,100.514,0,0
5YFRP.B,D,20240807,000000,100.249,100.327,100.249,100.327,0,0
5YFRP.B,D,20240808,000000,100.532,100.532,100.352,100.352,0,0
5YFRP.B,D,20240809,000000,100.42,100.511,100.42,100.511,0,0
5YFRP.B,D,20240812,000000,100.511,100.511,100.511,100.511,0,0
5YFRP.B,D,20240813,000000,100.474,100.641,100.474,100.641,0,0
5YFRP.B,D,20240814,000000,100.603,100.728,100.603,100.728,0,0
5YFRP.B,D,20240815,000000,100.665,100.665,100.389,100.389,0,0
5YFRP.B,D,20240816,000000,100.332,100.332,100.332,100.332,0,0
5YFRP.B,D,20240819,000000,100.332,100.477,100.332,100.333,0,0
5YFRP.B,D,20240820,000000,100.443,100.476,100.443,100.476,0,0
5YFRP.B,D,20240821,000000,100.48,100.564,100.48,100.564,0,0
5YFRP.B,D,20240822,000000,100.708,100.708,100.546,100.546,0,0
5YFRP.B,D,20240823,000000,100.477,100.625,100.477,100.625,0,0
5YFRP.B,D,20240826,000000,100.625,100.625,100.523,100.523,0,0
5YFRP.B,D,20240827,000000,100.501,100.501,100.27,100.27,0,0
5YFRP.B,D,20240828,000000,100.391,100.465,100.391,100.465,0,0
5YFRP.B,D,20240829,000000,100.521,100.524,100.521,100.524,0,0
5YFRP.B,D,20240830,000000,100.552,100.552,100.412,100.412,0,0
5YFRP.B,D,20240902,000000,100.412,100.412,100.238,100.272,0,0
5YFRP.B,D,20240903,000000,100.277,100.277,100.277,100.277,0,0
5YFRP.B,D,20240904,000000,100.615,100.674,100.615,100.674,0,0
5YFRP.B,D,20240905,000000,100.747,100.776,100.747,100.776,0,0
5YFRP.B,D,20240906,000000,100.955,100.955,100.843,100.843,0,0
5YFRP.B,D,20240909,000000,100.843,100.982,100.843,100.982,0,0
5YFRP.B,D,20240910,000000,101.005,101.005,101.005,101.005,0,0
5YFRP.B,D,20240911,000000,101.335,101.364,101.335,101.364,0,0
5YFRP.B,D,20240912,000000,101.257,101.257,101.18,101.18,0,0
5YFRP.B,D,20240913,000000,101.246,101.246,101.142,101.142,0,0
5YFRP.B,D,20240916,000000,101.142,101.184,101.142,101.184,0,0
5YFRP.B,D,20240917,000000,101.285,101.285,101.095,101.095,0,0
5YFRP.B,D,20240918,000000,101.023,101.023,100.909,100.909,0,0
5YFRP.B,D,20240919,000000,100.885,100.901,100.885,100.901,0,0
