<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACA.V,D,20220514,000000,0.447238,0.470341,0.389181,0.467298,8045024.160140823,0
ACA.V,D,20220515,000000,0.468343,0.54224,0.458312,0.506341,7918594.471400893,0
ACA.V,D,20220516,000000,0.509388,0.527366,0.451412,0.471339,2464901.2524422063,0
ACA.V,D,20220517,000000,0.473384,0.509286,0.455498,0.478377,3096796.4040766316,0
ACA.V,D,20220518,000000,0.477426,0.485417,0.400479,0.411464,3095416.743907985,0
ACA.V,D,20220519,000000,0.41342,0.418455,0.363636,0.379658,9052894.407542039,0
ACA.V,D,20220520,000000,0.378659,0.409672,0.358533,0.369556,8667104.75643172,0
ACA.V,D,20220521,000000,0.369556,0.397483,0.352541,0.381503,7170713.124589012,0
ACA.V,D,20220522,000000,0.381503,0.400439,0.373514,0.390531,3217826.51417625,0
ACA.V,D,20220523,000000,0.389532,0.400599,0.370555,0.381542,5157369.639680533,0
ACA.V,D,20220524,000000,0.378545,0.475476,0.352612,0.417415,18415923.52558265,0
ACA.V,D,20220525,000000,0.417415,0.451503,0.38158,0.405513,9508333.765094804,0
ACA.V,D,20220526,000000,0.404514,0.406552,0.340591,0.368594,2986933.429408501,0
ACA.V,D,20220527,000000,0.367632,0.373626,0.333666,0.347652,2662696.6596662677,0
ACA.V,D,20220528,000000,0.347603,0.360581,0.347523,0.360581,1318418.9213815127,0
ACA.V,D,20220529,000000,0.359572,0.371595,0.347628,0.369593,1626358.7111723372,0
ACA.V,D,20220530,000000,0.370588,0.453546,0.367595,0.430698,15206501.626964403,0
ACA.V,D,20220531,000000,0.430698,0.46263,0.396682,0.417666,4345689.026916303,0
ACA.V,D,20220601,000000,0.416675,0.433653,0.372627,0.380619,2049969.4906222746,0
ACA.V,D,20220602,000000,0.379654,0.402637,0.375662,0.400639,1838992.214502119,0
ACA.V,D,20220603,000000,0.401638,0.41063,0.357714,0.371676,3356009.370825662,0
ACA.V,D,20220604,000000,0.372675,0.376706,0.360621,0.374715,3353112.8104134933,0
ACA.V,D,20220605,000000,0.375722,0.39073,0.365689,0.370651,3365397.9149943898,0
ACA.V,D,20220606,000000,0.370651,0.395679,0.369648,0.385676,12388369.68355088,0
ACA.V,D,20220607,000000,0.384677,0.386679,0.354705,0.379696,7592717.656234925,0
ACA.V,D,20220608,000000,0.378693,0.381713,0.358738,0.361765,10914593.406179098,0
ACA.V,D,20220609,000000,0.362764,0.370699,0.354716,0.36869,6110080.624513162,0
ACA.V,D,20220610,000000,0.367687,0.368694,0.335593,0.340567,16187442.989377191,0
ACA.V,D,20220611,000000,0.340567,0.342623,0.302624,0.314641,4079191.5639554993,0
