<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMP.V,D,20201020,000000,0.005516,0.005516,0.005516,0.005516,0,0
AMP.V,D,20201021,000000,0.005516,0.005922,0.005313,0.005313,0,0
AMP.V,D,20201022,000000,0.005313,0.005916,0.005277,0.005277,0,0
AMP.V,D,20201023,000000,0.005277,0.005277,0.005277,0.005277,0,0
AMP.V,D,20201024,000000,0.005277,0.005629,0.004995,0.005629,0,0
AMP.V,D,20201025,000000,0.005629,0.005629,0.004995,0.004995,0,0
AMP.V,D,20201026,000000,0.004995,0.004995,0.004947,0.004947,0,0
AMP.V,D,20201027,000000,0.004947,0.005092,0.004806,0.004806,0,0
AMP.V,D,20201028,000000,0.004806,0.004806,0.004514,0.004514,0,0
AMP.V,D,20201029,000000,0.004514,0.00456,0.004072,0.00456,0,0
AMP.V,D,20201030,000000,0.00456,0.004638,0.003358,0.004052,0,0
AMP.V,D,20201031,000000,0.004052,0.004777,0.004012,0.004012,0,0
AMP.V,D,20201101,000000,0.004012,0.004633,0.003818,0.004072,0,0
AMP.V,D,20201102,000000,0.004072,0.004077,0.003822,0.004077,0,0
AMP.V,D,20201103,000000,0.004077,0.004077,0.003707,0.004004,0,0
AMP.V,D,20201104,000000,0.004004,0.004004,0.003765,0.004004,0,0
AMP.V,D,20201105,000000,0.004004,0.004036,0.0037,0.0037,0,0
AMP.V,D,20201106,000000,0.0037,0.005272,0.00305,0.004942,0,0
AMP.V,D,20201107,000000,0.004942,0.004952,0.003657,0.003657,0,0
AMP.V,D,20201108,000000,0.003657,0.003822,0.003654,0.003822,0,0
AMP.V,D,20201109,000000,0.003822,0.004168,0.003818,0.003818,0,0
AMP.V,D,20201110,000000,0.003818,0.003822,0.003358,0.003506,0,0
AMP.V,D,20201111,000000,0.003506,0.003826,0.003506,0.003826,0,0
AMP.V,D,20201112,000000,0.003826,0.004295,0.003818,0.004295,0,0
AMP.V,D,20201113,000000,0.004295,0.004295,0.00372,0.003818,0,0
AMP.V,D,20201114,000000,0.003818,0.003818,0.0036,0.0036,0,0
AMP.V,D,20201115,000000,0.0036,0.004076,0.0036,0.003605,0,0
