<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BICO.V,D,20220515,000000,0.643098,0.772839,0.626122,0.6662,7910262.9825723,0
BICO.V,D,20220516,000000,0.6662,0.712144,0.591171,0.617197,1940132.9862503,0
BICO.V,D,20220517,000000,0.618195,0.641165,0.59123,0.621191,1633409.3644082,0
BICO.V,D,20220518,000000,0.620255,0.646224,0.562268,0.638169,2015778.1970175,0
BICO.V,D,20220519,000000,0.640103,0.792888,0.640103,0.718281,14334826.876651,0
BICO.V,D,20220520,000000,0.718281,0.730196,0.655344,0.6911,3089749.3070479,0
BICO.V,D,20220521,000000,0.692099,0.749025,0.655213,0.715069,3498631.2161951,0
BICO.V,D,20220522,000000,0.715069,0.747028,0.67612,0.680183,2092780.3478566,0
BICO.V,D,20220523,000000,0.681182,0.718281,0.660207,0.679184,2079138.2533497,0
BICO.V,D,20220524,000000,0.679184,0.723204,0.635237,0.685108,3134156.2536295,0
BICO.V,D,20220525,000000,0.686107,0.701158,0.648286,0.65721,1207259.6911672,0
BICO.V,D,20220526,000000,0.658609,0.66317,0.59129,0.634964,1511054.2415104,0
BICO.V,D,20220527,000000,0.633466,0.724974,0.584157,0.664535,5718453.7365456,0
BICO.V,D,20220528,000000,0.665241,0.682215,0.636127,0.647242,2239754.5536754,0
BICO.V,D,20220529,000000,0.643234,0.658269,0.62729,0.646288,1799361.4152221,0
BICO.V,D,20220530,000000,0.64778,0.700809,0.641593,0.694913,1665026.337713,0
BICO.V,D,20220531,000000,0.694414,1.014188,0.689448,0.883204,30880695.300449,0
BICO.V,D,20220601,000000,0.883293,0.92426,0.721278,0.733339,10433424.981289,0
BICO.V,D,20220602,000000,0.731534,0.740333,0.701368,0.735338,2827563.0531522,0
BICO.V,D,20220603,000000,0.733339,0.760015,0.660271,0.713379,4196058.4527329,0
BICO.V,D,20220604,000000,0.713379,0.734302,0.675439,0.694472,8810200.5196262,0
BICO.V,D,20220605,000000,0.694472,0.769338,0.677478,0.742302,8131325.1084253,0
BICO.V,D,20220606,000000,0.742302,0.803325,0.709396,0.724391,16269365.677571,0
BICO.V,D,20220607,000000,0.723385,0.725397,0.663469,0.71143,14095991.512715,0
BICO.V,D,20220608,000000,0.71143,0.714499,0.663522,0.679565,9463599.8876467,0
BICO.V,D,20220609,000000,0.678559,0.688407,0.654515,0.672435,6048688.9282765,0
BICO.V,D,20220610,000000,0.672428,0.690433,0.613288,0.630192,12859409.933806,0
BICO.V,D,20220611,000000,0.630199,0.64431,0.51536,0.536388,16928562.881913,0
BICO.V,D,20220612,000000,0.537387,0.572358,0.481316,0.512369,12461456.45174,0
BICO.V,D,20220613,000000,0.512364,0.512364,0.43676,0.489324,48081496.061942,0
BICO.V,D,20220614,000000,0.489324,0.528212,0.462329,0.497402,70791369.005028,0
BICO.V,D,20220615,000000,0.496409,0.54923,0.461168,0.548177,49051041.218346,0
BICO.V,D,20220616,000000,0.5453,0.5453,0.4793,0.5,9722829.4448676,0
BICO.V,D,20220617,000000,0.496309,0.68142,0.491915,0.509488,42711302.500502,0
BICO.V,D,20220618,000000,0.50789,0.518388,0.451331,0.481214,51490093.446654,0
