<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CKB.V,D,20220514,000000,0.00450233,0.0047928,0.00416955,0.00474335,150137647.26105,0
CKB.V,D,20220515,000000,0.00476284,0.00548231,0.00453319,0.00512333,183540280.88471,0
CKB.V,D,20220516,000000,0.00512384,0.0051638,0.00469483,0.00487366,132656207.81545,0
CKB.V,D,20220517,000000,0.00489363,0.00538353,0.00479328,0.00510336,75216386.121937,0
CKB.V,D,20220518,000000,0.00512384,0.0051638,0.00478377,0.00480375,49122862.778221,0
CKB.V,D,20220519,000000,0.00482324,0.00501498,0.00460401,0.00494505,35109402.049942,0
CKB.V,D,20220520,000000,0.00492556,0.00503395,0.0047638,0.0048242,32171647.630761,0
CKB.V,D,20220521,000000,0.00483419,0.00503345,0.00477379,0.00495355,39033419.411021,0
CKB.V,D,20220522,000000,0.00493358,0.0050734,0.00490313,0.00502396,38284132.802546,0
CKB.V,D,20220523,000000,0.00503395,0.00515484,0.00497452,0.00503395,58932436.395609,0
CKB.V,D,20220524,000000,0.00503345,0.00504444,0.00477426,0.00494307,101330285.79802,0
CKB.V,D,20220525,000000,0.00493358,0.00504394,0.00472432,0.00477426,60872360.565863,0
CKB.V,D,20220526,000000,0.00477426,0.00478473,0.00428528,0.00438561,75692833.665179,0
CKB.V,D,20220527,000000,0.00440559,0.00442557,0.00415584,0.00425574,59156043.899677,0
CKB.V,D,20220528,000000,0.00421515,0.00437553,0.00417477,0.00433492,34020567.46812,0
CKB.V,D,20220529,000000,0.00432485,0.00454527,0.00429514,0.0045153,41127439.807286,0
CKB.V,D,20220530,000000,0.00452497,0.00504596,0.00451512,0.00483661,174724044.23955,0
CKB.V,D,20220531,000000,0.00486659,0.00489608,0.00459632,0.00467579,85849205.46359,0
CKB.V,D,20220601,000000,0.00467668,0.00475619,0.00443512,0.00451593,27888637.663536,0
CKB.V,D,20220602,000000,0.00451548,0.00456589,0.00442601,0.00453591,79387867.157816,0
CKB.V,D,20220603,000000,0.00454591,0.0045965,0.00433588,0.00441615,33462619.3746,0
CKB.V,D,20220604,000000,0.00441615,0.0044766,0.00435542,0.0044766,255755486.42963,0
CKB.V,D,20220605,000000,0.00447668,0.00484549,0.00439608,0.00474553,247380657.74429,0
CKB.V,D,20220606,000000,0.00473554,0.00475553,0.00458596,0.00462611,518375478.83434,0
CKB.V,D,20220607,000000,0.00462606,0.0046362,0.0043364,0.00458619,430237381.16664,0
CKB.V,D,20220608,000000,0.00457634,0.00458651,0.00431706,0.00437715,361187016.38037,0
CKB.V,D,20220609,000000,0.00436716,0.0044964,0.00427662,0.00433635,336489477.27881,0
CKB.V,D,20220610,000000,0.00432632,0.00433648,0.00401542,0.00403487,396462341.89393,0
CKB.V,D,20220611,000000,0.00404482,0.00418531,0.00380531,0.00395549,206106225.43117,0
CKB.V,D,20220612,000000,0.00394554,0.00398553,0.00369475,0.00379533,107206209.55376,0
CKB.V,D,20220613,000000,0.00377531,0.00379533,0.00328085,0.0034252,637544522.61135,0
CKB.V,D,20220614,000000,0.00341525,0.00349559,0.00317533,0.00339592,2048632851.4931,0
CKB.V,D,20220615,000000,0.00341586,0.00350614,0.00308444,0.00349475,1165784450.3869,0
CKB.V,D,20220616,000000,0.0034951,0.00351578,0.003326,0.00335563,245550161.71092,0
CKB.V,D,20220617,000000,0.00322451,0.00330576,0.00315489,0.00319616,1567300243.3999,0
CKB.V,D,20220618,000000,0.00320618,0.00322587,0.00279586,0.00288532,1869748406.713,0
CKB.V,D,20220619,000000,0.0028953,0.00309628,0.00280581,0.00306601,575656862.81971,0
CKB.V,D,20220620,000000,0.00306601,0.00310689,0.00297642,0.00302636,248578326.50651,0
CKB.V,D,20220621,000000,0.00302636,0.0045954,0.00301638,0.00398561,720065687.03607,0
CKB.V,D,20220622,000000,0.00396563,0.0042957,0.00333633,0.00343656,618774092.27984,0
CKB.V,D,20220623,000000,0.00343656,0.00355644,0.00337662,0.00352647,117142215.29512,0
CKB.V,D,20220624,000000,0.00355644,0.00372705,0.00348651,0.00370711,430135006.2271,0
CKB.V,D,20220625,000000,0.00371628,0.00377622,0.00352774,0.00366743,212885273.37518,0
CKB.V,D,20220626,000000,0.00366743,0.00370748,0.00358781,0.00361776,104271080.61618,0
CKB.V,D,20220627,000000,0.00360787,0.00375774,0.0035478,0.0036667,79199653.045828,0
CKB.V,D,20220628,000000,0.00365656,0.00398637,0.00361681,0.0036555,119444553.8204,0
CKB.V,D,20220629,000000,0.00365546,0.0036555,0.00348452,0.0035457,128281485.01576,0
CKB.V,D,20220630,000000,0.00355573,0.00355573,0.00327577,0.00334598,212306414.37419,0
CKB.V,D,20220701,000000,0.00333599,0.00351613,0.003326,0.00341624,119155993.21764,0
CKB.V,D,20220702,000000,0.00341624,0.00348581,0.00334598,0.00345585,91910786.868972,0
CKB.V,D,20220703,000000,0.00345585,0.00346584,0.0033553,0.00344552,94329779.181262,0
CKB.V,D,20220704,000000,0.00344552,0.00355573,0.00337527,0.00354574,42300796.940484,0
CKB.V,D,20220705,000000,0.00353575,0.00362601,0.00344586,0.00361602,62765903.329694,0
CKB.V,D,20220706,000000,0.00361602,0.00361602,0.00346618,0.00358605,61233262.760557,0
CKB.V,D,20220707,000000,0.00357606,0.00379734,0.00351578,0.00372776,96014807.378377,0
CKB.V,D,20220708,000000,0.00373776,0.00381694,0.00364781,0.00372776,62815475.81047,0
CKB.V,D,20220709,000000,0.00372776,0.00378773,0.00366743,0.00374775,53708003.588752,0
CKB.V,D,20220710,000000,0.00374737,0.00375774,0.00355751,0.00360783,46550715.284449,0
CKB.V,D,20220711,000000,0.00360783,0.00360783,0.00344758,0.00345654,32805649.68749,0
CKB.V,D,20220712,000000,0.00345689,0.00498501,0.00333666,0.00444555,1940271899.9735,0
CKB.V,D,20220713,000000,0.00444555,0.00448569,0.00361638,0.00375662,1359070733.9764,0
CKB.V,D,20220714,000000,0.00376661,0.00390765,0.00367706,0.00381771,194592198.48137,0
CKB.V,D,20220715,000000,0.00381733,0.00397881,0.00379734,0.00397881,146536649.17825,0
CKB.V,D,20220716,000000,0.00397881,0.0046686,0.00391882,0.00419874,824286712.86654,0
CKB.V,D,20220717,000000,0.00419916,0.00425898,0.00403871,0.00409889,106682155.21492,0
CKB.V,D,20220718,000000,0.00410893,0.00461908,0.00402991,0.00441898,313623994.25816,0
CKB.V,D,20220719,000000,0.00442867,0.00477,0.00440899,0.00459073,269530489.281,0
CKB.V,D,20220720,000000,0.00459,0.00460037,0.00413992,0.00425021,262212481.41266,0
CKB.V,D,20220721,000000,0.00425025,0.00425025,0.00411041,0.00423106,96206154.690412,0
CKB.V,D,20220722,000000,0.00421601,0.00431329,0.00410762,0.00411762,143599646.1086,0
CKB.V,D,20220723,000000,0.00412,0.00422292,0.00391692,0.00401752,68240947.399007,0
CKB.V,D,20220724,000000,0.00400776,0.00422283,0.00398144,0.00415183,56843382.806844,0
CKB.V,D,20220725,000000,0.00412182,0.00480005,0.00390131,0.00411037,593826115.47335,0
CKB.V,D,20220726,000000,0.00411037,0.00415037,0.00390008,0.00396059,109461875.76709,0
CKB.V,D,20220727,000000,0.00395659,0.00428254,0.00395555,0.00421901,111592511.24913,0
CKB.V,D,20220728,000000,0.0042271,0.00448027,0.00417929,0.00445089,251897985.03682,0
CKB.V,D,20220729,000000,0.00444111,0.00457119,0.00414132,0.00448179,635141519.9886,0
CKB.V,D,20220730,000000,0.00448179,0.00465172,0.00443168,0.00448152,161086526.5521,0
CKB.V,D,20220731,000000,0.00448166,0.00465121,0.00445125,0.00447103,119180147.69576,0
CKB.V,D,20220801,000000,0.00448108,0.00455114,0.00417108,0.00439127,516103767.33488,0
CKB.V,D,20220802,000000,0.00439132,0.00449175,0.00425102,0.00442075,109956015.48502,0
CKB.V,D,20220803,000000,0.00443884,0.00453045,0.0042926,0.00448712,75081767.373081,0
CKB.V,D,20220804,000000,0.00448334,0.00453359,0.0042993,0.00441113,80903693.781419,0
CKB.V,D,20220805,000000,0.00440818,0.00495005,0.00433739,0.00481091,394811041.64902,0
CKB.V,D,20220806,000000,0.00480091,0.0049,0.00469084,0.00474104,102732234.07077,0
CKB.V,D,20220807,000000,0.00474104,0.00492694,0.00460015,0.00491093,84186035.615235,0
CKB.V,D,20220808,000000,0.00491493,0.00519104,0.00480062,0.00481058,540645916.93256,0
CKB.V,D,20220809,000000,0.00480058,0.00520151,0.00459087,0.00495099,417458427.58913,0
CKB.V,D,20220810,000000,0.00494099,0.00532314,0.00474104,0.00513149,293148163.3274,0
CKB.V,D,20220811,000000,0.00513154,0.0053125,0.00513149,0.00516243,148106274.9214,0
CKB.V,D,20220812,000000,0.00516258,0.00519259,0.00497199,0.00507233,95010258.292829,0
CKB.V,D,20220813,000000,0.00506428,0.00531287,0.00503922,0.00516301,91932424.886383,0
