<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAG.V,D,20220514,000000,0.106981,0.109144,0.092156,0.1084889,3586565.1835415,0
DAG.V,D,20220515,000000,0.1088275,0.1243372,0.1042643,0.1160606,4237114.2852711,0
DAG.V,D,20220516,000000,0.1171964,0.1196502,0.1085995,0.1150133,1435240.4585533,0
DAG.V,D,20220517,000000,0.1151172,0.1225115,0.1067071,0.1120474,2219422.3675259,0
DAG.V,D,20220518,000000,0.1129603,0.1129603,0.0962088,0.1039787,1887722.5592303,0
DAG.V,D,20220519,000000,0.1034959,0.114885,0.0990479,0.1084764,1806688.2425506,0
DAG.V,D,20220520,000000,0.1081326,0.11116,0.0997232,0.1073131,2726786.4167599,0
DAG.V,D,20220521,000000,0.1073041,0.1106688,0.1054082,0.1092378,2181515.0990177,0
DAG.V,D,20220522,000000,0.1100058,0.1150403,0.1084578,0.1097022,1007776.6295584,0
DAG.V,D,20220523,000000,0.1095254,0.1124119,0.1058688,0.1083758,1584510.8248978,0
DAG.V,D,20220524,000000,0.1086405,0.1088801,0.0968896,0.1008677,1448654.2372408,0
DAG.V,D,20220525,000000,0.1008687,0.1110794,0.0993586,0.102637,2549447.2611365,0
DAG.V,D,20220526,000000,0.1008788,0.106078,0.094234,0.09989,2702177.7626409,0
DAG.V,D,20220527,000000,0.100516,0.102295,0.076537,0.0941917,6873546.2524691,0
DAG.V,D,20220528,000000,0.0945342,0.0948917,0.0808137,0.087069,4334821.365937,0
DAG.V,D,20220529,000000,0.0870673,0.0946995,0.086055,0.0896166,2987185.2358583,0
DAG.V,D,20220530,000000,0.0896914,0.0977208,0.0894132,0.0970483,963182.16363383,0
DAG.V,D,20220531,000000,0.0970323,0.0970323,0.0893515,0.0903996,1683491.4326477,0
DAG.V,D,20220601,000000,0.0905375,0.1021692,0.083917,0.0852062,3643853.7607708,0
DAG.V,D,20220602,000000,0.0865883,0.0895693,0.0852972,0.0874133,2132242.7959798,0
DAG.V,D,20220603,000000,0.0871985,0.0893295,0.0780045,0.080408,3278801.9975251,0
DAG.V,D,20220604,000000,0.0809715,0.0852769,0.078832,0.0831936,1692973.9203271,0
DAG.V,D,20220605,000000,0.0834089,0.0837186,0.0774322,0.0781848,2379272.7672495,0
DAG.V,D,20220606,000000,0.0779941,0.0834007,0.0779941,0.0797861,1355442.52099,0
DAG.V,D,20220607,000000,0.0801768,0.0829819,0.0761406,0.0801568,1989822.3400634,0
DAG.V,D,20220608,000000,0.0802,0.0818349,0.0766103,0.0779233,3654431.4410473,0
DAG.V,D,20220609,000000,0.0783271,0.105384,0.0766114,0.0775248,2845432.5711646,0
DAG.V,D,20220610,000000,0.077524,0.0775256,0.0659274,0.0700618,82079244.90314,0
DAG.V,D,20220611,000000,0.0697972,0.0700569,0.0625851,0.0657553,6270750.9384647,0
DAG.V,D,20220612,000000,0.0659977,0.0669032,0.0617933,0.0617933,4264907.674553,0
DAG.V,D,20220613,000000,0.0616395,0.0619503,0.0491267,0.051728,16516245.102787,0
DAG.V,D,20220614,000000,0.0519267,0.0621867,0.0500798,0.057465,14234023.986527,0
DAG.V,D,20220615,000000,0.0572193,0.0646019,0.0509122,0.0620318,11935128.287339,0
DAG.V,D,20220616,000000,0.0618878,0.0639666,0.057178,0.0592149,4399965.7073579,0
DAG.V,D,20220617,000000,0.0598938,0.0643817,0.0572178,0.0600964,9616212.4554566,0
DAG.V,D,20220618,000000,0.0603505,0.0629866,0.0560307,0.0597325,24396593.729227,0
DAG.V,D,20220619,000000,0.0593936,0.0643327,0.0559321,0.0639931,7941567.929009,0
DAG.V,D,20220620,000000,0.0650718,0.0687942,0.0629144,0.0642592,6519449.2082335,0
DAG.V,D,20220621,000000,0.0639192,0.0746493,0.063532,0.0734105,3861411.5685667,0
DAG.V,D,20220622,000000,0.0734981,0.0737722,0.066261,0.0668461,2654572.916535,0
DAG.V,D,20220623,000000,0.0663496,0.072932,0.0658461,0.0703895,3469110.3788555,0
DAG.V,D,20220624,000000,0.0704295,0.0739415,0.068974,0.0739415,4872067.8137005,0
DAG.V,D,20220625,000000,0.073925,0.0801631,0.0714521,0.074291,7539132.543519,0
DAG.V,D,20220626,000000,0.074291,0.0785254,0.0731036,0.0740668,3079262.9662592,0
DAG.V,D,20220627,000000,0.0740228,0.0742411,0.0687422,0.0737498,3413821.3159178,0
DAG.V,D,20220628,000000,0.0737386,0.0742147,0.0691861,0.0700389,2184902.3878998,0
DAG.V,D,20220629,000000,0.0699132,0.0780119,0.0635636,0.0776646,6235042.1193694,0
DAG.V,D,20220630,000000,0.0769076,0.0801387,0.0681281,0.0681381,7110922.9704319,0
DAG.V,D,20220701,000000,0.0680183,0.0741744,0.0677004,0.0677004,4189708.4017421,0
DAG.V,D,20220702,000000,0.0675256,0.0681939,0.0630316,0.0666389,4264740.9099315,0
DAG.V,D,20220703,000000,0.0667268,0.0685436,0.0620552,0.0632886,1297239.4167718,0
DAG.V,D,20220704,000000,0.0632886,0.0697342,0.0620422,0.0683729,2000651.8282662,0
DAG.V,D,20220705,000000,0.0683768,0.0717638,0.0668517,0.0687243,3238562.3358447,0
DAG.V,D,20220706,000000,0.0689012,0.071748,0.0679252,0.0693037,3397282.1913637,0
DAG.V,D,20220707,000000,0.0698731,0.0729562,0.0679252,0.071552,2295784.4214693,0
DAG.V,D,20220708,000000,0.0717069,0.0744279,0.0695413,0.0711083,1509811.7332808,0
DAG.V,D,20220709,000000,0.071616,0.0752158,0.071574,0.0734559,345095.35521437,0
DAG.V,D,20220710,000000,0.0734259,0.0735858,0.0689586,0.0714891,1939553.0107625,0
DAG.V,D,20220711,000000,0.071667,0.0723073,0.0691456,0.0708392,537662.86558186,0
DAG.V,D,20220712,000000,0.0708032,0.0724175,0.0691308,0.0694215,1233748.9162067,0
DAG.V,D,20220713,000000,0.0697552,0.0716493,0.0670329,0.0695224,1558692.928154,0
DAG.V,D,20220714,000000,0.0700969,0.0741895,0.0685801,0.0717769,2007469.2425209,0
DAG.V,D,20220715,000000,0.0728563,0.0755746,0.0711225,0.0711297,2310044.7376292,0
DAG.V,D,20220716,000000,0.0714726,0.0746091,0.0689093,0.0719276,1808728.2929389,0
DAG.V,D,20220717,000000,0.0721766,0.0767308,0.0711368,0.0728211,1361334.8176802,0
DAG.V,D,20220718,000000,0.0728421,0.0785908,0.0720505,0.0769065,900236.36677374,0
DAG.V,D,20220719,000000,0.0769253,0.0829,0.076711,0.0818874,1218683.1776389,0
DAG.V,D,20220720,000000,0.082168,0.0850745,0.079028,0.079645,3186057.5435596,0
DAG.V,D,20220721,000000,0.079849,0.0805833,0.0750048,0.0770239,2871657.5958834,0
DAG.V,D,20220722,000000,0.0766031,0.0812436,0.0761076,0.0790423,1084149.5664327,0
DAG.V,D,20220723,000000,0.0790502,0.0794121,0.0777508,0.0794121,686021.56927222,0
DAG.V,D,20220724,000000,0.0790438,0.0825699,0.0787602,0.0816555,503608.16884372,0
DAG.V,D,20220725,000000,0.0818565,0.0827177,0.0775126,0.0810115,1493685.5906313,0
DAG.V,D,20220726,000000,0.0810001,0.0811453,0.0771266,0.0782367,1819399.5251907,0
DAG.V,D,20220727,000000,0.078606,0.0841513,0.0777147,0.081971,1833894.2124263,0
DAG.V,D,20220728,000000,0.0819835,0.0886339,0.0817914,0.0862062,2082892.9979367,0
DAG.V,D,20220729,000000,0.0860064,0.0924889,0.0858129,0.0917507,2301864.4706592,0
DAG.V,D,20220730,000000,0.0921879,0.1122143,0.0917966,0.1095472,4524186.8135157,0
DAG.V,D,20220731,000000,0.1090883,0.1180307,0.1078246,0.1083219,2500413.0601237,0
DAG.V,D,20220801,000000,0.108423,0.1150381,0.1013224,0.1019106,3325825.3005393,0
DAG.V,D,20220802,000000,0.1023807,0.109388,0.100216,0.106702,3971420.7583036,0
DAG.V,D,20220803,000000,0.106971,0.119939,0.106041,0.113004,2343579.0233457,0
DAG.V,D,20220804,000000,0.113098,0.113273,0.108393,0.109738,1763927.4965427,0
DAG.V,D,20220805,000000,0.110093,0.115699,0.109041,0.114227,879615.91249518,0
DAG.V,D,20220806,000000,0.114178,0.118429,0.109308,0.113009,2056171.5396302,0
DAG.V,D,20220807,000000,0.113021,0.113063,0.107128,0.109871,1461271.7147732,0
DAG.V,D,20220808,000000,0.110223,0.116028,0.107018,0.114762,2684094.1766379,0
DAG.V,D,20220809,000000,0.115054,0.120425,0.108471,0.113206,2410079.9365681,0
DAG.V,D,20220810,000000,0.112773,0.113032,0.104278,0.111323,1902373.1376031,0
DAG.V,D,20220811,000000,0.111274,0.115783,0.107982,0.110463,1967937.6268719,0
DAG.V,D,20220812,000000,0.110973,0.113056,0.107053,0.11104,2656128.4100337,0
DAG.V,D,20220813,000000,0.111409,0.115054,0.108683,0.111305,2718711.417863,0
DAG.V,D,20220814,000000,0.111677,0.114244,0.103318,0.103903,1726696.2138245,0
DAG.V,D,20220815,000000,0.103731,0.10606,0.094323,0.096967,3329792.0233336,0
DAG.V,D,20220816,000000,0.097128,0.097293,0.0903729,0.0940635,3466096.5173287,0
DAG.V,D,20220817,000000,0.0943105,0.1037074,0.0943105,0.0971807,3381639.6527891,0
DAG.V,D,20220818,000000,0.0975068,0.09978,0.0886531,0.0912837,5516397.1078835,0
DAG.V,D,20220819,000000,0.0914501,0.0920082,0.079509,0.08224,4389921.108596,0
DAG.V,D,20220820,000000,0.0824346,0.082693,0.073998,0.0748493,6278696.8072684,0
DAG.V,D,20220821,000000,0.075087,0.0823244,0.075087,0.0809124,2081381.3309807,0
DAG.V,D,20220822,000000,0.0809144,0.0817975,0.07418,0.0748593,3708173.3212861,0
DAG.V,D,20220823,000000,0.075057,0.0788375,0.0729595,0.0768195,3502652.7518632,0
DAG.V,D,20220824,000000,0.076794,0.0830062,0.0747025,0.0797944,3407150.3746005,0
DAG.V,D,20220825,000000,0.0801028,0.083426,0.0781313,0.0805474,1422177.5970996,0
DAG.V,D,20220826,000000,0.0805234,0.0806052,0.0747055,0.0762136,3010413.9868326,0
DAG.V,D,20220827,000000,0.0759166,0.0759166,0.0700063,0.0719684,2327076.6530448,0
DAG.V,D,20220828,000000,0.0719234,0.072762,0.0699951,0.0713493,1295883.836319,0
DAG.V,D,20220829,000000,0.0713,0.0730854,0.0680027,0.0719036,1939133.9643272,0
DAG.V,D,20220830,000000,0.0717497,0.0799332,0.071555,0.0760731,5032806.4848177,0
DAG.V,D,20220831,000000,0.0754503,0.0829097,0.0736942,0.0755632,5882196.3345368,0
DAG.V,D,20220901,000000,0.0757142,0.0767827,0.0719638,0.075114,4460496.5317917,0
DAG.V,D,20220902,000000,0.0748733,0.0819771,0.0721231,0.0785924,6421983.5381079,0
DAG.V,D,20220903,000000,0.0789256,0.0803028,0.075844,0.07716,2612262.5937501,0
DAG.V,D,20220904,000000,0.077011,0.0771307,0.0746735,0.074988,1330917.0622806,0
DAG.V,D,20220905,000000,0.07492,0.0753965,0.073404,0.0749615,989591.69825327,0
DAG.V,D,20220906,000000,0.0749555,0.0776788,0.072156,0.073405,2893610.8170844,0
DAG.V,D,20220907,000000,0.0732291,0.0762806,0.0719473,0.0748495,3699863.435368,0
DAG.V,D,20220908,000000,0.0746762,0.0758008,0.0709046,0.0721618,1494365.5724682,0
DAG.V,D,20220909,000000,0.0721571,0.0761598,0.0712288,0.0752156,1690060.1330185,0
DAG.V,D,20220910,000000,0.0753806,0.0768917,0.0740237,0.0758722,1683373.9138492,0
DAG.V,D,20220911,000000,0.0758732,0.0806478,0.0744653,0.0787857,2009873.3843954,0
DAG.V,D,20220912,000000,0.079091,0.0803655,0.077034,0.080019,1816670.3411036,0
DAG.V,D,20220913,000000,0.0799834,0.0809263,0.0735066,0.0745555,816988.4686491,0
DAG.V,D,20220914,000000,0.0743267,0.0779815,0.0736,0.0758187,1468514.5572955,0
DAG.V,D,20220915,000000,0.075835,0.0766564,0.0730349,0.0758582,1185627.594877,0
DAG.V,D,20220916,000000,0.0756167,0.076009,0.0728247,0.0737436,1524471.891502,0
DAG.V,D,20220917,000000,0.073716,0.0757366,0.0733517,0.075286,574241.7198165,0
DAG.V,D,20220918,000000,0.075564,0.075729,0.072312,0.072739,896707.52374532,0
DAG.V,D,20220919,000000,0.072653,0.073458,0.067159,0.0704081,2978467.0472769,0
DAG.V,D,20220920,000000,0.0704091,0.0710382,0.0661106,0.0667487,2237248.6695077,0
DAG.V,D,20220921,000000,0.066763,0.068648,0.0642074,0.066058,2558518.2331422,0
DAG.V,D,20220922,000000,0.0661096,0.068164,0.064401,0.066568,1872520.224693,0
DAG.V,D,20220923,000000,0.066713,0.069234,0.0623068,0.064211,2806324.7502391,0
DAG.V,D,20220924,000000,0.0645884,0.066484,0.0634298,0.0636417,992642.38937989,0
DAG.V,D,20220925,000000,0.063601,0.0677717,0.063,0.065285,2031867.7843275,0
DAG.V,D,20220926,000000,0.065285,0.07,0.0643976,0.069289,1492277.4396511,0
DAG.V,D,20220927,000000,0.069341,0.077469,0.068858,0.072515,2754484.7150495,0
DAG.V,D,20220928,000000,0.0724638,0.077695,0.0717998,0.072697,3918275.8002251,0
DAG.V,D,20220929,000000,0.072591,0.073155,0.0665567,0.067828,1656738.0081217,0
DAG.V,D,20220930,000000,0.067839,0.07081,0.0660366,0.06982,2049552.1490052,0
DAG.V,D,20221001,000000,0.070023,0.073999,0.068895,0.070237,1467882.4452759,0
DAG.V,D,20221002,000000,0.070216,0.071812,0.06705,0.071038,1583094.8702323,0
DAG.V,D,20221003,000000,0.070887,0.0816302,0.069875,0.0761516,3620093.5576518,0
DAG.V,D,20221004,000000,0.0760826,0.0887719,0.0753415,0.0838371,3985653.890894,0
DAG.V,D,20221005,000000,0.0836657,0.0882308,0.080008,0.0832093,2077189.0831683,0
DAG.V,D,20221006,000000,0.0832266,0.0857053,0.0796966,0.0799528,1357798.7696585,0
DAG.V,D,20221007,000000,0.0799498,0.0802142,0.0751135,0.0791187,2891386.6736307,0
DAG.V,D,20221008,000000,0.0799994,0.0848899,0.0775161,0.0821269,1348387.5301781,0
DAG.V,D,20221009,000000,0.0820313,0.0871,0.0812662,0.0824602,1937359.9780766,0
DAG.V,D,20221010,000000,0.0830443,0.0831853,0.0776922,0.0779082,1634796.7031512,0
DAG.V,D,20221011,000000,0.0775582,0.0793671,0.0757824,0.0777642,791497.91545073,0
DAG.V,D,20221012,000000,0.0777772,0.0810036,0.0772556,0.0797766,972571.21131978,0
DAG.V,D,20221013,000000,0.0797774,0.0821182,0.0711792,0.0757561,7199858.7761428,0
DAG.V,D,20221014,000000,0.0757561,0.0791379,0.0740469,0.0760728,2465195.2949793,0
DAG.V,D,20221015,000000,0.0760785,0.0780675,0.0739584,0.0742717,1263307.0482033,0
DAG.V,D,20221016,000000,0.0744225,0.0762146,0.0723836,0.0730379,1230533.8299646,0
DAG.V,D,20221017,000000,0.0730372,0.0820049,0.0706888,0.0791996,5749179.9935318,0
DAG.V,D,20221018,000000,0.0792006,0.0820062,0.0729275,0.0739537,4786294.5388845,0
DAG.V,D,20221019,000000,0.0739617,0.0744952,0.0706128,0.071289,2571949.0916276,0
DAG.V,D,20221020,000000,0.0712414,0.0726907,0.0689952,0.069793,2239791.3132383,0
DAG.V,D,20221021,000000,0.0699651,0.074004,0.0677283,0.071571,2724177.1310532,0
DAG.V,D,20221022,000000,0.0714857,0.0770031,0.0702096,0.0704196,2274089.7662873,0
DAG.V,D,20221023,000000,0.0705173,0.074975,0.0695211,0.07145,1458169.8327558,0
DAG.V,D,20221024,000000,0.0716353,0.0759091,0.0713091,0.0721039,2221581.047692,0
DAG.V,D,20221025,000000,0.0719729,0.0760218,0.0702708,0.0733667,2559532.8499497,0
DAG.V,D,20221026,000000,0.073505,0.0750195,0.0710773,0.0720209,2337716.0619644,0
DAG.V,D,20221027,000000,0.0720202,0.0729049,0.0687611,0.0697345,3531722.0687041,0
DAG.V,D,20221028,000000,0.0698832,0.0715877,0.0666047,0.0711149,4189892.8003441,0
DAG.V,D,20221029,000000,0.0711332,0.0729487,0.0685863,0.0710863,3333532.8829552,0
DAG.V,D,20221030,000000,0.0710813,0.0717822,0.0676676,0.0689921,1491204.6762041,0
DAG.V,D,20221031,000000,0.0690692,0.0706703,0.06681,0.0692355,2597306.0056949,0
DAG.V,D,20221101,000000,0.0692858,0.0695206,0.0661394,0.0666457,1886248.308445,0
DAG.V,D,20221102,000000,0.066369,0.0682373,0.0634446,0.0639844,3208989.1772549,0
DAG.V,D,20221103,000000,0.0639542,0.0679168,0.0634351,0.0651783,3097608.5976039,0
DAG.V,D,20221104,000000,0.0650073,0.0700327,0.0650073,0.0689195,1970311.6158414,0
DAG.V,D,20221105,000000,0.0689615,0.0724647,0.0681708,0.0701895,1414720.1318049484,0
DAG.V,D,20221106,000000,0.0697062,0.0703684,0.0662046,0.0667947,1004685.4580586103,0
DAG.V,D,20221107,000000,0.066416,0.0670474,0.0635733,0.0647968,970726.5252186324,0
DAG.V,D,20221108,000000,0.065037,0.066065,0.0570142,0.0598239,1649013.5270777761,0
DAG.V,D,20221109,000000,0.0600647,0.0606578,0.0470121,0.0490656,1945268.6554015968,0
DAG.V,D,20221110,000000,0.0489747,0.0580861,0.0486275,0.0555975,2885184.229479229,0
DAG.V,D,20221111,000000,0.0557251,0.0610444,0.0481551,0.0509035,1678725.5592097885,0
DAG.V,D,20221112,000000,0.0507421,0.053231,0.0489128,0.0516069,969612.7270541076,0
DAG.V,D,20221113,000000,0.0520012,0.0539276,0.0459386,0.0476502,1427621.524371844,0
DAG.V,D,20221114,000000,0.0479088,0.0502935,0.0445726,0.0459745,3135691.6550312564,0
DAG.V,D,20221115,000000,0.0458811,0.053541,0.0455965,0.051911,693228.049713273,0
DAG.V,D,20221116,000000,0.0517912,0.0524366,0.0469143,0.0477505,2562603.261725773,0
DAG.V,D,20221117,000000,0.0477555,0.049962,0.0467042,0.048661,1777939.615776081,0
DAG.V,D,20221118,000000,0.048618,0.0492916,0.047953,0.0492743,611118.7527976909,0
DAG.V,D,20221119,000000,0.0492723,0.0492878,0.0455494,0.0472508,1854127.1034831107,0
DAG.V,D,20221120,000000,0.0472503,0.0483396,0.0454586,0.0463299,614318.7221812017,0
DAG.V,D,20221121,000000,0.0465597,0.0465829,0.043848,0.0450964,1997171.974665826,0
DAG.V,D,20221122,000000,0.0451453,0.0458799,0.0424342,0.0453627,2045606.209433453,0
DAG.V,D,20221123,000000,0.0448349,0.0504454,0.0438842,0.0491998,1724506.7526463568,0
DAG.V,D,20221124,000000,0.0493312,0.054458,0.0477694,0.0512245,4194941.761245439,0
DAG.V,D,20221125,000000,0.0514942,0.0519435,0.0489583,0.0492964,1028593.6178707746,0
DAG.V,D,20221126,000000,0.0494434,0.0543658,0.0487262,0.0517699,4028469.4995922595,0
DAG.V,D,20221127,000000,0.0520213,0.0529222,0.0494703,0.0501149,1328689.3933548287,0
DAG.V,D,20221128,000000,0.0501079,0.0504143,0.0459825,0.047339,1778266.54363279,0
DAG.V,D,20221129,000000,0.0486212,0.0491894,0.046486,0.04727,1814757.2138788984,0
DAG.V,D,20221130,000000,0.0471179,0.0534182,0.0462153,0.0534171,3683402.6074256143,0
DAG.V,D,20221201,000000,0.0532811,0.0535783,0.046985,0.0514991,2945225.0887678736,0
DAG.V,D,20221202,000000,0.050708,0.050708,0.0457324,0.0461758,5787645.569606307,0
DAG.V,D,20221203,000000,0.0462638,0.0499145,0.0462638,0.0470047,1426440.9532618304,0
DAG.V,D,20221204,000000,0.0469194,0.0479448,0.0458292,0.0460138,1087312.8405676396,0
