<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMT.V,D,20220330,000000,2.095659,2.147994,1.939572,2.054056,142211553.4580567,0
GMT.V,D,20220331,000000,2.054416,2.58876,1.78369,2.5699,789695233.4436942,0
GMT.V,D,20220401,000000,2.57077,3.13084,2.38048,3.04178,762179497.8327745,0
GMT.V,D,20220402,000000,3.04088,3.05091,2.40403,2.5058,360541144.41353303,0
GMT.V,D,20220403,000000,2.50643,2.75082,2.24639,2.36134,353667706.50238425,0
GMT.V,D,20220404,000000,2.35769,2.55679,2.05662,2.1706,216874482.5392464,0
GMT.V,D,20220405,000000,2.17042,2.32367,2.08942,2.12274,199546367.1478517,0
GMT.V,D,20220406,000000,2.12499,2.70304,2.10167,2.24768,385244581.25208664,0
GMT.V,D,20220407,000000,2.24793,2.36729,2.01291,2.10332,191874657.6543349,0
GMT.V,D,20220408,000000,2.10334,2.4409,2.09457,2.15998,221251070.4918856,0
GMT.V,D,20220409,000000,2.16028,2.32664,2.10435,2.21566,140276559.61902264,0
GMT.V,D,20220410,000000,2.2159,2.39352,2.20851,2.2789,170405178.80952755,0
GMT.V,D,20220411,000000,2.28546,2.66838,2.24345,2.59828,241699231.14437628,0
GMT.V,D,20220412,000000,2.60298,2.61542,2.12591,2.19094,192082308.6738306,0
GMT.V,D,20220413,000000,2.19121,2.24961,2.06357,2.16403,81389783.64113022,0
GMT.V,D,20220414,000000,2.1628,2.35038,2.14777,2.19886,106809915.50654726,0
GMT.V,D,20220415,000000,2.1998,2.29192,2.17529,2.26517,73248349.68505695,0
GMT.V,D,20220416,000000,2.26508,2.43049,2.24235,2.39578,83305392.13829862,0
GMT.V,D,20220417,000000,2.39819,2.60009,2.36032,2.56817,102117871.9439281,0
GMT.V,D,20220418,000000,2.5679,3.25095,2.2445,3.22551,498430480.7767905,0
GMT.V,D,20220419,000000,3.22428,3.83077,3.14048,3.70118,503642915.02462006,0
GMT.V,D,20220420,000000,3.70034,3.85008,3.31491,3.37092,358144543.4009714,0
GMT.V,D,20220421,000000,3.37119,3.58846,2.97303,3.09834,261297285.27487862,0
GMT.V,D,20220422,000000,3.09677,3.28468,3.01923,3.12448,140533525.74447232,0
GMT.V,D,20220423,000000,3.12664,3.44865,3.10418,3.14981,164949976.26066092,0
GMT.V,D,20220424,000000,3.14961,3.38617,3.12288,3.28133,128687585.00461492,0
GMT.V,D,20220425,000000,3.27853,3.40068,3.14031,3.24674,118339880.9189084,0
GMT.V,D,20220426,000000,3.24709,3.48567,3.17489,3.30365,114720163.09366582,0
GMT.V,D,20220427,000000,3.30352,3.94945,3.23833,3.79705,240834361.07917613,0
GMT.V,D,20220428,000000,3.79745,4.17709,3.56948,3.70044,297953681.5278785,0
GMT.V,D,20220429,000000,3.7018,4.13976,3.42102,3.76402,309734787.4984515,0
GMT.V,D,20220430,000000,3.76386,4.06015,3.50859,3.57147,177303390.07191315,0
GMT.V,D,20220501,000000,3.56902,3.61018,3.31047,3.39563,119178010.10532388,0
GMT.V,D,20220502,000000,3.39526,3.54782,3.13319,3.24403,86386407.42651981,0
GMT.V,D,20220503,000000,3.24399,3.45057,3.18641,3.20681,81888794.06137374,0
GMT.V,D,20220504,000000,3.20663,3.44266,3.16368,3.28517,108609686.69786204,0
GMT.V,D,20220505,000000,3.28614,3.40254,2.56169,2.73369,163773667.2912112,0
GMT.V,D,20220506,000000,2.73375,2.75598,2.34119,2.45268,152419709.1082638,0
GMT.V,D,20220507,000000,2.45228,2.84078,2.39011,2.52932,203062173.46221504,0
GMT.V,D,20220508,000000,2.53955,2.77563,2.45744,2.65851,140154770.3452974,0
GMT.V,D,20220509,000000,2.6592,2.74845,2.10206,2.18876,147537096.7520234,0
GMT.V,D,20220510,000000,2.19642,2.24591,1.61787,1.65223,249429201.1591618,0
GMT.V,D,20220511,000000,1.65104,1.87615,1.09749,1.26041,271095808.1205839,0
GMT.V,D,20220512,000000,1.26061,1.49723,0.77826,1.08442,300996662.4231792,0
GMT.V,D,20220513,000000,1.08193,1.74742,1.06257,1.59502,312986116.2887716,0
GMT.V,D,20220514,000000,1.59413,1.61579,1.251,1.38986,177373197.03042284,0
GMT.V,D,20220515,000000,1.39166,1.65171,1.37972,1.56908,175508406.1523211,0
GMT.V,D,20220516,000000,1.56843,1.63661,1.38216,1.47731,97219574.00561932,0
GMT.V,D,20220517,000000,1.47486,1.69851,1.42015,1.56318,133153298.26744357,0
GMT.V,D,20220518,000000,1.56319,1.64697,1.35702,1.4036,160155243.99548063,0
GMT.V,D,20220519,000000,1.40528,1.4968,1.27659,1.47083,123652562.39079809,0
GMT.V,D,20220520,000000,1.47091,1.57775,1.29646,1.34502,126957648.5159862,0
GMT.V,D,20220521,000000,1.34559,1.43299,1.30755,1.33387,103270695.132137,0
GMT.V,D,20220522,000000,1.33364,1.44425,1.32712,1.40109,83213766.24412759,0
GMT.V,D,20220523,000000,1.40053,1.5333,1.37911,1.39876,128779810.40294136,0
GMT.V,D,20220524,000000,1.3969,1.41489,1.28208,1.38882,64801471.36570298,0
GMT.V,D,20220525,000000,1.38952,1.43235,1.3558,1.39136,53521364.487464026,0
GMT.V,D,20220526,000000,1.39139,1.39711,0.83018,0.94473,435532836.00632626,0
GMT.V,D,20220527,000000,0.94608,1.156063,0.80346,1.03119,398789863.1917001,0
GMT.V,D,20220528,000000,1.02999,1.08667,0.99136,1.04725,135512691.95336008,0
GMT.V,D,20220529,000000,1.04725,1.19659,0.8668,1.07293,287133205.04092145,0
GMT.V,D,20220530,000000,1.07435,1.30766,1.04587,1.27066,218919795.37565023,0
GMT.V,D,20220531,000000,1.27019,1.29114,1.11827,1.1763,127906084.26930045,0
GMT.V,D,20220601,000000,1.17933,1.20479,0.97462,1.00152,86414206.75184818,0
GMT.V,D,20220602,000000,1.00044,1.08302,0.9282,1.04405,150250328.9713164,0
GMT.V,D,20220603,000000,1.04428,1.07364,0.98123,1.03824,78888137.68666089,0
GMT.V,D,20220604,000000,1.03906,1.03906,0.98616,1.00189,33450780.27130571,0
