<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JOE.V,D,20220514,000000,0.457221,0.527942,0.417122,0.456315,3253311.6453012,0
JOE.V,D,20220515,000000,0.458357,0.517275,0.456315,0.516328,1236839.1797069,0
JOE.V,D,20220516,000000,0.514382,0.539298,0.461353,0.479328,1446690.2448313,0
JOE.V,D,20220517,000000,0.481373,0.51743,0.467298,0.49141,544969.61434628,0
JOE.V,D,20220518,000000,0.492408,0.512333,0.443467,0.447373,652267.26911259,0
JOE.V,D,20220519,000000,0.44542,0.447418,0.393567,0.422619,1025054.0215866,0
JOE.V,D,20220520,000000,0.422619,0.435477,0.379506,0.386536,1912663.448915,0
JOE.V,D,20220521,000000,0.385537,0.405472,0.376548,0.382502,963385.6640064,0
JOE.V,D,20220522,000000,0.382502,0.424447,0.381503,0.410507,1091891.2047204,0
JOE.V,D,20220523,000000,0.414502,0.441558,0.400519,0.403515,1167663.8912631,0
JOE.V,D,20220524,000000,0.403515,0.413545,0.363563,0.393488,1665392.1716523,0
JOE.V,D,20220525,000000,0.391451,0.405513,0.37259,0.378583,719871.60270827,0
JOE.V,D,20220526,000000,0.378583,0.378583,0.327639,0.340625,571495.33851614,0
JOE.V,D,20220527,000000,0.340659,0.343656,0.284715,0.298701,1984361.6982855,0
JOE.V,D,20220528,000000,0.29766,0.343628,0.292648,0.325619,1875441.6232525,0
JOE.V,D,20220529,000000,0.325612,0.364613,0.313651,0.347617,2556350.9462813,0
JOE.V,D,20220530,000000,0.348613,0.36859,0.340625,0.359748,1846467.4235196,0
JOE.V,D,20220531,000000,0.360747,0.383693,0.33673,0.339728,1980991.581773,0
JOE.V,D,20220601,000000,0.338742,0.346715,0.296703,0.303726,692962.59030127,0
JOE.V,D,20220602,000000,0.302727,0.313717,0.294734,0.307723,1027704.035622,0
JOE.V,D,20220603,000000,0.306724,0.313717,0.275727,0.287749,1025391.4555784,0
JOE.V,D,20220604,000000,0.288751,0.297774,0.273712,0.297774,8043445.9493319,0
JOE.V,D,20220605,000000,0.296777,0.309786,0.288711,0.296721,11338538.257311,0
JOE.V,D,20220606,000000,0.29772,0.335721,0.290724,0.307741,15557071.477034,0
JOE.V,D,20220607,000000,0.307741,0.30974,0.27977,0.295763,12888988.073931,0
JOE.V,D,20220608,000000,0.297771,0.297771,0.276828,0.285817,12317382.428853,0
JOE.V,D,20220609,000000,0.286816,0.296748,0.280775,0.287758,12214939.83852,0
JOE.V,D,20220610,000000,0.287755,0.292751,0.254704,0.25967,8911778.795974,0
JOE.V,D,20220611,000000,0.25967,0.272659,0.230711,0.239726,5195909.6357072,0
JOE.V,D,20220612,000000,0.239731,0.242657,0.2127,0.221727,5146736.2560447,0
JOE.V,D,20220613,000000,0.221727,0.221729,0.16966,0.189738,20125826.947351,0
JOE.V,D,20220614,000000,0.189734,0.218717,0.171742,0.181782,50762942.959206,0
JOE.V,D,20220615,000000,0.18278,0.214742,0.172689,0.21268,29247944.846786,0
JOE.V,D,20220616,000000,0.21268,0.215762,0.19079,0.196724,3845547.0438246,0
JOE.V,D,20220617,000000,0.185753,0.204,0.184741,0.194766,7716423.3829843,0
JOE.V,D,20220618,000000,0.195767,0.197766,0.173695,0.182704,23600991.295509,0
JOE.V,D,20220619,000000,0.182704,0.209748,0.180739,0.208749,45484900.599168,0
JOE.V,D,20220620,000000,0.20625,0.2455,0.20325,0.222,10631532.353319,0
JOE.V,D,20220621,000000,0.222755,0.245754,0.217738,0.230746,3300032.7439558,0
JOE.V,D,20220622,000000,0.230746,0.234765,0.213765,0.214785,4289268.632388,0
JOE.V,D,20220623,000000,0.215784,0.243756,0.213765,0.236763,1206619.6256912,0
JOE.V,D,20220624,000000,0.241758,0.27778,0.237738,0.271788,6247471.4582185,0
JOE.V,D,20220625,000000,0.271788,0.432567,0.271728,0.300789,13764399.302879,0
JOE.V,D,20220626,000000,0.300783,0.316797,0.291819,0.294817,9672000.1024336,0
JOE.V,D,20220627,000000,0.294823,0.306816,0.272743,0.272757,598824.8659001,0
