<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MANA.V,D,20200415,000000,0.02638,0.02746,0.02611,0.02711,0,0
MANA.V,D,20200416,000000,0.02711,0.02815,0.02582,0.02747,0,0
MANA.V,D,20200417,000000,0.02747,0.0286,0.0274,0.02835,0,0
MANA.V,D,20200418,000000,0.02842,0.02952,0.02831,0.0295,0,0
MANA.V,D,20200419,000000,0.0295,0.03068,0.02847,0.02918,0,0
MANA.V,D,20200420,000000,0.02917,0.02935,0.02689,0.02738,0,0
MANA.V,D,20200421,000000,0.02737,0.02765,0.02666,0.02727,0,0
MANA.V,D,20200422,000000,0.02727,0.02869,0.02676,0.02784,0,0
MANA.V,D,20200423,000000,0.02784,0.02982,0.02753,0.02889,0,0
MANA.V,D,20200424,000000,0.02888,0.02932,0.02812,0.02909,0,0
MANA.V,D,20200425,000000,0.02908,0.03013,0.02874,0.02892,0,0
MANA.V,D,20200426,000000,0.02892,0.03056,0.02879,0.03046,0,0
MANA.V,D,20200427,000000,0.03046,0.03208,0.03004,0.03158,0,0
MANA.V,D,20200428,000000,0.03157,0.03462,0.03146,0.03336,0,0
MANA.V,D,20200429,000000,0.03335,0.03441,0.03164,0.03379,0,0
MANA.V,D,20200430,000000,0.03378,0.03489,0.03066,0.03165,0,0
MANA.V,D,20200501,000000,0.03164,0.03387,0.03132,0.03362,0,0
MANA.V,D,20200502,000000,0.03363,0.0404,0.03306,0.03799,0,0
MANA.V,D,20200503,000000,0.03798,0.038,0.03407,0.03465,0,0
MANA.V,D,20200504,000000,0.03464,0.03591,0.03211,0.03536,0,0
MANA.V,D,20200505,000000,0.03536,0.03624,0.0344,0.03473,0,0
MANA.V,D,20200506,000000,0.03472,0.03649,0.03446,0.03532,0,0
MANA.V,D,20200507,000000,0.03532,0.03718,0.03408,0.03568,0,0
MANA.V,D,20200508,000000,0.03567,0.04229,0.03541,0.04004,0,0
MANA.V,D,20200509,000000,0.04005,0.04032,0.03715,0.03795,0,0
MANA.V,D,20200510,000000,0.03795,0.03818,0.03176,0.03386,0,0
MANA.V,D,20200511,000000,0.03385,0.03535,0.03238,0.03388,0,0
MANA.V,D,20200512,000000,0.03388,0.03723,0.03369,0.03536,0,0
MANA.V,D,20200513,000000,0.03536,0.03618,0.03464,0.03614,0,0
MANA.V,D,20200514,000000,0.03614,0.03782,0.03534,0.03707,0,0
MANA.V,D,20200515,000000,0.03706,0.03889,0.03539,0.03606,0,0
MANA.V,D,20200516,000000,0.03607,0.0367,0.03562,0.03622,0,0
MANA.V,D,20200517,000000,0.03622,0.03683,0.0358,0.03622,0,0
MANA.V,D,20200518,000000,0.03622,0.03734,0.03561,0.0369,0,0
MANA.V,D,20200519,000000,0.03689,0.03753,0.03609,0.037,0,0
MANA.V,D,20200520,000000,0.03699,0.03919,0.03601,0.03734,0,0
MANA.V,D,20200521,000000,0.03734,0.03961,0.03451,0.03531,0,0
MANA.V,D,20200522,000000,0.03532,0.03943,0.03531,0.03821,0,0
MANA.V,D,20200523,000000,0.03821,0.04149,0.03768,0.03959,0,0
MANA.V,D,20200524,000000,0.03959,0.04122,0.03647,0.03776,0,0
MANA.V,D,20200525,000000,0.03777,0.04094,0.03581,0.03827,0,0
MANA.V,D,20200526,000000,0.03828,0.04398,0.03828,0.04124,0,0
MANA.V,D,20200527,000000,0.04123,0.04213,0.03934,0.04016,0,0
MANA.V,D,20200528,000000,0.04016,0.041,0.03908,0.03983,0,0
MANA.V,D,20200529,000000,0.03983,0.04028,0.0386,0.03991,0,0
MANA.V,D,20200530,000000,0.03992,0.04149,0.03944,0.0403,0,0
MANA.V,D,20200531,000000,0.0403,0.04178,0.04004,0.04022,0,0
MANA.V,D,20200601,000000,0.04022,0.04146,0.03962,0.04083,0,0
MANA.V,D,20200602,000000,0.04084,0.04131,0.03722,0.04076,0,0
MANA.V,D,20200603,000000,0.04076,0.04169,0.03974,0.0414,0,0
MANA.V,D,20200604,000000,0.04141,0.04221,0.04028,0.04165,0,0
MANA.V,D,20200605,000000,0.04165,0.04251,0.04072,0.04125,0,0
MANA.V,D,20200606,000000,0.04126,0.04148,0.04054,0.04111,0,0
MANA.V,D,20200607,000000,0.04111,0.04171,0.03981,0.04079,0,0
MANA.V,D,20200608,000000,0.04079,0.04161,0.04078,0.04147,0,0
MANA.V,D,20200609,000000,0.04137,0.04213,0.04055,0.04116,0,0
MANA.V,D,20200610,000000,0.04116,0.0433,0.04091,0.04287,0,0
MANA.V,D,20200611,000000,0.04287,0.04646,0.03933,0.04121,0,0
MANA.V,D,20200612,000000,0.04121,0.043,0.03992,0.04182,0,0
MANA.V,D,20200613,000000,0.04182,0.0428,0.04137,0.04222,0,0
MANA.V,D,20200614,000000,0.04222,0.0439,0.04098,0.04128,0,0
MANA.V,D,20200615,000000,0.04128,0.04169,0.03691,0.03992,0,0
MANA.V,D,20200616,000000,0.03992,0.04148,0.03745,0.04098,0,0
MANA.V,D,20200617,000000,0.04097,0.04196,0.03988,0.04027,0,0
MANA.V,D,20200618,000000,0.04027,0.04256,0.04016,0.04102,0,0
MANA.V,D,20200619,000000,0.04102,0.04288,0.04011,0.04131,0,0
MANA.V,D,20200620,000000,0.04131,0.0424,0.04107,0.04184,0,0
MANA.V,D,20200621,000000,0.04184,0.04537,0.04173,0.04375,0,0
MANA.V,D,20200622,000000,0.04375,0.04682,0.0431,0.04477,0,0
MANA.V,D,20200623,000000,0.04476,0.04639,0.04456,0.04516,0,0
