<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTL.V,D,20220515,000000,1.22129,1.38933,1.19932,1.36223,2292632.4688976817,0
MTL.V,D,20220516,000000,1.36136,1.37934,1.21266,1.25437,1088290.9104398524,0
MTL.V,D,20220517,000000,1.25537,1.46609,1.23939,1.38733,1808820.1426821393,0
MTL.V,D,20220518,000000,1.39333,1.51403,1.23439,1.31429,1030571.117671256,0
MTL.V,D,20220519,000000,1.31815,1.37176,1.21167,1.34366,534317.8272167462,0
MTL.V,D,20220520,000000,1.33779,1.44156,1.27772,1.3314,571097.7841935041,0
MTL.V,D,20220521,000000,1.34039,1.50204,1.3324,1.43913,1006787.276247313,0
MTL.V,D,20220522,000000,1.44212,1.51103,1.41716,1.47623,337525.71966925514,0
MTL.V,D,20220523,000000,1.47907,1.59309,1.46124,1.47523,900306.8209297298,0
MTL.V,D,20220524,000000,1.47123,1.48536,1.30343,1.40018,515350.41823013127,0
MTL.V,D,20220525,000000,1.40203,1.42914,1.32954,1.38248,309155.13865082234,0
MTL.V,D,20220526,000000,1.38334,1.42243,1.17659,1.29757,355487.34652613505,0
MTL.V,D,20220527,000000,1.29857,1.30956,1.16871,1.23077,295264.49817779573,0
MTL.V,D,20220528,000000,1.2236,1.34055,1.21035,1.27852,659062.9606559863,0
MTL.V,D,20220529,000000,1.27049,1.30362,1.22579,1.30163,234873.75528450243,0
MTL.V,D,20220530,000000,1.30255,1.42486,1.28459,1.41201,489773.07125748537,0
MTL.V,D,20220531,000000,1.41101,1.48381,1.35805,1.39774,455819.83288023627,0
MTL.V,D,20220601,000000,1.39995,1.51064,1.31368,1.33879,258251.26140666808,0
MTL.V,D,20220602,000000,1.33779,1.46168,1.30183,1.38775,858608.9859621086,0
MTL.V,D,20220603,000000,1.38875,1.43479,1.31971,1.36981,220769.71621054452,0
MTL.V,D,20220604,000000,1.37081,1.3838,1.30864,1.34897,1003963.3786441437,0
MTL.V,D,20220605,000000,1.34899,1.56091,1.32792,1.43165,3520296.35226602,0
MTL.V,D,20220606,000000,1.43065,1.73156,1.40972,1.5517,5205513.984196395,0
MTL.V,D,20220607,000000,1.54768,1.84647,1.50075,1.75758,6521125.300720292,0
MTL.V,D,20220608,000000,1.76159,1.91779,1.63787,1.71788,3846332.4264145643,0
MTL.V,D,20220609,000000,1.71289,2.01441,1.67469,1.98333,4341976.770405053,0
MTL.V,D,20220610,000000,1.98333,2.05958,1.67907,1.69982,6497088.46364234,0
MTL.V,D,20220611,000000,1.69884,1.88996,1.58316,1.74103,2095380.1511388782,0
