<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OSMO.V,D,20220515,000000,1.56335,1.61276,1.53619,1.61276,483.43421090000004,0
OSMO.V,D,20220516,000000,1.87346,1.87346,1.62169,1.62169,404.00839899140004,0
OSMO.V,D,20220517,000000,1.61364,1.66297,1.61364,1.64416,741.162097521,0
OSMO.V,D,20220518,000000,1.64036,1.64036,1.49655,1.49655,682.917121,0
OSMO.V,D,20220519,000000,1.50254,1.56539,1.47752,1.56539,297.38067472399996,0
OSMO.V,D,20220520,000000,1.60014,1.7503,1.5996,1.69301,1635.875458341,0
OSMO.V,D,20220521,000000,1.68717,1.80805,1.68717,1.78018,483.83185485189995,0
OSMO.V,D,20220522,000000,1.72156,1.84069,1.72156,1.82551,209.815029835,0
OSMO.V,D,20220523,000000,1.79636,1.909,1.79355,1.82221,796.2785518119999,0
OSMO.V,D,20220524,000000,1.744,1.80521,1.69763,1.721,2212.09656626,0
OSMO.V,D,20220525,000000,1.74143,1.74143,1.61063,1.64962,465.102273768,0
OSMO.V,D,20220526,000000,1.62481,1.62481,1.46019,1.47293,859.7314706810998,0
OSMO.V,D,20220527,000000,1.43122,1.43946,1.41319,1.41319,332.9018227587,0
OSMO.V,D,20220528,000000,1.30555,1.37858,1.30555,1.31841,189.89594234679998,0
OSMO.V,D,20220529,000000,1.3495,1.37436,1.31768,1.36703,131.33012769,0
OSMO.V,D,20220530,000000,1.40674,1.48181,1.36364,1.42526,2958.0805724148995,0
OSMO.V,D,20220531,000000,1.4976,1.4976,1.39039,1.39039,1018.80690624,0
OSMO.V,D,20220601,000000,1.37895,1.39888,1.28998,1.28998,555.2000727991001,0
OSMO.V,D,20220602,000000,1.26246,1.31871,1.26246,1.31871,257.75255842400003,0
OSMO.V,D,20220603,000000,1.28984,1.28984,1.22003,1.24301,1444.8797311510002,0
OSMO.V,D,20220604,000000,1.23343,1.23489,1.09841,1.09841,210.586432102,0
OSMO.V,D,20220605,000000,1.17515,1.21986,1.17515,1.21986,428.47873413800005,0
OSMO.V,D,20220606,000000,1.26083,1.27122,1.22092,1.22477,325.058892637,0
OSMO.V,D,20220607,000000,1.24054,1.24054,1.12104,1.14448,544.880177412,0
OSMO.V,D,20220608,000000,1.15477,1.22515,1.13048,1.20201,239.11993371160003,0
OSMO.V,D,20220609,000000,1.19452,1.21412,1.17675,1.18716,296.107067509,0
OSMO.V,D,20220610,000000,1.18128,1.25047,1.1515,1.17874,772.28772254,0
OSMO.V,D,20220611,000000,1.1803,1.48949,1.1803,1.29531,592.531845614,0
OSMO.V,D,20220612,000000,1.28334,1.41981,1.23693,1.41981,611.064854192,0
OSMO.V,D,20220613,000000,1.34359,1.34359,0.90243,0.90548,915.8589609735,0
OSMO.V,D,20220614,000000,0.92656,0.9622,0.92656,0.93348,1018.015157848,0
OSMO.V,D,20220615,000000,0.91092,0.9454,0.78366,0.87064,1822.6166029,0
OSMO.V,D,20220616,000000,0.874237,0.921793,0.830419,0.830419,1169.41292823,0
OSMO.V,D,20220617,000000,0.819959,0.826216,0.784285,0.826216,3283.76893241,0
OSMO.V,D,20220618,000000,0.858377,0.947244,0.845708,0.846637,3853.948071948,0
OSMO.V,D,20220619,000000,0.818986,0.884637,0.818986,0.828522,1302.23127322,0
OSMO.V,D,20220620,000000,0.846683,0.855272,0.753519,0.780441,3939.652895215,0
OSMO.V,D,20220621,000000,0.774747,0.788411,0.765257,0.77942,1407.11226331,0
OSMO.V,D,20220622,000000,0.789709,0.789709,0.746153,0.782517,4057.25254157,0
