<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRO.V,D,20220515,000000,1.09066,1.15381,1.09066,1.14762,515.32331767853,0
PRO.V,D,20220516,000000,1.1507,1.25874,1.08342,1.24588,8393.7958176967,0
PRO.V,D,20220517,000000,1.24608,1.24608,1.12,1.16,4080.29521112,0
PRO.V,D,20220518,000000,1.15,1.28,1.1,1.15,26388.919225705,0
PRO.V,D,20220519,000000,1.14,1.18,1.02,1.1,8698.1523992341,0
PRO.V,D,20220520,000000,1.16,1.2,0.95,0.99,34232.71812419,0
PRO.V,D,20220521,000000,1,1.12,1,1.04,11063.72473112,0
PRO.V,D,20220522,000000,1.04,1.23,1.02,1.06,34219.244754,0
PRO.V,D,20220523,000000,1.13,1.25,1.03,1.07,35079.670084508,0
PRO.V,D,20220524,000000,1.06,1.08,1.01,1.06,12101.660298,0
PRO.V,D,20220525,000000,1.29376,1.29972,1.07261,1.2469,16355.96817,0
PRO.V,D,20220526,000000,1.29972,1.29972,0.96,0.99,25141.869859998,0
PRO.V,D,20220527,000000,1,1.06,0.81,0.91,18325.36547881,0
PRO.V,D,20220528,000000,0.9,0.93,0.83,0.92,14917.62782611,0
PRO.V,D,20220529,000000,0.92,1.11,0.91,0.97,22484.85847416,0
PRO.V,D,20220530,000000,0.96,1.06,0.95,1.04,16394.91660932,0
PRO.V,D,20220531,000000,1.03,1.05,0.91,0.91,18552.504873908,0
PRO.V,D,20220601,000000,0.94,1.1,0.94,0.97,12228.83481303,0
PRO.V,D,20220602,000000,0.97,1,0.92,0.94,4057.689847375,0
PRO.V,D,20220603,000000,0.95,0.97,0.9,0.91,12790.81621903,0
PRO.V,D,20220604,000000,0.93,0.98,0.91,0.94,14512.38516895,0
PRO.V,D,20220605,000000,0.93,1.35,0.93,1.22,240246.88294115,0
PRO.V,D,20220606,000000,1.24,1.27,1.04,1.09,223108.607791,0
PRO.V,D,20220607,000000,1.08,1.11,1,1.04,374105.699532,0
PRO.V,D,20220608,000000,1.05,1.16,1,1.01,168475.69493404,0
PRO.V,D,20220609,000000,1.01,1.04,0.99,1,367399.06901675,0
PRO.V,D,20220610,000000,1,1.03,0.93,0.96,186473.78515289,0
PRO.V,D,20220611,000000,0.98,0.99,0.9,0.92,9181.9027753,0
PRO.V,D,20220612,000000,0.91,1.23,0.9,1.05,129557.48099242,0
PRO.V,D,20220613,000000,1.01,1.29,0.92,0.94,1546489.7553337,0
PRO.V,D,20220614,000000,0.93,0.97,0.89,0.9,5278475.7939379,0
PRO.V,D,20220615,000000,0.92,1.08,0.83,0.93,1181765.69204,0
PRO.V,D,20220616,000000,0.93,0.95,0.85,0.88,45435.43416517,0
PRO.V,D,20220617,000000,0.88,0.89,0.85,0.88,1582490.8429634,0
PRO.V,D,20220618,000000,0.88,0.94,0.83,0.84,635692.89499887,0
PRO.V,D,20220619,000000,0.83,0.92,0.8,0.9,22902.28938224,0
PRO.V,D,20220620,000000,0.91,0.91,0.84,0.86,8390.81280423,0
PRO.V,D,20220621,000000,0.85,0.93,0.85,0.9,842610.34475007,0
PRO.V,D,20220622,000000,0.89,0.91,0.85,0.88,131973.22726412,0
PRO.V,D,20220623,000000,0.87,0.88,0.85,0.86,76049.547717215,0
PRO.V,D,20220624,000000,0.88,0.92,0.84,0.88,1519364.00994,0
PRO.V,D,20220625,000000,0.87,0.9,0.85,0.87,839077.239832,0
PRO.V,D,20220626,000000,0.88,0.89,0.86,0.88,319213.337221,0
PRO.V,D,20220627,000000,0.86,0.91,0.85,0.87,30432.58793279,0
PRO.V,D,20220628,000000,0.87,0.89,0.85,0.87,80705.03671672,0
PRO.V,D,20220629,000000,0.88,1.17,0.85,0.91,180315.10888824,0
PRO.V,D,20220630,000000,0.9,1.01,0.81,0.85,247469.11784985,0
PRO.V,D,20220701,000000,0.86,0.89,0.82,0.86,259706.29404897,0
PRO.V,D,20220702,000000,0.86,0.86,0.82,0.84,172228.68806188,0
PRO.V,D,20220703,000000,0.83,0.87,0.83,0.87,212140.42774228,0
PRO.V,D,20220704,000000,0.85,0.88,0.84,0.87,23633.10665946,0
PRO.V,D,20220705,000000,0.86,0.88,0.81,0.85,18974.157434704,0
PRO.V,D,20220706,000000,0.85,0.85,0.82,0.84,140789.16366219,0
PRO.V,D,20220707,000000,0.83,0.85,0.82,0.85,12033.55093909,0
PRO.V,D,20220708,000000,0.85,0.87,0.83,0.85,23496.90065827,0
PRO.V,D,20220709,000000,0.84,0.87,0.83,0.85,6679.521345,0
PRO.V,D,20220710,000000,0.87,0.87,0.82,0.84,15209.762610459,0
PRO.V,D,20220711,000000,0.84,0.85,0.81,0.82,13394.63902931,0
PRO.V,D,20220712,000000,0.82,0.84,0.82,0.82,15977.761437151,0
PRO.V,D,20220713,000000,0.82,0.82,0.78,0.81,12250.40538721,0
PRO.V,D,20220714,000000,0.81,0.84,0.79,0.81,15573.55817,0
PRO.V,D,20220715,000000,0.82,0.83,0.77,0.81,17879.49666306,0
PRO.V,D,20220716,000000,0.8,0.84,0.74,0.8,17004.403348,0
PRO.V,D,20220717,000000,0.82,0.84,0.8,0.8,8719.9447047845,0
PRO.V,D,20220718,000000,0.8,0.83,0.78,0.79,3435.1034995,0
PRO.V,D,20220719,000000,0.78,0.85,0.78,0.8,17605.7881332,0
PRO.V,D,20220720,000000,0.82,0.83,0.79,0.8,7701.3626961944,0
PRO.V,D,20220721,000000,0.8,0.81,0.73,0.79,10746.647018,0
