<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYS.V,D,20220121,000000,1.09333,1.12754,0.96409,1.02881,2288840.648747647,0
SYS.V,D,20220122,000000,1.03311,1.05781,0.72432,0.85887,7050125.737024456,0
SYS.V,D,20220123,000000,0.86006,0.9853,0.83237,0.89808,5990498.260394513,0
SYS.V,D,20220124,000000,0.89938,0.940788,0.753851,0.829249,3788552.8130398085,0
SYS.V,D,20220125,000000,0.830249,0.889055,0.808643,0.834117,3739466.4490118786,0
SYS.V,D,20220126,000000,0.836318,0.898449,0.812487,0.8343,3474431.3171834135,0
SYS.V,D,20220127,000000,0.8343,0.848909,0.767207,0.786915,2313506.8746011225,0
SYS.V,D,20220128,000000,0.786615,0.836251,0.769208,0.811643,2817474.1099101827,0
SYS.V,D,20220129,000000,0.812062,0.849255,0.793538,0.806842,2388660.976160988,0
SYS.V,D,20220130,000000,0.806342,0.829649,0.744398,0.758527,3553430.422402407,0
SYS.V,D,20220131,000000,0.758903,0.78119,0.713643,0.770785,3173360.913556031,0
SYS.V,D,20220201,000000,0.77421,0.811305,0.749475,0.762581,3148105.460433145,0
SYS.V,D,20220202,000000,0.763058,0.766983,0.695948,0.714371,2389887.4816092327,0
SYS.V,D,20220203,000000,0.713642,0.719003,0.685342,0.706353,1579569.8191679541,0
SYS.V,D,20220204,000000,0.704852,0.758079,0.703181,0.742694,2853722.4684204836,0
SYS.V,D,20220205,000000,0.74382,0.822375,0.742894,0.778945,3192929.4740389055,0
SYS.V,D,20220206,000000,0.780368,0.86043,0.772286,0.843037,3249177.7179392898,0
SYS.V,D,20220207,000000,0.844138,0.909818,0.833717,0.888622,4507270.158714412,0
SYS.V,D,20220208,000000,0.889622,0.90023,0.794635,0.864063,3106794.5994245415,0
SYS.V,D,20220209,000000,0.866766,0.903803,0.827179,0.902802,2334372.3370451117,0
SYS.V,D,20220210,000000,0.90071,0.920736,0.836852,0.859101,2519340.2607970033,0
SYS.V,D,20220211,000000,0.862703,0.884931,0.787715,0.794238,2658307.4738138663,0
SYS.V,D,20220212,000000,0.792934,0.829698,0.772963,0.818109,1683714.9428295293,0
SYS.V,D,20220213,000000,0.819591,0.851611,0.785993,0.798899,1138632.0890146878,0
SYS.V,D,20220214,000000,0.801381,0.823594,0.768484,0.809605,2410538.9086047616,0
SYS.V,D,20220215,000000,0.810805,0.877926,0.798799,0.852826,2740805.5870952364,0
SYS.V,D,20220216,000000,0.851911,0.885519,0.811587,0.824912,3266664.9463138944,0
SYS.V,D,20220217,000000,0.824695,0.832399,0.741118,0.747723,2493001.32703825,0
SYS.V,D,20220218,000000,0.747623,0.758831,0.686512,0.694016,2590907.1021663197,0
SYS.V,D,20220219,000000,0.695417,0.723734,0.6675,0.674404,1688229.0786804913,0
SYS.V,D,20220220,000000,0.672003,0.673337,0.553677,0.578389,6414533.684657474,0
SYS.V,D,20220221,000000,0.578389,0.626713,0.528211,0.534367,4615040.390569851,0
SYS.V,D,20220222,000000,0.532066,0.54942,0.484194,0.52016,4297459.758358191,0
SYS.V,D,20220223,000000,0.520412,0.569184,0.499199,0.505403,3323357.4743159385,0
SYS.V,D,20220224,000000,0.503452,0.504102,0.398899,0.436531,7450125.612101447,0
SYS.V,D,20220225,000000,0.438976,0.491497,0.438976,0.483893,3383243.2066962984,0
SYS.V,D,20220226,000000,0.484042,0.647259,0.48044,0.591236,14226433.272867117,0
SYS.V,D,20220227,000000,0.597799,0.640056,0.533413,0.571028,14789832.416326629,0
SYS.V,D,20220228,000000,0.570728,0.642321,0.556278,0.624612,7256196.507648195,0
SYS.V,D,20220301,000000,0.62515,0.667467,0.598299,0.625087,4782099.703106324,0
SYS.V,D,20220302,000000,0.625588,0.627188,0.569071,0.584775,3511112.0599089526,0
SYS.V,D,20220303,000000,0.584375,0.589877,0.551966,0.570014,2493133.272649868,0
SYS.V,D,20220304,000000,0.571214,0.616185,0.537808,0.543609,4097258.803459355,0
SYS.V,D,20220305,000000,0.543263,0.597779,0.530106,0.570471,2815881.0636710706,0
SYS.V,D,20220306,000000,0.571671,0.581174,0.534107,0.538061,2173174.865117434,0
SYS.V,D,20220307,000000,0.537561,0.547409,0.486646,0.523857,2677126.7181579946,0
SYS.V,D,20220308,000000,0.525057,0.527706,0.4998,0.502,1884244.6467606712,0
SYS.V,D,20220309,000000,0.5016,0.543909,0.5016,0.520704,2689550.7062718025,0
SYS.V,D,20220310,000000,0.520904,0.522604,0.488898,0.506002,1688224.0408445448,0
SYS.V,D,20220311,000000,0.506202,0.511353,0.488998,0.49825,1545727.4890093626,0
SYS.V,D,20220312,000000,0.4994,0.531553,0.4909,0.525753,3128441.4857303533,0
SYS.V,D,20220313,000000,0.525953,0.543909,0.497149,0.4995,3896265.38919463,0
SYS.V,D,20220314,000000,0.49825,0.520052,0.489698,0.504201,1983964.8276949604,0
SYS.V,D,20220315,000000,0.50475,0.513051,0.466293,0.478343,2316940.017752842,0
SYS.V,D,20220316,000000,0.478544,0.490647,0.444333,0.471794,5319638.701911239,0
SYS.V,D,20220317,000000,0.471842,0.613306,0.458092,0.553577,18684615.52389246,0
SYS.V,D,20220318,000000,0.554677,0.643422,0.513705,0.556378,37036613.09607472,0
