<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADEUR,D,19710104,000000,1.84808,1.84808,1.84808,1.84808,0,0
CADEUR,D,19710105,000000,1.85013,1.85013,1.85013,1.85013,0,0
CADEUR,D,19710106,000000,1.84877,1.84877,1.84877,1.84877,0,0
CADEUR,D,19710107,000000,1.84094,1.84094,1.84094,1.84094,0,0
CADEUR,D,19710108,000000,1.83958,1.83958,1.83958,1.83958,0,0
CADEUR,D,19710111,000000,1.83789,1.83789,1.83789,1.83789,0,0
CADEUR,D,19710112,000000,1.84331,1.84331,1.84331,1.84331,0,0
CADEUR,D,19710113,000000,1.84399,1.84399,1.84399,1.84399,0,0
CADEUR,D,19710114,000000,1.84128,1.84128,1.84128,1.84128,0,0
CADEUR,D,19710115,000000,1.8406,1.8406,1.8406,1.8406,0,0
CADEUR,D,19710118,000000,1.84128,1.84128,1.84128,1.84128,0,0
CADEUR,D,19710119,000000,1.84433,1.84433,1.84433,1.84433,0,0
CADEUR,D,19710120,000000,1.84162,1.84162,1.84162,1.84162,0,0
CADEUR,D,19710121,000000,1.84195,1.84195,1.84195,1.84195,0,0
CADEUR,D,19710122,000000,1.84026,1.84026,1.84026,1.84026,0,0
CADEUR,D,19710125,000000,1.84094,1.84094,1.84094,1.84094,0,0
CADEUR,D,19710126,000000,1.84195,1.84195,1.84195,1.84195,0,0
CADEUR,D,19710127,000000,1.84263,1.84263,1.84263,1.84263,0,0
CADEUR,D,19710128,000000,1.84501,1.84501,1.84501,1.84501,0,0
CADEUR,D,19710129,000000,1.84706,1.84706,1.84706,1.84706,0,0
CADEUR,D,19710201,000000,1.84842,1.84842,1.84842,1.84842,0,0
CADEUR,D,19710202,000000,1.84638,1.84638,1.84638,1.84638,0,0
CADEUR,D,19710203,000000,1.84604,1.84604,1.84604,1.84604,0,0
CADEUR,D,19710204,000000,1.84706,1.84706,1.84706,1.84706,0,0
CADEUR,D,19710205,000000,1.8474,1.8474,1.8474,1.8474,0,0
CADEUR,D,19710208,000000,1.84672,1.84672,1.84672,1.84672,0,0
CADEUR,D,19710209,000000,1.84604,1.84604,1.84604,1.84604,0,0
CADEUR,D,19710210,000000,1.84638,1.84638,1.84638,1.84638,0,0
CADEUR,D,19710211,000000,1.84672,1.84672,1.84672,1.84672,0,0
CADEUR,D,19710216,000000,1.84604,1.84604,1.84604,1.84604,0,0
CADEUR,D,19710217,000000,1.84535,1.84535,1.84535,1.84535,0,0
CADEUR,D,19710218,000000,1.84774,1.84774,1.84774,1.84774,0,0
CADEUR,D,19710219,000000,1.84945,1.84945,1.84945,1.84945,0,0
CADEUR,D,19710222,000000,1.85356,1.85356,1.85356,1.85356,0,0
CADEUR,D,19710223,000000,1.85494,1.85494,1.85494,1.85494,0,0
CADEUR,D,19710224,000000,1.8474,1.8474,1.8474,1.8474,0,0
CADEUR,D,19710225,000000,1.84979,1.84979,1.84979,1.84979,0,0
CADEUR,D,19710226,000000,1.8515,1.8515,1.8515,1.8515,0,0
CADEUR,D,19710301,000000,1.84877,1.84877,1.84877,1.84877,0,0
CADEUR,D,19710302,000000,1.84911,1.84911,1.84911,1.84911,0,0
CADEUR,D,19710303,000000,1.84774,1.84774,1.84774,1.84774,0,0
CADEUR,D,19710304,000000,1.85082,1.85082,1.85082,1.85082,0,0
