<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADGBP,D,19710104,000000,0.413188,0.413188,0.413188,0.413188,0,0
CADGBP,D,19710105,000000,0.413291,0.413291,0.413291,0.413291,0,0
CADGBP,D,19710106,000000,0.412916,0.412916,0.412916,0.412916,0,0
CADGBP,D,19710107,000000,0.411218,0.411218,0.411218,0.411218,0,0
CADGBP,D,19710108,000000,0.410778,0.410778,0.410778,0.410778,0,0
CADGBP,D,19710111,000000,0.410239,0.410239,0.410239,0.410239,0,0
CADGBP,D,19710112,000000,0.411251,0.411251,0.411251,0.411251,0,0
CADGBP,D,19710113,000000,0.411234,0.411234,0.411234,0.411234,0,0
CADGBP,D,19710114,000000,0.409953,0.409953,0.409953,0.409953,0,0
CADGBP,D,19710115,000000,0.410071,0.410071,0.410071,0.410071,0,0
CADGBP,D,19710118,000000,0.410627,0.410627,0.410627,0.410627,0,0
CADGBP,D,19710119,000000,0.410745,0.410745,0.410745,0.410745,0,0
CADGBP,D,19710120,000000,0.410576,0.410576,0.410576,0.410576,0,0
CADGBP,D,19710121,000000,0.410627,0.410627,0.410627,0.410627,0,0
CADGBP,D,19710122,000000,0.410104,0.410104,0.410104,0.410104,0,0
CADGBP,D,19710125,000000,0.409651,0.409651,0.409651,0.409651,0,0
CADGBP,D,19710126,000000,0.409517,0.409517,0.409517,0.409517,0,0
CADGBP,D,19710127,000000,0.409768,0.409768,0.409768,0.409768,0,0
CADGBP,D,19710128,000000,0.410104,0.410104,0.410104,0.410104,0,0
CADGBP,D,19710129,000000,0.410424,0.410424,0.410424,0.410424,0,0
CADGBP,D,19710201,000000,0.410374,0.410374,0.410374,0.410374,0,0
CADGBP,D,19710202,000000,0.410037,0.410037,0.410037,0.410037,0,0
CADGBP,D,19710203,000000,0.41002,0.41002,0.41002,0.41002,0,0
CADGBP,D,19710204,000000,0.410593,0.410593,0.410593,0.410593,0,0
CADGBP,D,19710205,000000,0.410896,0.410896,0.410896,0.410896,0,0
CADGBP,D,19710208,000000,0.410088,0.410088,0.410088,0.410088,0,0
