<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFCAD,D,19710104,000000,0.234115,0.234115,0.234115,0.234115,0,0
CHFCAD,D,19710105,000000,0.23429,0.23429,0.23429,0.23429,0,0
CHFCAD,D,19710106,000000,0.2344,0.2344,0.2344,0.2344,0,0
CHFCAD,D,19710107,000000,0.235438,0.235438,0.235438,0.235438,0,0
CHFCAD,D,19710108,000000,0.235537,0.235537,0.235537,0.235537,0,0
CHFCAD,D,19710111,000000,0.23571,0.23571,0.23571,0.23571,0,0
CHFCAD,D,19710112,000000,0.235045,0.235045,0.235045,0.235045,0,0
CHFCAD,D,19710113,000000,0.23489,0.23489,0.23489,0.23489,0,0
CHFCAD,D,19710114,000000,0.235139,0.235139,0.235139,0.235139,0,0
CHFCAD,D,19710115,000000,0.235288,0.235288,0.235288,0.235288,0,0
CHFCAD,D,19710118,000000,0.235332,0.235332,0.235332,0.235332,0,0
CHFCAD,D,19710119,000000,0.2351,0.2351,0.2351,0.2351,0,0
CHFCAD,D,19710120,000000,0.235172,0.235172,0.235172,0.235172,0,0
CHFCAD,D,19710121,000000,0.234995,0.234995,0.234995,0.234995,0,0
CHFCAD,D,19710122,000000,0.235288,0.235288,0.235288,0.235288,0,0
CHFCAD,D,19710125,000000,0.235106,0.235106,0.235106,0.235106,0,0
CHFCAD,D,19710126,000000,0.235111,0.235111,0.235111,0.235111,0,0
CHFCAD,D,19710127,000000,0.235056,0.235056,0.235056,0.235056,0,0
CHFCAD,D,19710128,000000,0.234774,0.234774,0.234774,0.234774,0,0
CHFCAD,D,19710129,000000,0.234631,0.234631,0.234631,0.234631,0,0
CHFCAD,D,19710201,000000,0.23451,0.23451,0.23451,0.23451,0,0
CHFCAD,D,19710202,000000,0.234758,0.234758,0.234758,0.234758,0,0
CHFCAD,D,19710203,000000,0.23473,0.23473,0.23473,0.23473,0,0
CHFCAD,D,19710204,000000,0.234571,0.234571,0.234571,0.234571,0,0
CHFCAD,D,19710205,000000,0.234554,0.234554,0.234554,0.234554,0,0
CHFCAD,D,19710208,000000,0.234615,0.234615,0.234615,0.234615,0,0
CHFCAD,D,19710209,000000,0.23467,0.23467,0.23467,0.23467,0,0
CHFCAD,D,19710210,000000,0.234714,0.234714,0.234714,0.234714,0,0
CHFCAD,D,19710211,000000,0.234741,0.234741,0.234741,0.234741,0,0
CHFCAD,D,19710216,000000,0.234692,0.234692,0.234692,0.234692,0,0
CHFCAD,D,19710217,000000,0.234763,0.234763,0.234763,0.234763,0,0
CHFCAD,D,19710218,000000,0.234516,0.234516,0.234516,0.234516,0,0
CHFCAD,D,19710219,000000,0.234285,0.234285,0.234285,0.234285,0,0
CHFCAD,D,19710222,000000,0.233781,0.233781,0.233781,0.233781,0,0
CHFCAD,D,19710223,000000,0.233606,0.233606,0.233606,0.233606,0,0
CHFCAD,D,19710224,000000,0.23423,0.23423,0.23423,0.23423,0,0
CHFCAD,D,19710225,000000,0.233683,0.233683,0.233683,0.233683,0,0
CHFCAD,D,19710226,000000,0.233814,0.233814,0.233814,0.233814,0,0
CHFCAD,D,19710301,000000,0.23394,0.23394,0.23394,0.23394,0,0
CHFCAD,D,19710302,000000,0.233934,0.233934,0.233934,0.233934,0,0
CHFCAD,D,19710303,000000,0.234055,0.234055,0.234055,0.234055,0,0
CHFCAD,D,19710304,000000,0.233666,0.233666,0.233666,0.233666,0,0
CHFCAD,D,19710305,000000,0.233285,0.233285,0.233285,0.233285,0,0
CHFCAD,D,19710308,000000,0.233149,0.233149,0.233149,0.233149,0,0
CHFCAD,D,19710309,000000,0.233421,0.233421,0.233421,0.233421,0,0
CHFCAD,D,19710310,000000,0.23317,0.23317,0.23317,0.23317,0,0
CHFCAD,D,19710311,000000,0.233628,0.233628,0.233628,0.233628,0,0
CHFCAD,D,19710312,000000,0.233803,0.233803,0.233803,0.233803,0,0
CHFCAD,D,19710315,000000,0.233896,0.233896,0.233896,0.233896,0,0
CHFCAD,D,19710316,000000,0.233743,0.233743,0.233743,0.233743,0,0
CHFCAD,D,19710317,000000,0.233874,0.233874,0.233874,0.233874,0,0
CHFCAD,D,19710318,000000,0.234159,0.234159,0.234159,0.234159,0,0
CHFCAD,D,19710319,000000,0.234505,0.234505,0.234505,0.234505,0,0
CHFCAD,D,19710322,000000,0.234565,0.234565,0.234565,0.234565,0,0
CHFCAD,D,19710323,000000,0.234538,0.234538,0.234538,0.234538,0,0
CHFCAD,D,19710324,000000,0.23451,0.23451,0.23451,0.23451,0,0
CHFCAD,D,19710325,000000,0.234367,0.234367,0.234367,0.234367,0,0
CHFCAD,D,19710326,000000,0.234516,0.234516,0.234516,0.234516,0,0
CHFCAD,D,19710329,000000,0.234499,0.234499,0.234499,0.234499,0,0
CHFCAD,D,19710330,000000,0.234697,0.234697,0.234697,0.234697,0,0
CHFCAD,D,19710331,000000,0.234697,0.234697,0.234697,0.234697,0,0
CHFCAD,D,19710401,000000,0.234582,0.234582,0.234582,0.234582,0,0
CHFCAD,D,19710402,000000,0.234554,0.234554,0.234554,0.234554,0,0
CHFCAD,D,19710405,000000,0.234378,0.234378,0.234378,0.234378,0,0
CHFCAD,D,19710406,000000,0.234137,0.234137,0.234137,0.234137,0,0
CHFCAD,D,19710407,000000,0.234395,0.234395,0.234395,0.234395,0,0
CHFCAD,D,19710408,000000,0.234565,0.234565,0.234565,0.234565,0,0
CHFCAD,D,19710409,000000,0.234417,0.234417,0.234417,0.234417,0,0
CHFCAD,D,19710412,000000,0.23434,0.23434,0.23434,0.23434,0,0
CHFCAD,D,19710413,000000,0.234224,0.234224,0.234224,0.234224,0,0
CHFCAD,D,19710414,000000,0.234323,0.234323,0.234323,0.234323,0,0
CHFCAD,D,19710415,000000,0.234356,0.234356,0.234356,0.234356,0,0
CHFCAD,D,19710416,000000,0.234049,0.234049,0.234049,0.234049,0,0
CHFCAD,D,19710419,000000,0.233983,0.233983,0.233983,0.233983,0,0
CHFCAD,D,19710420,000000,0.234098,0.234098,0.234098,0.234098,0,0
CHFCAD,D,19710421,000000,0.234224,0.234224,0.234224,0.234224,0,0
CHFCAD,D,19710422,000000,0.234362,0.234362,0.234362,0.234362,0,0
CHFCAD,D,19710423,000000,0.234411,0.234411,0.234411,0.234411,0,0
CHFCAD,D,19710426,000000,0.234659,0.234659,0.234659,0.234659,0,0
CHFCAD,D,19710427,000000,0.234829,0.234829,0.234829,0.234829,0,0
CHFCAD,D,19710428,000000,0.234868,0.234868,0.234868,0.234868,0,0
CHFCAD,D,19710429,000000,0.234796,0.234796,0.234796,0.234796,0,0
CHFCAD,D,19710430,000000,0.234896,0.234896,0.234896,0.234896,0,0
CHFCAD,D,19710503,000000,0.234879,0.234879,0.234879,0.234879,0,0
CHFCAD,D,19710504,000000,0.234918,0.234918,0.234918,0.234918,0,0
CHFCAD,D,19710505,000000,0.240778,0.240778,0.240778,0.240778,0,0
CHFCAD,D,19710506,000000,0.241785,0.241785,0.241785,0.241785,0,0
CHFCAD,D,19710507,000000,0.243385,0.243385,0.243385,0.243385,0,0
CHFCAD,D,19710510,000000,0.245501,0.245501,0.245501,0.245501,0,0
CHFCAD,D,19710511,000000,0.244977,0.244977,0.244977,0.244977,0,0
CHFCAD,D,19710512,000000,0.245362,0.245362,0.245362,0.245362,0,0
CHFCAD,D,19710513,000000,0.246378,0.246378,0.246378,0.246378,0,0
CHFCAD,D,19710514,000000,0.246378,0.246378,0.246378,0.246378,0,0
CHFCAD,D,19710517,000000,0.246596,0.246596,0.246596,0.246596,0,0
CHFCAD,D,19710518,000000,0.246852,0.246852,0.246852,0.246852,0,0
CHFCAD,D,19710519,000000,0.247035,0.247035,0.247035,0.247035,0,0
CHFCAD,D,19710520,000000,0.246968,0.246968,0.246968,0.246968,0,0
CHFCAD,D,19710521,000000,0.247757,0.247757,0.247757,0.247757,0,0
CHFCAD,D,19710524,000000,0.247487,0.247487,0.247487,0.247487,0,0
CHFCAD,D,19710525,000000,0.246925,0.246925,0.246925,0.246925,0,0
CHFCAD,D,19710526,000000,0.246724,0.246724,0.246724,0.246724,0,0
CHFCAD,D,19710527,000000,0.246275,0.246275,0.246275,0.246275,0,0
CHFCAD,D,19710528,000000,0.24602,0.24602,0.24602,0.24602,0,0
CHFCAD,D,19710601,000000,0.246633,0.246633,0.246633,0.246633,0,0
CHFCAD,D,19710602,000000,0.247206,0.247206,0.247206,0.247206,0,0
CHFCAD,D,19710603,000000,0.249028,0.249028,0.249028,0.249028,0,0
CHFCAD,D,19710604,000000,0.248508,0.248508,0.248508,0.248508,0,0
CHFCAD,D,19710607,000000,0.248576,0.248576,0.248576,0.248576,0,0
CHFCAD,D,19710608,000000,0.248892,0.248892,0.248892,0.248892,0,0
CHFCAD,D,19710609,000000,0.248979,0.248979,0.248979,0.248979,0,0
