<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYCAD,D,19710104,000000,0.00282589,0.00282589,0.00282589,0.00282589,0,0
JPYCAD,D,19710105,000000,0.00282326,0.00282326,0.00282326,0.00282326,0,0
JPYCAD,D,19710106,000000,0.0028239,0.0028239,0.0028239,0.0028239,0,0
JPYCAD,D,19710107,000000,0.00283567,0.00283567,0.00283567,0.00283567,0,0
JPYCAD,D,19710108,000000,0.00283768,0.00283768,0.00283768,0.00283768,0,0
JPYCAD,D,19710111,000000,0.00283824,0.00283824,0.00283824,0.00283824,0,0
JPYCAD,D,19710112,000000,0.00282933,0.00282933,0.00282933,0.00282933,0,0
JPYCAD,D,19710113,000000,0.00282398,0.00282398,0.00282398,0.00282398,0,0
JPYCAD,D,19710114,000000,0.00282733,0.00282733,0.00282733,0.00282733,0,0
JPYCAD,D,19710115,000000,0.00282781,0.00282781,0.00282781,0.00282781,0,0
JPYCAD,D,19710118,000000,0.00282637,0.00282637,0.00282637,0.00282637,0,0
JPYCAD,D,19710119,000000,0.00282143,0.00282143,0.00282143,0.00282143,0,0
JPYCAD,D,19710120,000000,0.00282206,0.00282206,0.00282206,0.00282206,0,0
JPYCAD,D,19710121,000000,0.00282151,0.00282151,0.00282151,0.00282151,0,0
JPYCAD,D,19710122,000000,0.00282669,0.00282669,0.00282669,0.00282669,0,0
JPYCAD,D,19710125,000000,0.00282637,0.00282637,0.00282637,0.00282637,0,0
JPYCAD,D,19710126,000000,0.00282493,0.00282493,0.00282493,0.00282493,0,0
JPYCAD,D,19710127,000000,0.00282318,0.00282318,0.00282318,0.00282318,0,0
JPYCAD,D,19710128,000000,0.00281984,0.00281984,0.00281984,0.00281984,0,0
JPYCAD,D,19710129,000000,0.00281793,0.00281793,0.00281793,0.00281793,0,0
JPYCAD,D,19710201,000000,0.00281729,0.00281729,0.00281729,0.00281729,0,0
JPYCAD,D,19710202,000000,0.00282119,0.00282119,0.00282119,0.00282119,0,0
JPYCAD,D,19710203,000000,0.00282071,0.00282071,0.00282071,0.00282071,0,0
JPYCAD,D,19710204,000000,0.00281912,0.00281912,0.00281912,0.00281912,0,0
JPYCAD,D,19710205,000000,0.00281896,0.00281896,0.00281896,0.00281896,0,0
