<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAD_I,D,19710104,000000,100,100,100,100,0,0
CAD_I,D,19710105,000000,100.044,100.044,100.044,100.044,0,0
CAD_I,D,19710106,000000,99.9898,99.9898,99.9898,99.9898,0,0
CAD_I,D,19710107,000000,99.569,99.569,99.569,99.569,0,0
CAD_I,D,19710108,000000,99.4988,99.4988,99.4988,99.4988,0,0
CAD_I,D,19710111,000000,99.4241,99.4241,99.4241,99.4241,0,0
CAD_I,D,19710112,000000,99.7096,99.7096,99.7096,99.7096,0,0
CAD_I,D,19710113,000000,99.7808,99.7808,99.7808,99.7808,0,0
CAD_I,D,19710114,000000,99.6247,99.6247,99.6247,99.6247,0,0
CAD_I,D,19710115,000000,99.6032,99.6032,99.6032,99.6032,0,0
CAD_I,D,19710118,000000,99.6616,99.6616,99.6616,99.6616,0,0
CAD_I,D,19710119,000000,99.7846,99.7846,99.7846,99.7846,0,0
CAD_I,D,19710120,000000,99.7285,99.7285,99.7285,99.7285,0,0
CAD_I,D,19710121,000000,99.7654,99.7654,99.7654,99.7654,0,0
CAD_I,D,19710122,000000,99.6445,99.6445,99.6445,99.6445,0,0
CAD_I,D,19710125,000000,99.6593,99.6593,99.6593,99.6593,0,0
CAD_I,D,19710126,000000,99.6814,99.6814,99.6814,99.6814,0,0
CAD_I,D,19710127,000000,99.7298,99.7298,99.7298,99.7298,0,0
CAD_I,D,19710128,000000,99.8413,99.8413,99.8413,99.8413,0,0
CAD_I,D,19710129,000000,99.9245,99.9245,99.9245,99.9245,0,0
CAD_I,D,19710201,000000,99.9596,99.9596,99.9596,99.9596,0,0
CAD_I,D,19710202,000000,99.8505,99.8505,99.8505,99.8505,0,0
CAD_I,D,19710203,000000,99.8557,99.8557,99.8557,99.8557,0,0
CAD_I,D,19710204,000000,99.9333,99.9333,99.9333,99.9333,0,0
CAD_I,D,19710205,000000,99.9544,99.9544,99.9544,99.9544,0,0
CAD_I,D,19710208,000000,99.8812,99.8812,99.8812,99.8812,0,0
CAD_I,D,19710209,000000,99.8993,99.8993,99.8993,99.8993,0,0
CAD_I,D,19710210,000000,99.8715,99.8715,99.8715,99.8715,0,0
CAD_I,D,19710211,000000,99.8728,99.8728,99.8728,99.8728,0,0
CAD_I,D,19710216,000000,99.8539,99.8539,99.8539,99.8539,0,0
CAD_I,D,19710217,000000,99.828,99.828,99.828,99.828,0,0
CAD_I,D,19710218,000000,99.9397,99.9397,99.9397,99.9397,0,0
CAD_I,D,19710219,000000,100.041,100.041,100.041,100.041,0,0
CAD_I,D,19710222,000000,100.267,100.267,100.267,100.267,0,0
CAD_I,D,19710223,000000,100.342,100.342,100.342,100.342,0,0
CAD_I,D,19710224,000000,99.9708,99.9708,99.9708,99.9708,0,0
CAD_I,D,19710225,000000,100.105,100.105,100.105,100.105,0,0
CAD_I,D,19710226,000000,100.097,100.097,100.097,100.097,0,0
CAD_I,D,19710301,000000,100.029,100.029,100.029,100.029,0,0
CAD_I,D,19710302,000000,100.039,100.039,100.039,100.039,0,0
CAD_I,D,19710303,000000,99.9897,99.9897,99.9897,99.9897,0,0
CAD_I,D,19710304,000000,100.129,100.129,100.129,100.129,0,0
CAD_I,D,19710305,000000,100.291,100.291,100.291,100.291,0,0
