<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFNOK,D,19710104,000000,1.65259,1.65259,1.65259,1.65259,0,0
CHFNOK,D,19710105,000000,1.65646,1.65646,1.65646,1.65646,0,0
CHFNOK,D,19710106,000000,1.6553,1.6553,1.6553,1.6553,0,0
CHFNOK,D,19710107,000000,1.65617,1.65617,1.65617,1.65617,0,0
CHFNOK,D,19710108,000000,1.65581,1.65581,1.65581,1.65581,0,0
CHFNOK,D,19710111,000000,1.65622,1.65622,1.65622,1.65622,0,0
CHFNOK,D,19710112,000000,1.65694,1.65694,1.65694,1.65694,0,0
CHFNOK,D,19710113,000000,1.65649,1.65649,1.65649,1.65649,0,0
CHFNOK,D,19710114,000000,1.65691,1.65691,1.65691,1.65691,0,0
CHFNOK,D,19710115,000000,1.65789,1.65789,1.65789,1.65789,0,0
CHFNOK,D,19710118,000000,1.65952,1.65952,1.65952,1.65952,0,0
CHFNOK,D,19710119,000000,1.66086,1.66086,1.66086,1.66086,0,0
CHFNOK,D,19710120,000000,1.66071,1.66071,1.66071,1.66071,0,0
CHFNOK,D,19710121,000000,1.66076,1.66076,1.66076,1.66076,0,0
CHFNOK,D,19710122,000000,1.66121,1.66121,1.66121,1.66121,0,0
CHFNOK,D,19710125,000000,1.66104,1.66104,1.66104,1.66104,0,0
CHFNOK,D,19710126,000000,1.66192,1.66192,1.66192,1.66192,0,0
CHFNOK,D,19710127,000000,1.66183,1.66183,1.66183,1.66183,0,0
CHFNOK,D,19710128,000000,1.66207,1.66207,1.66207,1.66207,0,0
CHFNOK,D,19710129,000000,1.66301,1.66301,1.66301,1.66301,0,0
CHFNOK,D,19710201,000000,1.66329,1.66329,1.66329,1.66329,0,0
CHFNOK,D,19710202,000000,1.66321,1.66321,1.66321,1.66321,0,0
CHFNOK,D,19710203,000000,1.66276,1.66276,1.66276,1.66276,0,0
CHFNOK,D,19710204,000000,1.66257,1.66257,1.66257,1.66257,0,0
CHFNOK,D,19710205,000000,1.66255,1.66255,1.66255,1.66255,0,0
CHFNOK,D,19710208,000000,1.66202,1.66202,1.66202,1.66202,0,0
CHFNOK,D,19710209,000000,1.66167,1.66167,1.66167,1.66167,0,0
CHFNOK,D,19710210,000000,1.66186,1.66186,1.66186,1.66186,0,0
CHFNOK,D,19710211,000000,1.66201,1.66201,1.66201,1.66201,0,0
CHFNOK,D,19710216,000000,1.66188,1.66188,1.66188,1.66188,0,0
CHFNOK,D,19710217,000000,1.6615,1.6615,1.6615,1.6615,0,0
CHFNOK,D,19710218,000000,1.66223,1.66223,1.66223,1.66223,0,0
CHFNOK,D,19710219,000000,1.66267,1.66267,1.66267,1.66267,0,0
CHFNOK,D,19710222,000000,1.66284,1.66284,1.66284,1.66284,0,0
CHFNOK,D,19710223,000000,1.6628,1.6628,1.6628,1.6628,0,0
CHFNOK,D,19710224,000000,1.66038,1.66038,1.66038,1.66038,0,0
CHFNOK,D,19710225,000000,1.65789,1.65789,1.65789,1.65789,0,0
CHFNOK,D,19710226,000000,1.65811,1.65811,1.65811,1.65811,0,0
CHFNOK,D,19710301,000000,1.65809,1.65809,1.65809,1.65809,0,0
CHFNOK,D,19710302,000000,1.6588,1.6588,1.6588,1.6588,0,0
CHFNOK,D,19710303,000000,1.65847,1.65847,1.65847,1.65847,0,0
CHFNOK,D,19710304,000000,1.65751,1.65751,1.65751,1.65751,0,0
CHFNOK,D,19710305,000000,1.65746,1.65746,1.65746,1.65746,0,0
CHFNOK,D,19710308,000000,1.65887,1.65887,1.65887,1.65887,0,0
CHFNOK,D,19710309,000000,1.65888,1.65888,1.65888,1.65888,0,0
CHFNOK,D,19710310,000000,1.65776,1.65776,1.65776,1.65776,0,0
CHFNOK,D,19710311,000000,1.65919,1.65919,1.65919,1.65919,0,0
CHFNOK,D,19710312,000000,1.65918,1.65918,1.65918,1.65918,0,0
CHFNOK,D,19710315,000000,1.65976,1.65976,1.65976,1.65976,0,0
CHFNOK,D,19710316,000000,1.65984,1.65984,1.65984,1.65984,0,0
CHFNOK,D,19710317,000000,1.66034,1.66034,1.66034,1.66034,0,0
CHFNOK,D,19710318,000000,1.66085,1.66085,1.66085,1.66085,0,0
CHFNOK,D,19710319,000000,1.66128,1.66128,1.66128,1.66128,0,0
CHFNOK,D,19710322,000000,1.66194,1.66194,1.66194,1.66194,0,0
CHFNOK,D,19710323,000000,1.66195,1.66195,1.66195,1.66195,0,0
CHFNOK,D,19710324,000000,1.66154,1.66154,1.66154,1.66154,0,0
CHFNOK,D,19710325,000000,1.6613,1.6613,1.6613,1.6613,0,0
CHFNOK,D,19710326,000000,1.66131,1.66131,1.66131,1.66131,0,0
CHFNOK,D,19710329,000000,1.66064,1.66064,1.66064,1.66064,0,0
CHFNOK,D,19710330,000000,1.66042,1.66042,1.66042,1.66042,0,0
CHFNOK,D,19710331,000000,1.66027,1.66027,1.66027,1.66027,0,0
CHFNOK,D,19710401,000000,1.66053,1.66053,1.66053,1.66053,0,0
CHFNOK,D,19710402,000000,1.66093,1.66093,1.66093,1.66093,0,0
