<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFNZD,D,19710104,000000,0.207936,0.207936,0.207936,0.207936,0,0
CHFNZD,D,19710105,000000,0.208112,0.208112,0.208112,0.208112,0,0
CHFNZD,D,19710106,000000,0.207963,0.207963,0.207963,0.207963,0,0
CHFNZD,D,19710107,000000,0.208071,0.208071,0.208071,0.208071,0,0
CHFNZD,D,19710108,000000,0.207997,0.207997,0.207997,0.207997,0,0
CHFNZD,D,19710111,000000,0.207829,0.207829,0.207829,0.207829,0,0
CHFNZD,D,19710112,000000,0.207754,0.207754,0.207754,0.207754,0,0
CHFNZD,D,19710113,000000,0.207569,0.207569,0.207569,0.207569,0,0
CHFNZD,D,19710114,000000,0.207232,0.207232,0.207232,0.207232,0,0
CHFNZD,D,19710115,000000,0.207451,0.207451,0.207451,0.207451,0,0
CHFNZD,D,19710118,000000,0.207666,0.207666,0.207666,0.207666,0,0
CHFNZD,D,19710119,000000,0.207496,0.207496,0.207496,0.207496,0,0
CHFNZD,D,19710120,000000,0.207515,0.207515,0.207515,0.207515,0,0
CHFNZD,D,19710121,000000,0.207404,0.207404,0.207404,0.207404,0,0
CHFNZD,D,19710122,000000,0.2074,0.2074,0.2074,0.2074,0,0
CHFNZD,D,19710125,000000,0.206924,0.206924,0.206924,0.206924,0,0
CHFNZD,D,19710126,000000,0.206921,0.206921,0.206921,0.206921,0,0
CHFNZD,D,19710127,000000,0.206991,0.206991,0.206991,0.206991,0,0
CHFNZD,D,19710128,000000,0.206918,0.206918,0.206918,0.206918,0,0
CHFNZD,D,19710129,000000,0.20697,0.20697,0.20697,0.20697,0,0
CHFNZD,D,19710201,000000,0.206789,0.206789,0.206789,0.206789,0,0
CHFNZD,D,19710202,000000,0.206826,0.206826,0.206826,0.206826,0,0
CHFNZD,D,19710203,000000,0.206878,0.206878,0.206878,0.206878,0,0
CHFNZD,D,19710204,000000,0.207025,0.207025,0.207025,0.207025,0,0
CHFNZD,D,19710205,000000,0.20712,0.20712,0.20712,0.20712,0,0
CHFNZD,D,19710208,000000,0.206807,0.206807,0.206807,0.206807,0,0
CHFNZD,D,19710209,000000,0.207083,0.207083,0.207083,0.207083,0,0
CHFNZD,D,19710210,000000,0.20701,0.20701,0.20701,0.20701,0,0
CHFNZD,D,19710211,000000,0.207028,0.207028,0.207028,0.207028,0,0
CHFNZD,D,19710216,000000,0.206715,0.206715,0.206715,0.206715,0,0
CHFNZD,D,19710217,000000,0.206715,0.206715,0.206715,0.206715,0,0
CHFNZD,D,19710218,000000,0.206734,0.206734,0.206734,0.206734,0,0
CHFNZD,D,19710219,000000,0.206752,0.206752,0.206752,0.206752,0,0
CHFNZD,D,19710222,000000,0.206823,0.206823,0.206823,0.206823,0,0
CHFNZD,D,19710223,000000,0.206804,0.206804,0.206804,0.206804,0,0
CHFNZD,D,19710224,000000,0.206538,0.206538,0.206538,0.206538,0,0
CHFNZD,D,19710225,000000,0.206418,0.206418,0.206418,0.206418,0,0
CHFNZD,D,19710226,000000,0.206565,0.206565,0.206565,0.206565,0,0
CHFNZD,D,19710301,000000,0.206546,0.206546,0.206546,0.206546,0,0
CHFNZD,D,19710302,000000,0.206433,0.206433,0.206433,0.206433,0,0
CHFNZD,D,19710303,000000,0.206449,0.206449,0.206449,0.206449,0,0
CHFNZD,D,19710304,000000,0.2064,0.2064,0.2064,0.2064,0,0
