<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURNZD,D,19710104,000000,0.480606,0.480606,0.480606,0.480606,0,0
EURNZD,D,19710105,000000,0.480122,0.480122,0.480122,0.480122,0,0
EURNZD,D,19710106,000000,0.479956,0.479956,0.479956,0.479956,0,0
EURNZD,D,19710107,000000,0.480089,0.480089,0.480089,0.480089,0,0
EURNZD,D,19710108,000000,0.480007,0.480007,0.480007,0.480007,0,0
EURNZD,D,19710111,000000,0.479709,0.479709,0.479709,0.479709,0,0
EURNZD,D,19710112,000000,0.479627,0.479627,0.479627,0.479627,0,0
EURNZD,D,19710113,000000,0.479287,0.479287,0.479287,0.479287,0,0
EURNZD,D,19710114,000000,0.478482,0.478482,0.478482,0.478482,0,0
EURNZD,D,19710115,000000,0.47887,0.47887,0.47887,0.47887,0,0
EURNZD,D,19710118,000000,0.479224,0.479224,0.479224,0.479224,0,0
EURNZD,D,19710119,000000,0.478625,0.478625,0.478625,0.478625,0,0
EURNZD,D,19710120,000000,0.479114,0.479114,0.479114,0.479114,0,0
EURNZD,D,19710121,000000,0.479036,0.479036,0.479036,0.479036,0,0
EURNZD,D,19710122,000000,0.478912,0.478912,0.478912,0.478912,0,0
EURNZD,D,19710125,000000,0.478106,0.478106,0.478106,0.478106,0,0
EURNZD,D,19710126,000000,0.477893,0.477893,0.477893,0.477893,0,0
EURNZD,D,19710127,000000,0.47785,0.47785,0.47785,0.47785,0,0
EURNZD,D,19710128,000000,0.477592,0.477592,0.477592,0.477592,0,0
EURNZD,D,19710129,000000,0.477507,0.477507,0.477507,0.477507,0,0
EURNZD,D,19710201,000000,0.477117,0.477117,0.477117,0.477117,0,0
EURNZD,D,19710202,000000,0.477202,0.477202,0.477202,0.477202,0,0
EURNZD,D,19710203,000000,0.477294,0.477294,0.477294,0.477294,0,0
EURNZD,D,19710204,000000,0.477723,0.477723,0.477723,0.477723,0,0
EURNZD,D,19710205,000000,0.478059,0.478059,0.478059,0.478059,0,0
EURNZD,D,19710208,000000,0.477337,0.477337,0.477337,0.477337,0,0
EURNZD,D,19710209,000000,0.478063,0.478063,0.478063,0.478063,0,0
EURNZD,D,19710210,000000,0.477715,0.477715,0.477715,0.477715,0,0
EURNZD,D,19710211,000000,0.477669,0.477669,0.477669,0.477669,0,0
EURNZD,D,19710216,000000,0.477214,0.477214,0.477214,0.477214,0,0
EURNZD,D,19710217,000000,0.477214,0.477214,0.477214,0.477214,0,0
EURNZD,D,19710218,000000,0.477167,0.477167,0.477167,0.477167,0,0
EURNZD,D,19710219,000000,0.47721,0.47721,0.47721,0.47721,0,0
EURNZD,D,19710222,000000,0.477256,0.477256,0.477256,0.477256,0,0
EURNZD,D,19710223,000000,0.477214,0.477214,0.477214,0.477214,0,0
EURNZD,D,19710224,000000,0.477214,0.477214,0.477214,0.477214,0,0
EURNZD,D,19710225,000000,0.477464,0.477464,0.477464,0.477464,0,0
EURNZD,D,19710226,000000,0.477092,0.477092,0.477092,0.477092,0,0
EURNZD,D,19710301,000000,0.477495,0.477495,0.477495,0.477495,0,0
EURNZD,D,19710302,000000,0.477206,0.477206,0.477206,0.477206,0,0
EURNZD,D,19710303,000000,0.477303,0.477303,0.477303,0.477303,0,0
EURNZD,D,19710304,000000,0.477244,0.477244,0.477244,0.477244,0,0
EURNZD,D,19710305,000000,0.477248,0.477248,0.477248,0.477248,0,0
EURNZD,D,19710308,000000,0.477256,0.477256,0.477256,0.477256,0,0
EURNZD,D,19710309,000000,0.477256,0.477256,0.477256,0.477256,0,0
EURNZD,D,19710310,000000,0.477167,0.477167,0.477167,0.477167,0,0
EURNZD,D,19710311,000000,0.477252,0.477252,0.477252,0.477252,0,0
EURNZD,D,19710312,000000,0.476858,0.476858,0.476858,0.476858,0,0
EURNZD,D,19710315,000000,0.476858,0.476858,0.476858,0.476858,0,0
EURNZD,D,19710316,000000,0.476981,0.476981,0.476981,0.476981,0,0
EURNZD,D,19710317,000000,0.477214,0.477214,0.477214,0.477214,0,0
EURNZD,D,19710318,000000,0.47721,0.47721,0.47721,0.47721,0,0
EURNZD,D,19710319,000000,0.47721,0.47721,0.47721,0.47721,0,0
EURNZD,D,19710322,000000,0.477125,0.477125,0.477125,0.477125,0,0
EURNZD,D,19710323,000000,0.477214,0.477214,0.477214,0.477214,0,0
EURNZD,D,19710324,000000,0.477214,0.477214,0.477214,0.477214,0,0
EURNZD,D,19710325,000000,0.477206,0.477206,0.477206,0.477206,0,0
EURNZD,D,19710326,000000,0.477252,0.477252,0.477252,0.477252,0,0
