<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBPNOK,D,19710104,000000,17.0837,17.0837,17.0837,17.0837,0,0
GBPNOK,D,19710105,000000,17.107,17.107,17.107,17.107,0,0
GBPNOK,D,19710106,000000,17.102,17.102,17.102,17.102,0,0
GBPNOK,D,19710107,000000,17.1066,17.1066,17.1066,17.1066,0,0
GBPNOK,D,19710108,000000,17.1138,17.1138,17.1138,17.1138,0,0
GBPNOK,D,19710111,000000,17.1281,17.1281,17.1281,17.1281,0,0
GBPNOK,D,19710112,000000,17.1413,17.1413,17.1413,17.1413,0,0
GBPNOK,D,19710113,000000,17.1486,17.1486,17.1486,17.1486,0,0
GBPNOK,D,19710114,000000,17.1889,17.1889,17.1889,17.1889,0,0
GBPNOK,D,19710115,000000,17.1833,17.1833,17.1833,17.1833,0,0
GBPNOK,D,19710118,000000,17.1731,17.1731,17.1731,17.1731,0,0
GBPNOK,D,19710119,000000,17.1993,17.1993,17.1993,17.1993,0,0
GBPNOK,D,19710120,000000,17.1993,17.1993,17.1993,17.1993,0,0
GBPNOK,D,19710121,000000,17.211,17.211,17.211,17.211,0,0
GBPNOK,D,19710122,000000,17.2159,17.2159,17.2159,17.2159,0,0
GBPNOK,D,19710125,000000,17.2464,17.2464,17.2464,17.2464,0,0
GBPNOK,D,19710126,000000,17.2609,17.2609,17.2609,17.2609,0,0
GBPNOK,D,19710127,000000,17.2539,17.2539,17.2539,17.2539,0,0
GBPNOK,D,19710128,000000,17.2622,17.2622,17.2622,17.2622,0,0
GBPNOK,D,19710129,000000,17.2697,17.2697,17.2697,17.2697,0,0
GBPNOK,D,19710201,000000,17.2829,17.2829,17.2829,17.2829,0,0
GBPNOK,D,19710202,000000,17.2787,17.2787,17.2787,17.2787,0,0
GBPNOK,D,19710203,000000,17.2766,17.2766,17.2766,17.2766,0,0
GBPNOK,D,19710204,000000,17.2622,17.2622,17.2622,17.2622,0,0
GBPNOK,D,19710205,000000,17.2506,17.2506,17.2506,17.2506,0,0
GBPNOK,D,19710208,000000,17.2742,17.2742,17.2742,17.2742,0,0
GBPNOK,D,19710209,000000,17.2414,17.2414,17.2414,17.2414,0,0
GBPNOK,D,19710210,000000,17.2534,17.2534,17.2534,17.2534,0,0
GBPNOK,D,19710211,000000,17.2529,17.2529,17.2529,17.2529,0,0
GBPNOK,D,19710216,000000,17.277,17.277,17.277,17.277,0,0
GBPNOK,D,19710217,000000,17.2689,17.2689,17.2689,17.2689,0,0
GBPNOK,D,19710218,000000,17.2757,17.2757,17.2757,17.2757,0,0
GBPNOK,D,19710219,000000,17.2803,17.2803,17.2803,17.2803,0,0
GBPNOK,D,19710222,000000,17.2796,17.2796,17.2796,17.2796,0,0
GBPNOK,D,19710223,000000,17.2784,17.2784,17.2784,17.2784,0,0
GBPNOK,D,19710224,000000,17.2757,17.2757,17.2757,17.2757,0,0
GBPNOK,D,19710225,000000,17.2664,17.2664,17.2664,17.2664,0,0
GBPNOK,D,19710226,000000,17.2553,17.2553,17.2553,17.2553,0,0
GBPNOK,D,19710301,000000,17.2544,17.2544,17.2544,17.2544,0,0
GBPNOK,D,19710302,000000,17.2703,17.2703,17.2703,17.2703,0,0
GBPNOK,D,19710303,000000,17.2697,17.2697,17.2697,17.2697,0,0
GBPNOK,D,19710304,000000,17.2562,17.2562,17.2562,17.2562,0,0
GBPNOK,D,19710305,000000,17.2628,17.2628,17.2628,17.2628,0,0
GBPNOK,D,19710308,000000,17.2671,17.2671,17.2671,17.2671,0,0
GBPNOK,D,19710309,000000,17.2556,17.2556,17.2556,17.2556,0,0
GBPNOK,D,19710310,000000,17.2597,17.2597,17.2597,17.2597,0,0
GBPNOK,D,19710311,000000,17.2634,17.2634,17.2634,17.2634,0,0
GBPNOK,D,19710312,000000,17.2666,17.2666,17.2666,17.2666,0,0
