<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBPNZD,D,19710104,000000,2.14948,2.14948,2.14948,2.14948,0,0
GBPNZD,D,19710105,000000,2.14951,2.14951,2.14951,2.14951,0,0
GBPNZD,D,19710106,000000,2.14904,2.14904,2.14904,2.14904,0,0
GBPNZD,D,19710107,000000,2.14923,2.14923,2.14923,2.14923,0,0
GBPNZD,D,19710108,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710111,000000,2.14924,2.14924,2.14924,2.14924,0,0
GBPNZD,D,19710112,000000,2.14954,2.14954,2.14954,2.14954,0,0
GBPNZD,D,19710113,000000,2.14914,2.14914,2.14914,2.14914,0,0
GBPNZD,D,19710114,000000,2.14937,2.14937,2.14937,2.14937,0,0
GBPNZD,D,19710115,000000,2.14973,2.14973,2.14973,2.14973,0,0
GBPNZD,D,19710118,000000,2.14904,2.14904,2.14904,2.14904,0,0
GBPNZD,D,19710119,000000,2.14895,2.14895,2.14895,2.14895,0,0
GBPNZD,D,19710120,000000,2.14914,2.14914,2.14914,2.14914,0,0
GBPNZD,D,19710121,000000,2.14906,2.14906,2.14906,2.14906,0,0
GBPNZD,D,19710122,000000,2.14908,2.14908,2.14908,2.14908,0,0
GBPNZD,D,19710125,000000,2.14871,2.14871,2.14871,2.14871,0,0
GBPNZD,D,19710126,000000,2.14927,2.14927,2.14927,2.14927,0,0
GBPNZD,D,19710127,000000,2.14908,2.14908,2.14908,2.14908,0,0
GBPNZD,D,19710128,000000,2.14885,2.14885,2.14885,2.14885,0,0
GBPNZD,D,19710129,000000,2.149,2.149,2.149,2.149,0,0
GBPNZD,D,19710201,000000,2.14911,2.14911,2.14911,2.14911,0,0
GBPNZD,D,19710202,000000,2.14896,2.14896,2.14896,2.14896,0,0
GBPNZD,D,19710203,000000,2.14911,2.14911,2.14911,2.14911,0,0
GBPNZD,D,19710204,000000,2.14904,2.14904,2.14904,2.14904,0,0
GBPNZD,D,19710205,000000,2.14944,2.14944,2.14944,2.14944,0,0
GBPNZD,D,19710208,000000,2.1493,2.1493,2.1493,2.1493,0,0
GBPNZD,D,19710209,000000,2.14906,2.14906,2.14906,2.14906,0,0
GBPNZD,D,19710210,000000,2.14927,2.14927,2.14927,2.14927,0,0
GBPNZD,D,19710211,000000,2.14946,2.14946,2.14946,2.14946,0,0
GBPNZD,D,19710216,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710217,000000,2.14888,2.14888,2.14888,2.14888,0,0
GBPNZD,D,19710218,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19710219,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710222,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19710223,000000,2.14888,2.14888,2.14888,2.14888,0,0
GBPNZD,D,19710224,000000,2.14888,2.14888,2.14888,2.14888,0,0
GBPNZD,D,19710225,000000,2.14934,2.14934,2.14934,2.14934,0,0
GBPNZD,D,19710226,000000,2.14927,2.14927,2.14927,2.14927,0,0
GBPNZD,D,19710301,000000,2.14908,2.14908,2.14908,2.14908,0,0
GBPNZD,D,19710302,000000,2.14911,2.14911,2.14911,2.14911,0,0
GBPNZD,D,19710303,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710304,000000,2.14862,2.14862,2.14862,2.14862,0,0
GBPNZD,D,19710305,000000,2.1493,2.1493,2.1493,2.1493,0,0
GBPNZD,D,19710308,000000,2.14952,2.14952,2.14952,2.14952,0,0
GBPNZD,D,19710309,000000,2.14854,2.14854,2.14854,2.14854,0,0
GBPNZD,D,19710310,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19710311,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710312,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710315,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710316,000000,2.14877,2.14877,2.14877,2.14877,0,0
GBPNZD,D,19710317,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710318,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710319,000000,2.14971,2.14971,2.14971,2.14971,0,0
GBPNZD,D,19710322,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710323,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710324,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710325,000000,2.14911,2.14911,2.14911,2.14911,0,0
GBPNZD,D,19710326,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710329,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710330,000000,2.14896,2.14896,2.14896,2.14896,0,0
GBPNZD,D,19710331,000000,2.14957,2.14957,2.14957,2.14957,0,0
GBPNZD,D,19710401,000000,2.14944,2.14944,2.14944,2.14944,0,0
GBPNZD,D,19710402,000000,2.14922,2.14922,2.14922,2.14922,0,0
GBPNZD,D,19710405,000000,2.14908,2.14908,2.14908,2.14908,0,0
GBPNZD,D,19710406,000000,2.14873,2.14873,2.14873,2.14873,0,0
GBPNZD,D,19710407,000000,2.14885,2.14885,2.14885,2.14885,0,0
GBPNZD,D,19710408,000000,2.14904,2.14904,2.14904,2.14904,0,0
GBPNZD,D,19710409,000000,2.14904,2.14904,2.14904,2.14904,0,0
GBPNZD,D,19710412,000000,2.14885,2.14885,2.14885,2.14885,0,0
GBPNZD,D,19710413,000000,2.14904,2.14904,2.14904,2.14904,0,0
GBPNZD,D,19710414,000000,2.14968,2.14968,2.14968,2.14968,0,0
GBPNZD,D,19710415,000000,2.14892,2.14892,2.14892,2.14892,0,0
GBPNZD,D,19710416,000000,2.14911,2.14911,2.14911,2.14911,0,0
GBPNZD,D,19710419,000000,2.14952,2.14952,2.14952,2.14952,0,0
GBPNZD,D,19710420,000000,2.14888,2.14888,2.14888,2.14888,0,0
GBPNZD,D,19710421,000000,2.14913,2.14913,2.14913,2.14913,0,0
GBPNZD,D,19710422,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710423,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710426,000000,2.14892,2.14892,2.14892,2.14892,0,0
GBPNZD,D,19710427,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710428,000000,2.14913,2.14913,2.14913,2.14913,0,0
GBPNZD,D,19710429,000000,2.14952,2.14952,2.14952,2.14952,0,0
GBPNZD,D,19710430,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710503,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710504,000000,2.14911,2.14911,2.14911,2.14911,0,0
GBPNZD,D,19710505,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710506,000000,2.14964,2.14964,2.14964,2.14964,0,0
GBPNZD,D,19710507,000000,2.14873,2.14873,2.14873,2.14873,0,0
GBPNZD,D,19710510,000000,2.14953,2.14953,2.14953,2.14953,0,0
GBPNZD,D,19710511,000000,2.14938,2.14938,2.14938,2.14938,0,0
GBPNZD,D,19710512,000000,2.1493,2.1493,2.1493,2.1493,0,0
GBPNZD,D,19710513,000000,2.1493,2.1493,2.1493,2.1493,0,0
GBPNZD,D,19710514,000000,2.14964,2.14964,2.14964,2.14964,0,0
GBPNZD,D,19710517,000000,2.14952,2.14952,2.14952,2.14952,0,0
GBPNZD,D,19710518,000000,2.14971,2.14971,2.14971,2.14971,0,0
GBPNZD,D,19710519,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710520,000000,2.14952,2.14952,2.14952,2.14952,0,0
GBPNZD,D,19710521,000000,2.14888,2.14888,2.14888,2.14888,0,0
GBPNZD,D,19710524,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710525,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710526,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710527,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710528,000000,2.14915,2.14915,2.14915,2.14915,0,0
GBPNZD,D,19710601,000000,2.14942,2.14942,2.14942,2.14942,0,0
GBPNZD,D,19710602,000000,2.14885,2.14885,2.14885,2.14885,0,0
GBPNZD,D,19710603,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710604,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710607,000000,2.14952,2.14952,2.14952,2.14952,0,0
GBPNZD,D,19710608,000000,2.14892,2.14892,2.14892,2.14892,0,0
GBPNZD,D,19710609,000000,2.14888,2.14888,2.14888,2.14888,0,0
GBPNZD,D,19710610,000000,2.14952,2.14952,2.14952,2.14952,0,0
GBPNZD,D,19710611,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710614,000000,2.14892,2.14892,2.14892,2.14892,0,0
GBPNZD,D,19710615,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710616,000000,2.14952,2.14952,2.14952,2.14952,0,0
GBPNZD,D,19710617,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710618,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19710621,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19710622,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710623,000000,2.14869,2.14869,2.14869,2.14869,0,0
GBPNZD,D,19710624,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19710625,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19710628,000000,2.14964,2.14964,2.14964,2.14964,0,0
GBPNZD,D,19710629,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710630,000000,2.14913,2.14913,2.14913,2.14913,0,0
GBPNZD,D,19710701,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710702,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710706,000000,2.14896,2.14896,2.14896,2.14896,0,0
GBPNZD,D,19710707,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710708,000000,2.14797,2.14797,2.14797,2.14797,0,0
GBPNZD,D,19710709,000000,2.1493,2.1493,2.1493,2.1493,0,0
GBPNZD,D,19710712,000000,2.14877,2.14877,2.14877,2.14877,0,0
GBPNZD,D,19710713,000000,2.14896,2.14896,2.14896,2.14896,0,0
GBPNZD,D,19710714,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710715,000000,2.14892,2.14892,2.14892,2.14892,0,0
GBPNZD,D,19710716,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710719,000000,2.1493,2.1493,2.1493,2.1493,0,0
GBPNZD,D,19710720,000000,2.14949,2.14949,2.14949,2.14949,0,0
GBPNZD,D,19710721,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710722,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710723,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710726,000000,2.14915,2.14915,2.14915,2.14915,0,0
GBPNZD,D,19710727,000000,2.14915,2.14915,2.14915,2.14915,0,0
GBPNZD,D,19710728,000000,2.14964,2.14964,2.14964,2.14964,0,0
GBPNZD,D,19710729,000000,2.14911,2.14911,2.14911,2.14911,0,0
GBPNZD,D,19710730,000000,2.14877,2.14877,2.14877,2.14877,0,0
GBPNZD,D,19710802,000000,2.14953,2.14953,2.14953,2.14953,0,0
GBPNZD,D,19710803,000000,2.14938,2.14938,2.14938,2.14938,0,0
GBPNZD,D,19710804,000000,2.14952,2.14952,2.14952,2.14952,0,0
GBPNZD,D,19710805,000000,2.15121,2.15121,2.15121,2.15121,0,0
GBPNZD,D,19710806,000000,2.14911,2.14911,2.14911,2.14911,0,0
GBPNZD,D,19710809,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19710810,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19710811,000000,2.14967,2.14967,2.14967,2.14967,0,0
GBPNZD,D,19710812,000000,2.14913,2.14913,2.14913,2.14913,0,0
GBPNZD,D,19710813,000000,2.14932,2.14932,2.14932,2.14932,0,0
GBPNZD,D,19710823,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19710824,000000,2.14892,2.14892,2.14892,2.14892,0,0
GBPNZD,D,19710825,000000,2.1493,2.1493,2.1493,2.1493,0,0
GBPNZD,D,19710826,000000,2.14899,2.14899,2.14899,2.14899,0,0
GBPNZD,D,19710827,000000,2.14909,2.14909,2.14909,2.14909,0,0
GBPNZD,D,19710830,000000,2.1488,2.1488,2.1488,2.1488,0,0
GBPNZD,D,19710831,000000,2.1489,2.1489,2.1489,2.1489,0,0
GBPNZD,D,19710901,000000,2.14886,2.14886,2.14886,2.14886,0,0
GBPNZD,D,19710902,000000,2.14937,2.14937,2.14937,2.14937,0,0
GBPNZD,D,19710903,000000,2.14836,2.14836,2.14836,2.14836,0,0
GBPNZD,D,19710907,000000,2.14915,2.14915,2.14915,2.14915,0,0
GBPNZD,D,19710908,000000,2.14948,2.14948,2.14948,2.14948,0,0
GBPNZD,D,19710909,000000,2.1493,2.1493,2.1493,2.1493,0,0
GBPNZD,D,19710910,000000,2.14873,2.14873,2.14873,2.14873,0,0
GBPNZD,D,19710913,000000,2.14955,2.14955,2.14955,2.14955,0,0
GBPNZD,D,19710914,000000,2.14996,2.14996,2.14996,2.14996,0,0
GBPNZD,D,19710915,000000,2.14925,2.14925,2.14925,2.14925,0,0
GBPNZD,D,19710916,000000,2.14925,2.14925,2.14925,2.14925,0,0
GBPNZD,D,19710917,000000,2.14955,2.14955,2.14955,2.14955,0,0
GBPNZD,D,19710920,000000,2.14924,2.14924,2.14924,2.14924,0,0
GBPNZD,D,19710921,000000,2.14928,2.14928,2.14928,2.14928,0,0
GBPNZD,D,19710922,000000,2.14872,2.14872,2.14872,2.14872,0,0
GBPNZD,D,19710923,000000,2.14903,2.14903,2.14903,2.14903,0,0
GBPNZD,D,19710924,000000,2.14873,2.14873,2.14873,2.14873,0,0
GBPNZD,D,19710927,000000,2.14903,2.14903,2.14903,2.14903,0,0
GBPNZD,D,19710928,000000,2.14891,2.14891,2.14891,2.14891,0,0
GBPNZD,D,19710929,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19710930,000000,2.14922,2.14922,2.14922,2.14922,0,0
GBPNZD,D,19711001,000000,2.14936,2.14936,2.14936,2.14936,0,0
GBPNZD,D,19711004,000000,2.14922,2.14922,2.14922,2.14922,0,0
GBPNZD,D,19711005,000000,2.14936,2.14936,2.14936,2.14936,0,0
GBPNZD,D,19711006,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19711007,000000,2.14936,2.14936,2.14936,2.14936,0,0
GBPNZD,D,19711008,000000,2.14068,2.14068,2.14068,2.14068,0,0
GBPNZD,D,19711012,000000,2.14918,2.14918,2.14918,2.14918,0,0
GBPNZD,D,19711013,000000,2.14903,2.14903,2.14903,2.14903,0,0
GBPNZD,D,19711014,000000,2.14157,2.14157,2.14157,2.14157,0,0
GBPNZD,D,19711015,000000,2.14903,2.14903,2.14903,2.14903,0,0
GBPNZD,D,19711018,000000,2.14918,2.14918,2.14918,2.14918,0,0
GBPNZD,D,19711019,000000,2.14885,2.14885,2.14885,2.14885,0,0
GBPNZD,D,19711020,000000,2.14882,2.14882,2.14882,2.14882,0,0
GBPNZD,D,19711021,000000,2.14911,2.14911,2.14911,2.14911,0,0
GBPNZD,D,19711022,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19711026,000000,2.14908,2.14908,2.14908,2.14908,0,0
GBPNZD,D,19711027,000000,2.14923,2.14923,2.14923,2.14923,0,0
GBPNZD,D,19711028,000000,2.14927,2.14927,2.14927,2.14927,0,0
GBPNZD,D,19711029,000000,2.14967,2.14967,2.14967,2.14967,0,0
GBPNZD,D,19711101,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19711103,000000,2.14922,2.14922,2.14922,2.14922,0,0
GBPNZD,D,19711104,000000,2.14907,2.14907,2.14907,2.14907,0,0
GBPNZD,D,19711105,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19711108,000000,2.14922,2.14922,2.14922,2.14922,0,0
GBPNZD,D,19711109,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19711110,000000,2.14926,2.14926,2.14926,2.14926,0,0
GBPNZD,D,19711111,000000,2.14964,2.14964,2.14964,2.14964,0,0
GBPNZD,D,19711112,000000,2.14927,2.14927,2.14927,2.14927,0,0
GBPNZD,D,19711115,000000,2.14922,2.14922,2.14922,2.14922,0,0
GBPNZD,D,19711116,000000,2.14889,2.14889,2.14889,2.14889,0,0
GBPNZD,D,19711117,000000,2.14927,2.14927,2.14927,2.14927,0,0
GBPNZD,D,19711118,000000,2.14945,2.14945,2.14945,2.14945,0,0
GBPNZD,D,19711119,000000,2.14927,2.14927,2.14927,2.14927,0,0
GBPNZD,D,19711122,000000,2.14927,2.14927,2.14927,2.14927,0,0
GBPNZD,D,19711123,000000,2.14908,2.14908,2.14908,2.14908,0,0
