<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOK_I,D,19710104,000000,100,100,100,100,0,0
NOK_I,D,19710105,000000,99.8673,99.8673,99.8673,99.8673,0,0
NOK_I,D,19710106,000000,99.9361,99.9361,99.9361,99.9361,0,0
NOK_I,D,19710107,000000,99.9056,99.9056,99.9056,99.9056,0,0
NOK_I,D,19710108,000000,99.8736,99.8736,99.8736,99.8736,0,0
NOK_I,D,19710111,000000,99.8501,99.8501,99.8501,99.8501,0,0
NOK_I,D,19710112,000000,99.827,99.827,99.827,99.827,0,0
NOK_I,D,19710113,000000,99.8212,99.8212,99.8212,99.8212,0,0
NOK_I,D,19710114,000000,99.7319,99.7319,99.7319,99.7319,0,0
NOK_I,D,19710115,000000,99.756,99.756,99.756,99.756,0,0
NOK_I,D,19710118,000000,99.7272,99.7272,99.7272,99.7272,0,0
NOK_I,D,19710119,000000,99.6743,99.6743,99.6743,99.6743,0,0
NOK_I,D,19710120,000000,99.6239,99.6239,99.6239,99.6239,0,0
NOK_I,D,19710121,000000,99.6177,99.6177,99.6177,99.6177,0,0
NOK_I,D,19710122,000000,99.5934,99.5934,99.5934,99.5934,0,0
NOK_I,D,19710125,000000,99.5764,99.5764,99.5764,99.5764,0,0
NOK_I,D,19710126,000000,99.5354,99.5354,99.5354,99.5354,0,0
NOK_I,D,19710127,000000,99.5557,99.5557,99.5557,99.5557,0,0
NOK_I,D,19710128,000000,99.5493,99.5493,99.5493,99.5493,0,0
NOK_I,D,19710129,000000,99.5382,99.5382,99.5382,99.5382,0,0
NOK_I,D,19710201,000000,99.5391,99.5391,99.5391,99.5391,0,0
NOK_I,D,19710202,000000,99.5306,99.5306,99.5306,99.5306,0,0
NOK_I,D,19710203,000000,99.5466,99.5466,99.5466,99.5466,0,0
NOK_I,D,19710204,000000,99.5569,99.5569,99.5569,99.5569,0,0
NOK_I,D,19710205,000000,99.6081,99.6081,99.6081,99.6081,0,0
NOK_I,D,19710208,000000,99.6033,99.6033,99.6033,99.6033,0,0
NOK_I,D,19710209,000000,99.6668,99.6668,99.6668,99.6668,0,0
NOK_I,D,19710210,000000,99.6518,99.6518,99.6518,99.6518,0,0
NOK_I,D,19710211,000000,99.6197,99.6197,99.6197,99.6197,0,0
NOK_I,D,19710216,000000,99.5809,99.5809,99.5809,99.5809,0,0
NOK_I,D,19710217,000000,99.6121,99.6121,99.6121,99.6121,0,0
NOK_I,D,19710218,000000,99.5534,99.5534,99.5534,99.5534,0,0
NOK_I,D,19710219,000000,99.5474,99.5474,99.5474,99.5474,0,0
NOK_I,D,19710222,000000,99.5007,99.5007,99.5007,99.5007,0,0
NOK_I,D,19710223,000000,99.4909,99.4909,99.4909,99.4909,0,0
NOK_I,D,19710224,000000,99.5315,99.5315,99.5315,99.5315,0,0
NOK_I,D,19710225,000000,99.6036,99.6036,99.6036,99.6036,0,0
NOK_I,D,19710226,000000,99.6468,99.6468,99.6468,99.6468,0,0
NOK_I,D,19710301,000000,99.6033,99.6033,99.6033,99.6033,0,0
NOK_I,D,19710302,000000,99.6003,99.6003,99.6003,99.6003,0,0
NOK_I,D,19710303,000000,99.5901,99.5901,99.5901,99.5901,0,0
NOK_I,D,19710304,000000,99.643,99.643,99.643,99.643,0,0
NOK_I,D,19710305,000000,99.6447,99.6447,99.6447,99.6447,0,0
NOK_I,D,19710308,000000,99.6341,99.6341,99.6341,99.6341,0,0
NOK_I,D,19710309,000000,99.6394,99.6394,99.6394,99.6394,0,0
NOK_I,D,19710310,000000,99.6425,99.6425,99.6425,99.6425,0,0
NOK_I,D,19710311,000000,99.6354,99.6354,99.6354,99.6354,0,0
NOK_I,D,19710312,000000,99.6223,99.6223,99.6223,99.6223,0,0
NOK_I,D,19710315,000000,99.6021,99.6021,99.6021,99.6021,0,0
NOK_I,D,19710316,000000,99.6439,99.6439,99.6439,99.6439,0,0
NOK_I,D,19710317,000000,99.5632,99.5632,99.5632,99.5632,0,0
NOK_I,D,19710318,000000,99.5844,99.5844,99.5844,99.5844,0,0
NOK_I,D,19710319,000000,99.5586,99.5586,99.5586,99.5586,0,0
NOK_I,D,19710322,000000,99.5258,99.5258,99.5258,99.5258,0,0
NOK_I,D,19710323,000000,99.5202,99.5202,99.5202,99.5202,0,0
NOK_I,D,19710324,000000,99.546,99.546,99.546,99.546,0,0
NOK_I,D,19710325,000000,99.5982,99.5982,99.5982,99.5982,0,0
NOK_I,D,19710326,000000,99.6204,99.6204,99.6204,99.6204,0,0
NOK_I,D,19710329,000000,99.6478,99.6478,99.6478,99.6478,0,0
NOK_I,D,19710330,000000,99.6572,99.6572,99.6572,99.6572,0,0
NOK_I,D,19710331,000000,99.6733,99.6733,99.6733,99.6733,0,0
NOK_I,D,19710401,000000,99.706,99.706,99.706,99.706,0,0
NOK_I,D,19710402,000000,99.7088,99.7088,99.7088,99.7088,0,0
