<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKCHF,D,19710104,000000,0.605109,0.605109,0.605109,0.605109,0,0
NOKCHF,D,19710105,000000,0.603693,0.603693,0.603693,0.603693,0,0
NOKCHF,D,19710106,000000,0.604116,0.604116,0.604116,0.604116,0,0
NOKCHF,D,19710107,000000,0.603801,0.603801,0.603801,0.603801,0,0
NOKCHF,D,19710108,000000,0.603933,0.603933,0.603933,0.603933,0,0
NOKCHF,D,19710111,000000,0.603782,0.603782,0.603782,0.603782,0,0
NOKCHF,D,19710112,000000,0.60352,0.60352,0.60352,0.60352,0,0
NOKCHF,D,19710113,000000,0.603683,0.603683,0.603683,0.603683,0,0
NOKCHF,D,19710114,000000,0.603532,0.603532,0.603532,0.603532,0,0
NOKCHF,D,19710115,000000,0.603173,0.603173,0.603173,0.603173,0,0
NOKCHF,D,19710118,000000,0.602582,0.602582,0.602582,0.602582,0,0
NOKCHF,D,19710119,000000,0.602094,0.602094,0.602094,0.602094,0,0
NOKCHF,D,19710120,000000,0.60215,0.60215,0.60215,0.60215,0,0
NOKCHF,D,19710121,000000,0.60213,0.60213,0.60213,0.60213,0,0
NOKCHF,D,19710122,000000,0.601968,0.601968,0.601968,0.601968,0,0
NOKCHF,D,19710125,000000,0.602029,0.602029,0.602029,0.602029,0,0
NOKCHF,D,19710126,000000,0.60171,0.60171,0.60171,0.60171,0,0
NOKCHF,D,19710127,000000,0.601744,0.601744,0.601744,0.601744,0,0
NOKCHF,D,19710128,000000,0.601657,0.601657,0.601657,0.601657,0,0
NOKCHF,D,19710129,000000,0.601315,0.601315,0.601315,0.601315,0,0
NOKCHF,D,19710201,000000,0.601217,0.601217,0.601217,0.601217,0,0
NOKCHF,D,19710202,000000,0.601245,0.601245,0.601245,0.601245,0,0
NOKCHF,D,19710203,000000,0.601408,0.601408,0.601408,0.601408,0,0
NOKCHF,D,19710204,000000,0.601475,0.601475,0.601475,0.601475,0,0
NOKCHF,D,19710205,000000,0.601483,0.601483,0.601483,0.601483,0,0
NOKCHF,D,19710208,000000,0.601674,0.601674,0.601674,0.601674,0,0
NOKCHF,D,19710209,000000,0.601803,0.601803,0.601803,0.601803,0,0
NOKCHF,D,19710210,000000,0.601733,0.601733,0.601733,0.601733,0,0
NOKCHF,D,19710211,000000,0.60168,0.60168,0.60168,0.60168,0,0
NOKCHF,D,19710216,000000,0.601728,0.601728,0.601728,0.601728,0,0
NOKCHF,D,19710217,000000,0.601863,0.601863,0.601863,0.601863,0,0
NOKCHF,D,19710218,000000,0.601599,0.601599,0.601599,0.601599,0,0
NOKCHF,D,19710219,000000,0.601439,0.601439,0.601439,0.601439,0,0
NOKCHF,D,19710222,000000,0.60138,0.60138,0.60138,0.60138,0,0
NOKCHF,D,19710223,000000,0.601394,0.601394,0.601394,0.601394,0,0
NOKCHF,D,19710224,000000,0.602271,0.602271,0.602271,0.602271,0,0
NOKCHF,D,19710225,000000,0.603173,0.603173,0.603173,0.603173,0,0
NOKCHF,D,19710226,000000,0.603094,0.603094,0.603094,0.603094,0,0
NOKCHF,D,19710301,000000,0.6031,0.6031,0.6031,0.6031,0,0
NOKCHF,D,19710302,000000,0.602845,0.602845,0.602845,0.602845,0,0
NOKCHF,D,19710303,000000,0.602961,0.602961,0.602961,0.602961,0,0
NOKCHF,D,19710304,000000,0.603314,0.603314,0.603314,0.603314,0,0
NOKCHF,D,19710305,000000,0.603331,0.603331,0.603331,0.603331,0,0
NOKCHF,D,19710308,000000,0.602816,0.602816,0.602816,0.602816,0,0
NOKCHF,D,19710309,000000,0.602814,0.602814,0.602814,0.602814,0,0
NOKCHF,D,19710310,000000,0.60322,0.60322,0.60322,0.60322,0,0
NOKCHF,D,19710311,000000,0.602701,0.602701,0.602701,0.602701,0,0
NOKCHF,D,19710312,000000,0.602707,0.602707,0.602707,0.602707,0,0
NOKCHF,D,19710315,000000,0.602493,0.602493,0.602493,0.602493,0,0
NOKCHF,D,19710316,000000,0.602465,0.602465,0.602465,0.602465,0,0
NOKCHF,D,19710317,000000,0.602283,0.602283,0.602283,0.602283,0,0
NOKCHF,D,19710318,000000,0.602101,0.602101,0.602101,0.602101,0,0
NOKCHF,D,19710319,000000,0.601944,0.601944,0.601944,0.601944,0,0
NOKCHF,D,19710322,000000,0.601705,0.601705,0.601705,0.601705,0,0
NOKCHF,D,19710323,000000,0.601702,0.601702,0.601702,0.601702,0,0
NOKCHF,D,19710324,000000,0.601848,0.601848,0.601848,0.601848,0,0
NOKCHF,D,19710325,000000,0.601935,0.601935,0.601935,0.601935,0,0
NOKCHF,D,19710326,000000,0.601933,0.601933,0.601933,0.601933,0,0
NOKCHF,D,19710329,000000,0.602175,0.602175,0.602175,0.602175,0,0
NOKCHF,D,19710330,000000,0.602254,0.602254,0.602254,0.602254,0,0
NOKCHF,D,19710331,000000,0.602308,0.602308,0.602308,0.602308,0,0
NOKCHF,D,19710401,000000,0.602215,0.602215,0.602215,0.602215,0,0
NOKCHF,D,19710402,000000,0.602069,0.602069,0.602069,0.602069,0,0
NOKCHF,D,19710405,000000,0.602405,0.602405,0.602405,0.602405,0,0
NOKCHF,D,19710406,000000,0.602811,0.602811,0.602811,0.602811,0,0
NOKCHF,D,19710407,000000,0.602645,0.602645,0.602645,0.602645,0,0
NOKCHF,D,19710408,000000,0.602309,0.602309,0.602309,0.602309,0,0
NOKCHF,D,19710409,000000,0.602612,0.602612,0.602612,0.602612,0,0
NOKCHF,D,19710412,000000,0.602785,0.602785,0.602785,0.602785,0,0
NOKCHF,D,19710413,000000,0.603304,0.603304,0.603304,0.603304,0,0
NOKCHF,D,19710414,000000,0.603512,0.603512,0.603512,0.603512,0,0
NOKCHF,D,19710415,000000,0.603148,0.603148,0.603148,0.603148,0,0
NOKCHF,D,19710416,000000,0.603608,0.603608,0.603608,0.603608,0,0
NOKCHF,D,19710419,000000,0.604134,0.604134,0.604134,0.604134,0,0
NOKCHF,D,19710420,000000,0.604002,0.604002,0.604002,0.604002,0,0
