<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKEUR,D,19710104,000000,0.261802,0.261802,0.261802,0.261802,0,0
NOKEUR,D,19710105,000000,0.261684,0.261684,0.261684,0.261684,0,0
NOKEUR,D,19710106,000000,0.261815,0.261815,0.261815,0.261815,0,0
NOKEUR,D,19710107,000000,0.261703,0.261703,0.261703,0.261703,0,0
NOKEUR,D,19710108,000000,0.261662,0.261662,0.261662,0.261662,0,0
NOKEUR,D,19710111,000000,0.261563,0.261563,0.261563,0.261563,0,0
NOKEUR,D,19710112,000000,0.261472,0.261472,0.261472,0.261472,0,0
NOKEUR,D,19710113,000000,0.261465,0.261465,0.261465,0.261465,0,0
NOKEUR,D,19710114,000000,0.261319,0.261319,0.261319,0.261319,0,0
NOKEUR,D,19710115,000000,0.261223,0.261223,0.261223,0.261223,0,0
NOKEUR,D,19710118,000000,0.261126,0.261126,0.261126,0.261126,0,0
NOKEUR,D,19710119,000000,0.26107,0.26107,0.26107,0.26107,0,0
NOKEUR,D,19710120,000000,0.26079,0.26079,0.26079,0.26079,0,0
NOKEUR,D,19710121,000000,0.260641,0.260641,0.260641,0.260641,0,0
NOKEUR,D,19710122,000000,0.260664,0.260664,0.260664,0.260664,0,0
NOKEUR,D,19710125,000000,0.260572,0.260572,0.260572,0.260572,0,0
NOKEUR,D,19710126,000000,0.260557,0.260557,0.260557,0.260557,0,0
NOKEUR,D,19710127,000000,0.260649,0.260649,0.260649,0.260649,0,0
NOKEUR,D,19710128,000000,0.260629,0.260629,0.260629,0.260629,0,0
NOKEUR,D,19710129,000000,0.260606,0.260606,0.260606,0.260606,0,0
NOKEUR,D,19710201,000000,0.260603,0.260603,0.260603,0.260603,0,0
NOKEUR,D,19710202,000000,0.260631,0.260631,0.260631,0.260631,0,0
NOKEUR,D,19710203,000000,0.260599,0.260599,0.260599,0.260599,0,0
NOKEUR,D,19710204,000000,0.260615,0.260615,0.260615,0.260615,0,0
NOKEUR,D,19710205,000000,0.260628,0.260628,0.260628,0.260628,0,0
NOKEUR,D,19710208,000000,0.260664,0.260664,0.260664,0.260664,0,0
NOKEUR,D,19710209,000000,0.260711,0.260711,0.260711,0.260711,0,0
NOKEUR,D,19710210,000000,0.260754,0.260754,0.260754,0.260754,0,0
NOKEUR,D,19710211,000000,0.260845,0.260845,0.260845,0.260845,0,0
NOKEUR,D,19710216,000000,0.260706,0.260706,0.260706,0.260706,0,0
NOKEUR,D,19710217,000000,0.260736,0.260736,0.260736,0.260736,0,0
NOKEUR,D,19710218,000000,0.260676,0.260676,0.260676,0.260676,0,0
NOKEUR,D,19710219,000000,0.260607,0.260607,0.260607,0.260607,0,0
NOKEUR,D,19710222,000000,0.26059,0.26059,0.26059,0.26059,0,0
NOKEUR,D,19710223,000000,0.260608,0.260608,0.260608,0.260608,0,0
NOKEUR,D,19710224,000000,0.260634,0.260634,0.260634,0.260634,0,0
NOKEUR,D,19710225,000000,0.260719,0.260719,0.260719,0.260719,0,0
NOKEUR,D,19710226,000000,0.261089,0.261089,0.261089,0.261089,0,0
NOKEUR,D,19710301,000000,0.260851,0.260851,0.260851,0.260851,0,0
NOKEUR,D,19710302,000000,0.260764,0.260764,0.260764,0.260764,0,0
NOKEUR,D,19710303,000000,0.260759,0.260759,0.260759,0.260759,0,0
NOKEUR,D,19710304,000000,0.260894,0.260894,0.260894,0.260894,0,0
