<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKGBP,D,19710104,000000,0.058535,0.058535,0.058535,0.058535,0,0
NOKGBP,D,19710105,000000,0.0584553,0.0584553,0.0584553,0.0584553,0,0
NOKGBP,D,19710106,000000,0.0584724,0.0584724,0.0584724,0.0584724,0,0
NOKGBP,D,19710107,000000,0.0584568,0.0584568,0.0584568,0.0584568,0,0
NOKGBP,D,19710108,000000,0.058432,0.058432,0.058432,0.058432,0,0
NOKGBP,D,19710111,000000,0.0583835,0.0583835,0.0583835,0.0583835,0,0
NOKGBP,D,19710112,000000,0.0583383,0.0583383,0.0583383,0.0583383,0,0
NOKGBP,D,19710113,000000,0.0583134,0.0583134,0.0583134,0.0583134,0,0
NOKGBP,D,19710114,000000,0.0581768,0.0581768,0.0581768,0.0581768,0,0
NOKGBP,D,19710115,000000,0.0581958,0.0581958,0.0581958,0.0581958,0,0
NOKGBP,D,19710118,000000,0.0582304,0.0582304,0.0582304,0.0582304,0,0
NOKGBP,D,19710119,000000,0.0581416,0.0581416,0.0581416,0.0581416,0,0
NOKGBP,D,19710120,000000,0.0581416,0.0581416,0.0581416,0.0581416,0,0
NOKGBP,D,19710121,000000,0.0581022,0.0581022,0.0581022,0.0581022,0,0
NOKGBP,D,19710122,000000,0.0580856,0.0580856,0.0580856,0.0580856,0,0
NOKGBP,D,19710125,000000,0.0579827,0.0579827,0.0579827,0.0579827,0,0
NOKGBP,D,19710126,000000,0.0579342,0.0579342,0.0579342,0.0579342,0,0
NOKGBP,D,19710127,000000,0.0579578,0.0579578,0.0579578,0.0579578,0,0
NOKGBP,D,19710128,000000,0.05793,0.05793,0.05793,0.05793,0,0
NOKGBP,D,19710129,000000,0.0579046,0.0579046,0.0579046,0.0579046,0,0
NOKGBP,D,19710201,000000,0.0578604,0.0578604,0.0578604,0.0578604,0,0
NOKGBP,D,19710202,000000,0.0578744,0.0578744,0.0578744,0.0578744,0,0
NOKGBP,D,19710203,000000,0.0578815,0.0578815,0.0578815,0.0578815,0,0
NOKGBP,D,19710204,000000,0.05793,0.05793,0.05793,0.05793,0,0
NOKGBP,D,19710205,000000,0.0579687,0.0579687,0.0579687,0.0579687,0,0
NOKGBP,D,19710208,000000,0.0578896,0.0578896,0.0578896,0.0578896,0,0
NOKGBP,D,19710209,000000,0.0579996,0.0579996,0.0579996,0.0579996,0,0
NOKGBP,D,19710210,000000,0.0579594,0.0579594,0.0579594,0.0579594,0,0
NOKGBP,D,19710211,000000,0.057961,0.057961,0.057961,0.057961,0,0
NOKGBP,D,19710216,000000,0.0578802,0.0578802,0.0578802,0.0578802,0,0
NOKGBP,D,19710217,000000,0.0579072,0.0579072,0.0579072,0.0579072,0,0
NOKGBP,D,19710218,000000,0.0578845,0.0578845,0.0578845,0.0578845,0,0
NOKGBP,D,19710219,000000,0.0578691,0.0578691,0.0578691,0.0578691,0,0
NOKGBP,D,19710222,000000,0.0578716,0.0578716,0.0578716,0.0578716,0,0
NOKGBP,D,19710223,000000,0.0578756,0.0578756,0.0578756,0.0578756,0,0
NOKGBP,D,19710224,000000,0.0578845,0.0578845,0.0578845,0.0578845,0,0
NOKGBP,D,19710225,000000,0.0579158,0.0579158,0.0579158,0.0579158,0,0
NOKGBP,D,19710226,000000,0.0579529,0.0579529,0.0579529,0.0579529,0,0
NOKGBP,D,19710301,000000,0.0579562,0.0579562,0.0579562,0.0579562,0,0
NOKGBP,D,19710302,000000,0.0579026,0.0579026,0.0579026,0.0579026,0,0
NOKGBP,D,19710303,000000,0.0579046,0.0579046,0.0579046,0.0579046,0,0
NOKGBP,D,19710304,000000,0.0579501,0.0579501,0.0579501,0.0579501,0,0
NOKGBP,D,19710305,000000,0.0579277,0.0579277,0.0579277,0.0579277,0,0
NOKGBP,D,19710308,000000,0.0579135,0.0579135,0.0579135,0.0579135,0,0
NOKGBP,D,19710309,000000,0.0579521,0.0579521,0.0579521,0.0579521,0,0
NOKGBP,D,19710310,000000,0.0579381,0.0579381,0.0579381,0.0579381,0,0
NOKGBP,D,19710311,000000,0.0579259,0.0579259,0.0579259,0.0579259,0,0
NOKGBP,D,19710312,000000,0.0579151,0.0579151,0.0579151,0.0579151,0,0
NOKGBP,D,19710315,000000,0.0579013,0.0579013,0.0579013,0.0579013,0,0
NOKGBP,D,19710316,000000,0.0579434,0.0579434,0.0579434,0.0579434,0,0
NOKGBP,D,19710317,000000,0.0578932,0.0578932,0.0578932,0.0578932,0,0
NOKGBP,D,19710318,000000,0.0579072,0.0579072,0.0579072,0.0579072,0,0
NOKGBP,D,19710319,000000,0.0578956,0.0578956,0.0578956,0.0578956,0,0
NOKGBP,D,19710322,000000,0.0578754,0.0578754,0.0578754,0.0578754,0,0
NOKGBP,D,19710323,000000,0.0578738,0.0578738,0.0578738,0.0578738,0,0
NOKGBP,D,19710324,000000,0.0578932,0.0578932,0.0578932,0.0578932,0,0
NOKGBP,D,19710325,000000,0.0579229,0.0579229,0.0579229,0.0579229,0,0
NOKGBP,D,19710326,000000,0.0579275,0.0579275,0.0579275,0.0579275,0,0
NOKGBP,D,19710329,000000,0.0579273,0.0579273,0.0579273,0.0579273,0,0
NOKGBP,D,19710330,000000,0.0579864,0.0579864,0.0579864,0.0579864,0,0
NOKGBP,D,19710331,000000,0.058011,0.058011,0.058011,0.058011,0,0
NOKGBP,D,19710401,000000,0.0580581,0.0580581,0.0580581,0.0580581,0,0
NOKGBP,D,19710402,000000,0.058111,0.058111,0.058111,0.058111,0,0
NOKGBP,D,19710405,000000,0.0580268,0.0580268,0.0580268,0.0580268,0,0
NOKGBP,D,19710406,000000,0.0580017,0.0580017,0.0580017,0.0580017,0,0
NOKGBP,D,19710407,000000,0.0580454,0.0580454,0.0580454,0.0580454,0,0
NOKGBP,D,19710408,000000,0.0580494,0.0580494,0.0580494,0.0580494,0,0
NOKGBP,D,19710409,000000,0.0580543,0.0580543,0.0580543,0.0580543,0,0
NOKGBP,D,19710412,000000,0.0580454,0.0580454,0.0580454,0.0580454,0,0
NOKGBP,D,19710413,000000,0.0580332,0.0580332,0.0580332,0.0580332,0,0
NOKGBP,D,19710414,000000,0.0580057,0.0580057,0.0580057,0.0580057,0,0
NOKGBP,D,19710415,000000,0.0580139,0.0580139,0.0580139,0.0580139,0,0
NOKGBP,D,19710416,000000,0.0580163,0.0580163,0.0580163,0.0580163,0,0
NOKGBP,D,19710419,000000,0.0579996,0.0579996,0.0579996,0.0579996,0,0
NOKGBP,D,19710420,000000,0.0580186,0.0580186,0.0580186,0.0580186,0,0
NOKGBP,D,19710421,000000,0.0580184,0.0580184,0.0580184,0.0580184,0,0
NOKGBP,D,19710422,000000,0.0580063,0.0580063,0.0580063,0.0580063,0,0
NOKGBP,D,19710423,000000,0.0579893,0.0579893,0.0579893,0.0579893,0,0
NOKGBP,D,19710426,000000,0.0580033,0.0580033,0.0580033,0.0580033,0,0
NOKGBP,D,19710427,000000,0.0579795,0.0579795,0.0579795,0.0579795,0,0
NOKGBP,D,19710428,000000,0.0579964,0.0579964,0.0579964,0.0579964,0,0
NOKGBP,D,19710429,000000,0.0579736,0.0579736,0.0579736,0.0579736,0,0
NOKGBP,D,19710430,000000,0.0579565,0.0579565,0.0579565,0.0579565,0,0
NOKGBP,D,19710503,000000,0.057973,0.057973,0.057973,0.057973,0,0
NOKGBP,D,19710504,000000,0.0579878,0.0579878,0.0579878,0.0579878,0,0
NOKGBP,D,19710505,000000,0.0579834,0.0579834,0.0579834,0.0579834,0,0
NOKGBP,D,19710506,000000,0.0580291,0.0580291,0.0580291,0.0580291,0,0
NOKGBP,D,19710507,000000,0.0580375,0.0580375,0.0580375,0.0580375,0,0
