<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKJPY,D,19710104,000000,50.131,50.131,50.131,50.131,0,0
NOKJPY,D,19710105,000000,50.098,50.098,50.098,50.098,0,0
NOKJPY,D,19710106,000000,50.145,50.145,50.145,50.145,0,0
NOKJPY,D,19710107,000000,50.1316,50.1316,50.1316,50.1316,0,0
NOKJPY,D,19710108,000000,50.1288,50.1288,50.1288,50.1288,0,0
NOKJPY,D,19710111,000000,50.1428,50.1428,50.1428,50.1428,0,0
NOKJPY,D,19710112,000000,50.1379,50.1379,50.1379,50.1379,0,0
NOKJPY,D,19710113,000000,50.2115,50.2115,50.2115,50.2115,0,0
NOKJPY,D,19710114,000000,50.1925,50.1925,50.1925,50.1925,0,0
NOKJPY,D,19710115,000000,50.1862,50.1862,50.1862,50.1862,0,0
NOKJPY,D,19710118,000000,50.1736,50.1736,50.1736,50.1736,0,0
NOKJPY,D,19710119,000000,50.17,50.17,50.17,50.17,0,0
NOKJPY,D,19710120,000000,50.1784,50.1784,50.1784,50.1784,0,0
NOKJPY,D,19710121,000000,50.149,50.149,50.149,50.149,0,0
NOKJPY,D,19710122,000000,50.107,50.107,50.107,50.107,0,0
NOKJPY,D,19710125,000000,50.079,50.079,50.079,50.079,0,0
NOKJPY,D,19710126,000000,50.079,50.079,50.079,50.079,0,0
NOKJPY,D,19710127,000000,50.1008,50.1008,50.1008,50.1008,0,0
NOKJPY,D,19710128,000000,50.093,50.093,50.093,50.093,0,0
NOKJPY,D,19710129,000000,50.0678,50.0678,50.0678,50.0678,0,0
NOKJPY,D,19710201,000000,50.0454,50.0454,50.0454,50.0454,0,0
NOKJPY,D,19710202,000000,50.03,50.03,50.03,50.03,0,0
NOKJPY,D,19710203,000000,50.0468,50.0468,50.0468,50.0468,0,0
NOKJPY,D,19710204,000000,50.0468,50.0468,50.0468,50.0468,0,0
NOKJPY,D,19710205,000000,50.0468,50.0468,50.0468,50.0468,0,0
NOKJPY,D,19710208,000000,50.0468,50.0468,50.0468,50.0468,0,0
NOKJPY,D,19710209,000000,50.0707,50.0707,50.0707,50.0707,0,0
NOKJPY,D,19710210,000000,50.0602,50.0602,50.0602,50.0602,0,0
NOKJPY,D,19710211,000000,50.0616,50.0616,50.0616,50.0616,0,0
NOKJPY,D,19710216,000000,50.0686,50.0686,50.0686,50.0686,0,0
NOKJPY,D,19710217,000000,50.0798,50.0798,50.0798,50.0798,0,0
NOKJPY,D,19710218,000000,50.0588,50.0588,50.0588,50.0588,0,0
NOKJPY,D,19710219,000000,50.0552,50.0552,50.0552,50.0552,0,0
NOKJPY,D,19710222,000000,50.0615,50.0615,50.0615,50.0615,0,0
NOKJPY,D,19710223,000000,50.0566,50.0566,50.0566,50.0566,0,0
NOKJPY,D,19710224,000000,50.07,50.07,50.07,50.07,0,0
NOKJPY,D,19710225,000000,50.0714,50.0714,50.0714,50.0714,0,0
NOKJPY,D,19710226,000000,50.0658,50.0658,50.0658,50.0658,0,0
NOKJPY,D,19710301,000000,50.0742,50.0742,50.0742,50.0742,0,0
NOKJPY,D,19710302,000000,50.0665,50.0665,50.0665,50.0665,0,0
NOKJPY,D,19710303,000000,50.0826,50.0826,50.0826,50.0826,0,0
NOKJPY,D,19710304,000000,50.0735,50.0735,50.0735,50.0735,0,0
NOKJPY,D,19710305,000000,50.0966,50.0966,50.0966,50.0966,0,0
NOKJPY,D,19710308,000000,50.1015,50.1015,50.1015,50.1015,0,0
NOKJPY,D,19710309,000000,50.0995,50.0995,50.0995,50.0995,0,0
NOKJPY,D,19710310,000000,50.1177,50.1177,50.1177,50.1177,0,0
NOKJPY,D,19710311,000000,50.1029,50.1029,50.1029,50.1029,0,0
NOKJPY,D,19710312,000000,50.1085,50.1085,50.1085,50.1085,0,0
NOKJPY,D,19710315,000000,50.091,50.091,50.091,50.091,0,0
NOKJPY,D,19710316,000000,50.084,50.084,50.084,50.084,0,0
NOKJPY,D,19710317,000000,50.0826,50.0826,50.0826,50.0826,0,0
NOKJPY,D,19710318,000000,50.0868,50.0868,50.0868,50.0868,0,0
NOKJPY,D,19710319,000000,50.0861,50.0861,50.0861,50.0861,0,0
NOKJPY,D,19710322,000000,50.0518,50.0518,50.0518,50.0518,0,0
NOKJPY,D,19710323,000000,50.0616,50.0616,50.0616,50.0616,0,0
NOKJPY,D,19710324,000000,50.0784,50.0784,50.0784,50.0784,0,0
NOKJPY,D,19710325,000000,50.077,50.077,50.077,50.077,0,0
NOKJPY,D,19710326,000000,50.0875,50.0875,50.0875,50.0875,0,0
NOKJPY,D,19710329,000000,50.0953,50.0953,50.0953,50.0953,0,0
NOKJPY,D,19710330,000000,50.1184,50.1184,50.1184,50.1184,0,0
NOKJPY,D,19710331,000000,50.1177,50.1177,50.1177,50.1177,0,0
NOKJPY,D,19710401,000000,50.1184,50.1184,50.1184,50.1184,0,0
NOKJPY,D,19710402,000000,50.1212,50.1212,50.1212,50.1212,0,0
NOKJPY,D,19710405,000000,50.117,50.117,50.117,50.117,0,0
NOKJPY,D,19710406,000000,50.1437,50.1437,50.1437,50.1437,0,0
NOKJPY,D,19710407,000000,50.1578,50.1578,50.1578,50.1578,0,0
NOKJPY,D,19710408,000000,50.1557,50.1557,50.1557,50.1557,0,0
NOKJPY,D,19710409,000000,50.1585,50.1585,50.1585,50.1585,0,0
NOKJPY,D,19710412,000000,50.1507,50.1507,50.1507,50.1507,0,0
NOKJPY,D,19710413,000000,50.1514,50.1514,50.1514,50.1514,0,0
NOKJPY,D,19710414,000000,50.1599,50.1599,50.1599,50.1599,0,0
NOKJPY,D,19710415,000000,50.1557,50.1557,50.1557,50.1557,0,0
