<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKSEK,D,19710104,000000,0.723917,0.723917,0.723917,0.723917,0,0
NOKSEK,D,19710105,000000,0.72276,0.72276,0.72276,0.72276,0,0
NOKSEK,D,19710106,000000,0.723611,0.723611,0.723611,0.723611,0,0
NOKSEK,D,19710107,000000,0.723587,0.723587,0.723587,0.723587,0,0
NOKSEK,D,19710108,000000,0.722647,0.722647,0.722647,0.722647,0,0
NOKSEK,D,19710111,000000,0.72293,0.72293,0.72293,0.72293,0,0
NOKSEK,D,19710112,000000,0.723431,0.723431,0.723431,0.723431,0,0
NOKSEK,D,19710113,000000,0.72314,0.72314,0.72314,0.72314,0,0
NOKSEK,D,19710114,000000,0.722322,0.722322,0.722322,0.722322,0,0
NOKSEK,D,19710115,000000,0.723765,0.723765,0.723765,0.723765,0,0
NOKSEK,D,19710118,000000,0.723188,0.723188,0.723188,0.723188,0,0
NOKSEK,D,19710119,000000,0.723347,0.723347,0.723347,0.723347,0,0
NOKSEK,D,19710120,000000,0.722227,0.722227,0.722227,0.722227,0,0
NOKSEK,D,19710121,000000,0.723065,0.723065,0.723065,0.723065,0,0
NOKSEK,D,19710122,000000,0.722381,0.722381,0.722381,0.722381,0,0
NOKSEK,D,19710125,000000,0.723286,0.723286,0.723286,0.723286,0,0
NOKSEK,D,19710126,000000,0.722911,0.722911,0.722911,0.722911,0,0
NOKSEK,D,19710127,000000,0.722771,0.722771,0.722771,0.722771,0,0
NOKSEK,D,19710128,000000,0.723215,0.723215,0.723215,0.723215,0,0
NOKSEK,D,19710129,000000,0.723745,0.723745,0.723745,0.723745,0,0
NOKSEK,D,19710201,000000,0.724662,0.724662,0.724662,0.724662,0,0
NOKSEK,D,19710202,000000,0.72406,0.72406,0.72406,0.72406,0,0
NOKSEK,D,19710203,000000,0.724184,0.724184,0.724184,0.724184,0,0
NOKSEK,D,19710204,000000,0.723747,0.723747,0.723747,0.723747,0,0
NOKSEK,D,19710205,000000,0.72512,0.72512,0.72512,0.72512,0,0
NOKSEK,D,19710208,000000,0.725545,0.725545,0.725545,0.725545,0,0
NOKSEK,D,19710209,000000,0.72587,0.72587,0.72587,0.72587,0,0
NOKSEK,D,19710210,000000,0.725942,0.725942,0.725942,0.725942,0,0
NOKSEK,D,19710211,000000,0.724548,0.724548,0.724548,0.724548,0,0
NOKSEK,D,19710216,000000,0.724434,0.724434,0.724434,0.724434,0,0
NOKSEK,D,19710217,000000,0.724821,0.724821,0.724821,0.724821,0,0
NOKSEK,D,19710218,000000,0.723739,0.723739,0.723739,0.723739,0,0
NOKSEK,D,19710219,000000,0.724288,0.724288,0.724288,0.724288,0,0
NOKSEK,D,19710222,000000,0.722653,0.722653,0.722653,0.722653,0,0
NOKSEK,D,19710223,000000,0.722129,0.722129,0.722129,0.722129,0,0
NOKSEK,D,19710224,000000,0.722254,0.722254,0.722254,0.722254,0,0
NOKSEK,D,19710225,000000,0.723121,0.723121,0.723121,0.723121,0,0
NOKSEK,D,19710226,000000,0.723354,0.723354,0.723354,0.723354,0,0
NOKSEK,D,19710301,000000,0.722345,0.722345,0.722345,0.722345,0,0
NOKSEK,D,19710302,000000,0.723425,0.723425,0.723425,0.723425,0,0
NOKSEK,D,19710303,000000,0.722525,0.722525,0.722525,0.722525,0,0
NOKSEK,D,19710304,000000,0.72322,0.72322,0.72322,0.72322,0,0
NOKSEK,D,19710305,000000,0.723473,0.723473,0.723473,0.723473,0,0
NOKSEK,D,19710308,000000,0.723814,0.723814,0.723814,0.723814,0,0
NOKSEK,D,19710309,000000,0.723259,0.723259,0.723259,0.723259,0,0
NOKSEK,D,19710310,000000,0.722979,0.722979,0.722979,0.722979,0,0
NOKSEK,D,19710311,000000,0.723765,0.723765,0.723765,0.723765,0,0
NOKSEK,D,19710312,000000,0.722909,0.722909,0.722909,0.722909,0,0
NOKSEK,D,19710315,000000,0.722947,0.722947,0.722947,0.722947,0,0
NOKSEK,D,19710316,000000,0.723858,0.723858,0.723858,0.723858,0,0
NOKSEK,D,19710317,000000,0.722636,0.722636,0.722636,0.722636,0,0
NOKSEK,D,19710318,000000,0.723294,0.723294,0.723294,0.723294,0,0
NOKSEK,D,19710319,000000,0.722708,0.722708,0.722708,0.722708,0,0
NOKSEK,D,19710322,000000,0.722595,0.722595,0.722595,0.722595,0,0
NOKSEK,D,19710323,000000,0.722505,0.722505,0.722505,0.722505,0,0
NOKSEK,D,19710324,000000,0.722608,0.722608,0.722608,0.722608,0,0
NOKSEK,D,19710325,000000,0.723679,0.723679,0.723679,0.723679,0,0
NOKSEK,D,19710326,000000,0.724122,0.724122,0.724122,0.724122,0,0
NOKSEK,D,19710329,000000,0.724365,0.724365,0.724365,0.724365,0,0
NOKSEK,D,19710330,000000,0.723681,0.723681,0.723681,0.723681,0,0
NOKSEK,D,19710331,000000,0.723742,0.723742,0.723742,0.723742,0,0
NOKSEK,D,19710401,000000,0.724682,0.724682,0.724682,0.724682,0,0
