<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZD_I,D,19710104,000000,100,100,100,100,0,0
NZD_I,D,19710105,000000,100.037,100.037,100.037,100.037,0,0
NZD_I,D,19710106,000000,100.083,100.083,100.083,100.083,0,0
NZD_I,D,19710107,000000,100.074,100.074,100.074,100.074,0,0
NZD_I,D,19710108,000000,100.117,100.117,100.117,100.117,0,0
NZD_I,D,19710111,000000,100.136,100.136,100.136,100.136,0,0
NZD_I,D,19710112,000000,100.157,100.157,100.157,100.157,0,0
NZD_I,D,19710113,000000,100.235,100.235,100.235,100.235,0,0
NZD_I,D,19710114,000000,100.346,100.346,100.346,100.346,0,0
NZD_I,D,19710115,000000,100.303,100.303,100.303,100.303,0,0
NZD_I,D,19710118,000000,100.281,100.281,100.281,100.281,0,0
NZD_I,D,19710119,000000,100.364,100.364,100.364,100.364,0,0
NZD_I,D,19710120,000000,100.338,100.338,100.338,100.338,0,0
NZD_I,D,19710121,000000,100.356,100.356,100.356,100.356,0,0
NZD_I,D,19710122,000000,100.356,100.356,100.356,100.356,0,0
NZD_I,D,19710125,000000,100.463,100.463,100.463,100.463,0,0
NZD_I,D,19710126,000000,100.483,100.483,100.483,100.483,0,0
NZD_I,D,19710127,000000,100.493,100.493,100.493,100.493,0,0
NZD_I,D,19710128,000000,100.52,100.52,100.52,100.52,0,0
NZD_I,D,19710129,000000,100.52,100.52,100.52,100.52,0,0
NZD_I,D,19710201,000000,100.554,100.554,100.554,100.554,0,0
NZD_I,D,19710202,000000,100.537,100.537,100.537,100.537,0,0
NZD_I,D,19710203,000000,100.539,100.539,100.539,100.539,0,0
NZD_I,D,19710204,000000,100.494,100.494,100.494,100.494,0,0
NZD_I,D,19710205,000000,100.438,100.438,100.438,100.438,0,0
NZD_I,D,19710208,000000,100.534,100.534,100.534,100.534,0,0
NZD_I,D,19710209,000000,100.45,100.45,100.45,100.45,0,0
NZD_I,D,19710210,000000,100.478,100.478,100.478,100.478,0,0
NZD_I,D,19710211,000000,100.472,100.472,100.472,100.472,0,0
NZD_I,D,19710216,000000,100.557,100.557,100.557,100.557,0,0
NZD_I,D,19710217,000000,100.561,100.561,100.561,100.561,0,0
NZD_I,D,19710218,000000,100.557,100.557,100.557,100.557,0,0
NZD_I,D,19710219,000000,100.548,100.548,100.548,100.548,0,0
NZD_I,D,19710222,000000,100.559,100.559,100.559,100.559,0,0
NZD_I,D,19710223,000000,100.561,100.561,100.561,100.561,0,0
NZD_I,D,19710224,000000,100.568,100.568,100.568,100.568,0,0
NZD_I,D,19710225,000000,100.514,100.514,100.514,100.514,0,0
NZD_I,D,19710226,000000,100.503,100.503,100.503,100.503,0,0
NZD_I,D,19710301,000000,100.499,100.499,100.499,100.499,0,0
NZD_I,D,19710302,000000,100.543,100.543,100.543,100.543,0,0
NZD_I,D,19710303,000000,100.553,100.553,100.553,100.553,0,0
NZD_I,D,19710304,000000,100.534,100.534,100.534,100.534,0,0
NZD_I,D,19710305,000000,100.543,100.543,100.543,100.543,0,0
NZD_I,D,19710308,000000,100.547,100.547,100.547,100.547,0,0
NZD_I,D,19710309,000000,100.558,100.558,100.558,100.558,0,0
NZD_I,D,19710310,000000,100.562,100.562,100.562,100.562,0,0
NZD_I,D,19710311,000000,100.54,100.54,100.54,100.54,0,0
NZD_I,D,19710312,000000,100.579,100.579,100.579,100.579,0,0
NZD_I,D,19710315,000000,100.572,100.572,100.572,100.572,0,0
NZD_I,D,19710316,000000,100.552,100.552,100.552,100.552,0,0
NZD_I,D,19710317,000000,100.555,100.555,100.555,100.555,0,0
NZD_I,D,19710318,000000,100.548,100.548,100.548,100.548,0,0
NZD_I,D,19710319,000000,100.543,100.543,100.543,100.543,0,0
NZD_I,D,19710322,000000,100.553,100.553,100.553,100.553,0,0
NZD_I,D,19710323,000000,100.557,100.557,100.557,100.557,0,0
NZD_I,D,19710324,000000,100.555,100.555,100.555,100.555,0,0
NZD_I,D,19710325,000000,100.543,100.543,100.543,100.543,0,0
NZD_I,D,19710326,000000,100.533,100.533,100.533,100.533,0,0
NZD_I,D,19710329,000000,100.555,100.555,100.555,100.555,0,0
NZD_I,D,19710330,000000,100.526,100.526,100.526,100.526,0,0
NZD_I,D,19710331,000000,100.476,100.476,100.476,100.476,0,0
NZD_I,D,19710401,000000,100.431,100.431,100.431,100.431,0,0
NZD_I,D,19710402,000000,100.381,100.381,100.381,100.381,0,0
NZD_I,D,19710405,000000,100.482,100.482,100.482,100.482,0,0
NZD_I,D,19710406,000000,100.551,100.551,100.551,100.551,0,0
NZD_I,D,19710407,000000,100.513,100.513,100.513,100.513,0,0
NZD_I,D,19710408,000000,100.501,100.501,100.501,100.501,0,0
NZD_I,D,19710409,000000,100.505,100.505,100.505,100.505,0,0
NZD_I,D,19710412,000000,100.516,100.516,100.516,100.516,0,0
