<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDCHF,D,19710104,000000,4.80915,4.80915,4.80915,4.80915,0,0
NZDCHF,D,19710105,000000,4.80508,4.80508,4.80508,4.80508,0,0
NZDCHF,D,19710106,000000,4.80853,4.80853,4.80853,4.80853,0,0
NZDCHF,D,19710107,000000,4.80603,4.80603,4.80603,4.80603,0,0
NZDCHF,D,19710108,000000,4.80775,4.80775,4.80775,4.80775,0,0
NZDCHF,D,19710111,000000,4.81163,4.81163,4.81163,4.81163,0,0
NZDCHF,D,19710112,000000,4.81336,4.81336,4.81336,4.81336,0,0
NZDCHF,D,19710113,000000,4.81767,4.81767,4.81767,4.81767,0,0
NZDCHF,D,19710114,000000,4.8255,4.8255,4.8255,4.8255,0,0
NZDCHF,D,19710115,000000,4.82041,4.82041,4.82041,4.82041,0,0
NZDCHF,D,19710118,000000,4.8154,4.8154,4.8154,4.8154,0,0
NZDCHF,D,19710119,000000,4.81935,4.81935,4.81935,4.81935,0,0
NZDCHF,D,19710120,000000,4.81892,4.81892,4.81892,4.81892,0,0
NZDCHF,D,19710121,000000,4.8215,4.8215,4.8215,4.8215,0,0
NZDCHF,D,19710122,000000,4.82158,4.82158,4.82158,4.82158,0,0
NZDCHF,D,19710125,000000,4.83268,4.83268,4.83268,4.83268,0,0
NZDCHF,D,19710126,000000,4.83276,4.83276,4.83276,4.83276,0,0
NZDCHF,D,19710127,000000,4.83111,4.83111,4.83111,4.83111,0,0
NZDCHF,D,19710128,000000,4.83283,4.83283,4.83283,4.83283,0,0
NZDCHF,D,19710129,000000,4.83161,4.83161,4.83161,4.83161,0,0
NZDCHF,D,19710201,000000,4.83584,4.83584,4.83584,4.83584,0,0
NZDCHF,D,19710202,000000,4.83498,4.83498,4.83498,4.83498,0,0
NZDCHF,D,19710203,000000,4.83376,4.83376,4.83376,4.83376,0,0
NZDCHF,D,19710204,000000,4.83032,4.83032,4.83032,4.83032,0,0
NZDCHF,D,19710205,000000,4.8281,4.8281,4.8281,4.8281,0,0
NZDCHF,D,19710208,000000,4.83541,4.83541,4.83541,4.83541,0,0
NZDCHF,D,19710209,000000,4.82896,4.82896,4.82896,4.82896,0,0
NZDCHF,D,19710210,000000,4.83068,4.83068,4.83068,4.83068,0,0
NZDCHF,D,19710211,000000,4.83025,4.83025,4.83025,4.83025,0,0
NZDCHF,D,19710216,000000,4.83755,4.83755,4.83755,4.83755,0,0
NZDCHF,D,19710217,000000,4.83755,4.83755,4.83755,4.83755,0,0
NZDCHF,D,19710218,000000,4.83712,4.83712,4.83712,4.83712,0,0
NZDCHF,D,19710219,000000,4.83669,4.83669,4.83669,4.83669,0,0
NZDCHF,D,19710222,000000,4.83505,4.83505,4.83505,4.83505,0,0
NZDCHF,D,19710223,000000,4.83548,4.83548,4.83548,4.83548,0,0
NZDCHF,D,19710224,000000,4.84172,4.84172,4.84172,4.84172,0,0
NZDCHF,D,19710225,000000,4.84453,4.84453,4.84453,4.84453,0,0
NZDCHF,D,19710226,000000,4.84108,4.84108,4.84108,4.84108,0,0
