<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDEUR,D,19710104,000000,2.0807,2.0807,2.0807,2.0807,0,0
NZDEUR,D,19710105,000000,2.0828,2.0828,2.0828,2.0828,0,0
NZDEUR,D,19710106,000000,2.08352,2.08352,2.08352,2.08352,0,0
NZDEUR,D,19710107,000000,2.08294,2.08294,2.08294,2.08294,0,0
NZDEUR,D,19710108,000000,2.0833,2.0833,2.0833,2.0833,0,0
NZDEUR,D,19710111,000000,2.08459,2.08459,2.08459,2.08459,0,0
NZDEUR,D,19710112,000000,2.08495,2.08495,2.08495,2.08495,0,0
NZDEUR,D,19710113,000000,2.08642,2.08642,2.08642,2.08642,0,0
NZDEUR,D,19710114,000000,2.08994,2.08994,2.08994,2.08994,0,0
NZDEUR,D,19710115,000000,2.08824,2.08824,2.08824,2.08824,0,0
NZDEUR,D,19710118,000000,2.0867,2.0867,2.0867,2.0867,0,0
NZDEUR,D,19710119,000000,2.08931,2.08931,2.08931,2.08931,0,0
NZDEUR,D,19710120,000000,2.08718,2.08718,2.08718,2.08718,0,0
NZDEUR,D,19710121,000000,2.08752,2.08752,2.08752,2.08752,0,0
NZDEUR,D,19710122,000000,2.08806,2.08806,2.08806,2.08806,0,0
NZDEUR,D,19710125,000000,2.09158,2.09158,2.09158,2.09158,0,0
NZDEUR,D,19710126,000000,2.09251,2.09251,2.09251,2.09251,0,0
NZDEUR,D,19710127,000000,2.0927,2.0927,2.0927,2.0927,0,0
NZDEUR,D,19710128,000000,2.09383,2.09383,2.09383,2.09383,0,0
NZDEUR,D,19710129,000000,2.0942,2.0942,2.0942,2.0942,0,0
NZDEUR,D,19710201,000000,2.09592,2.09592,2.09592,2.09592,0,0
NZDEUR,D,19710202,000000,2.09554,2.09554,2.09554,2.09554,0,0
NZDEUR,D,19710203,000000,2.09514,2.09514,2.09514,2.09514,0,0
NZDEUR,D,19710204,000000,2.09326,2.09326,2.09326,2.09326,0,0
