<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDGBP,D,19710104,000000,0.465227,0.465227,0.465227,0.465227,0,0
NZDGBP,D,19710105,000000,0.465222,0.465222,0.465222,0.465222,0,0
NZDGBP,D,19710106,000000,0.465322,0.465322,0.465322,0.465322,0,0
NZDGBP,D,19710107,000000,0.465281,0.465281,0.465281,0.465281,0,0
NZDGBP,D,19710108,000000,0.465234,0.465234,0.465234,0.465234,0,0
NZDGBP,D,19710111,000000,0.46528,0.46528,0.46528,0.46528,0,0
NZDGBP,D,19710112,000000,0.465214,0.465214,0.465214,0.465214,0,0
NZDGBP,D,19710113,000000,0.465301,0.465301,0.465301,0.465301,0,0
NZDGBP,D,19710114,000000,0.465251,0.465251,0.465251,0.465251,0,0
NZDGBP,D,19710115,000000,0.465173,0.465173,0.465173,0.465173,0,0
NZDGBP,D,19710118,000000,0.465322,0.465322,0.465322,0.465322,0,0
NZDGBP,D,19710119,000000,0.465343,0.465343,0.465343,0.465343,0,0
NZDGBP,D,19710120,000000,0.465301,0.465301,0.465301,0.465301,0,0
NZDGBP,D,19710121,000000,0.465318,0.465318,0.465318,0.465318,0,0
NZDGBP,D,19710122,000000,0.465314,0.465314,0.465314,0.465314,0,0
NZDGBP,D,19710125,000000,0.465393,0.465393,0.465393,0.465393,0,0
NZDGBP,D,19710126,000000,0.465273,0.465273,0.465273,0.465273,0,0
NZDGBP,D,19710127,000000,0.465314,0.465314,0.465314,0.465314,0,0
NZDGBP,D,19710128,000000,0.465364,0.465364,0.465364,0.465364,0,0
NZDGBP,D,19710129,000000,0.465331,0.465331,0.465331,0.465331,0,0
NZDGBP,D,19710201,000000,0.465307,0.465307,0.465307,0.465307,0,0
NZDGBP,D,19710202,000000,0.46534,0.46534,0.46534,0.46534,0,0
NZDGBP,D,19710203,000000,0.465307,0.465307,0.465307,0.465307,0,0
NZDGBP,D,19710204,000000,0.465323,0.465323,0.465323,0.465323,0,0
NZDGBP,D,19710205,000000,0.465236,0.465236,0.465236,0.465236,0,0
NZDGBP,D,19710208,000000,0.465266,0.465266,0.465266,0.465266,0,0
NZDGBP,D,19710209,000000,0.465319,0.465319,0.465319,0.465319,0,0
NZDGBP,D,19710210,000000,0.465273,0.465273,0.465273,0.465273,0,0
NZDGBP,D,19710211,000000,0.465231,0.465231,0.465231,0.465231,0,0
