<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDJPY,D,19710104,000000,398.497,398.497,398.497,398.497,0,0
NZDJPY,D,19710105,000000,398.676,398.676,398.676,398.676,0,0
NZDJPY,D,19710106,000000,399.105,399.105,399.105,399.105,0,0
NZDJPY,D,19710107,000000,399.069,399.069,399.069,399.069,0,0
NZDJPY,D,19710108,000000,399.069,399.069,399.069,399.069,0,0
NZDJPY,D,19710111,000000,399.534,399.534,399.534,399.534,0,0
NZDJPY,D,19710112,000000,399.82,399.82,399.82,399.82,0,0
NZDJPY,D,19710113,000000,400.609,400.609,400.609,400.609,0,0
NZDJPY,D,19710114,000000,401.433,401.433,401.433,401.433,0,0
NZDJPY,D,19710115,000000,401.182,401.182,401.182,401.182,0,0
NZDJPY,D,19710118,000000,400.967,400.967,400.967,400.967,0,0
NZDJPY,D,19710119,000000,401.612,401.612,401.612,401.612,0,0
NZDJPY,D,19710120,000000,401.577,401.577,401.577,401.577,0,0
NZDJPY,D,19710121,000000,401.648,401.648,401.648,401.648,0,0
NZDJPY,D,19710122,000000,401.395,401.395,401.395,401.395,0,0
NZDJPY,D,19710125,000000,402.003,402.003,402.003,402.003,0,0
NZDJPY,D,19710126,000000,402.182,402.182,402.182,402.182,0,0
NZDJPY,D,19710127,000000,402.218,402.218,402.218,402.218,0,0
NZDJPY,D,19710128,000000,402.361,402.361,402.361,402.361,0,0
NZDJPY,D,19710129,000000,402.288,402.288,402.288,402.288,0,0
NZDJPY,D,19710201,000000,402.467,402.467,402.467,402.467,0,0
NZDJPY,D,19710202,000000,402.252,402.252,402.252,402.252,0,0
NZDJPY,D,19710203,000000,402.323,402.323,402.323,402.323,0,0
NZDJPY,D,19710204,000000,402.037,402.037,402.037,402.037,0,0
NZDJPY,D,19710205,000000,401.68,401.68,401.68,401.68,0,0
NZDJPY,D,19710208,000000,402.288,402.288,402.288,402.288,0,0
NZDJPY,D,19710209,000000,401.751,401.751,401.751,401.751,0,0
NZDJPY,D,19710210,000000,401.894,401.894,401.894,401.894,0,0
NZDJPY,D,19710211,000000,401.859,401.859,401.859,401.859,0,0
NZDJPY,D,19710216,000000,402.466,402.466,402.466,402.466,0,0
NZDJPY,D,19710217,000000,402.466,402.466,402.466,402.466,0,0
NZDJPY,D,19710218,000000,402.431,402.431,402.431,402.431,0,0
NZDJPY,D,19710219,000000,402.395,402.395,402.395,402.395,0,0
NZDJPY,D,19710222,000000,402.575,402.575,402.575,402.575,0,0
NZDJPY,D,19710223,000000,402.466,402.466,402.466,402.466,0,0
NZDJPY,D,19710224,000000,402.61,402.61,402.61,402.61,0,0
NZDJPY,D,19710225,000000,402.18,402.18,402.18,402.18,0,0
NZDJPY,D,19710226,000000,401.894,401.894,401.894,401.894,0,0
NZDJPY,D,19710301,000000,402.074,402.074,402.074,402.074,0,0
NZDJPY,D,19710302,000000,402.323,402.323,402.323,402.323,0,0
NZDJPY,D,19710303,000000,402.466,402.466,402.466,402.466,0,0
NZDJPY,D,19710304,000000,402.216,402.216,402.216,402.216,0,0
NZDJPY,D,19710305,000000,402.432,402.432,402.432,402.432,0,0
NZDJPY,D,19710308,000000,402.431,402.431,402.431,402.431,0,0
NZDJPY,D,19710309,000000,402.431,402.431,402.431,402.431,0,0
NZDJPY,D,19710310,000000,402.575,402.575,402.575,402.575,0,0
NZDJPY,D,19710311,000000,402.359,402.359,402.359,402.359,0,0
NZDJPY,D,19710312,000000,402.61,402.61,402.61,402.61,0,0
NZDJPY,D,19710315,000000,402.466,402.466,402.466,402.466,0,0
NZDJPY,D,19710316,000000,402.288,402.288,402.288,402.288,0,0
NZDJPY,D,19710317,000000,402.466,402.466,402.466,402.466,0,0
NZDJPY,D,19710318,000000,402.395,402.395,402.395,402.395,0,0
NZDJPY,D,19710319,000000,402.395,402.395,402.395,402.395,0,0
NZDJPY,D,19710322,000000,402.323,402.323,402.323,402.323,0,0
NZDJPY,D,19710323,000000,402.466,402.466,402.466,402.466,0,0
NZDJPY,D,19710324,000000,402.466,402.466,402.466,402.466,0,0
NZDJPY,D,19710325,000000,402.323,402.323,402.323,402.323,0,0
NZDJPY,D,19710326,000000,402.215,402.215,402.215,402.215,0,0
NZDJPY,D,19710329,000000,402.323,402.323,402.323,402.323,0,0
NZDJPY,D,19710330,000000,402.252,402.252,402.252,402.252,0,0
NZDJPY,D,19710331,000000,401.894,401.894,401.894,401.894,0,0
NZDJPY,D,19710401,000000,401.68,401.68,401.68,401.68,0,0
NZDJPY,D,19710402,000000,401.322,401.322,401.322,401.322,0,0
NZDJPY,D,19710405,000000,401.93,401.93,401.93,401.93,0,0
NZDJPY,D,19710406,000000,402.395,402.395,402.395,402.395,0,0
NZDJPY,D,19710407,000000,402.073,402.073,402.073,402.073,0,0
NZDJPY,D,19710408,000000,402.037,402.037,402.037,402.037,0,0
NZDJPY,D,19710409,000000,402.037,402.037,402.037,402.037,0,0
NZDJPY,D,19710412,000000,402.073,402.073,402.073,402.073,0,0
NZDJPY,D,19710413,000000,402.181,402.181,402.181,402.181,0,0
NZDJPY,D,19710414,000000,402.216,402.216,402.216,402.216,0,0
NZDJPY,D,19710415,000000,402.359,402.359,402.359,402.359,0,0
NZDJPY,D,19710416,000000,402.323,402.323,402.323,402.323,0,0
NZDJPY,D,19710419,000000,402.431,402.431,402.431,402.431,0,0
NZDJPY,D,19710420,000000,402.466,402.466,402.466,402.466,0,0
NZDJPY,D,19710421,000000,402.502,402.502,402.502,402.502,0,0
NZDJPY,D,19710422,000000,402.359,402.359,402.359,402.359,0,0
NZDJPY,D,19710423,000000,402.395,402.395,402.395,402.395,0,0
NZDJPY,D,19710426,000000,402.359,402.359,402.359,402.359,0,0
NZDJPY,D,19710427,000000,402.395,402.395,402.395,402.395,0,0
NZDJPY,D,19710428,000000,402.502,402.502,402.502,402.502,0,0
NZDJPY,D,19710429,000000,402.287,402.287,402.287,402.287,0,0
NZDJPY,D,19710430,000000,402.323,402.323,402.323,402.323,0,0
