<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEK_I,D,19710104,000000,100,100,100,100,0,0
SEK_I,D,19710105,000000,100.056,100.056,100.056,100.056,0,0
SEK_I,D,19710106,000000,99.9812,99.9812,99.9812,99.9812,0,0
SEK_I,D,19710107,000000,99.9592,99.9592,99.9592,99.9592,0,0
SEK_I,D,19710108,000000,100.079,100.079,100.079,100.079,0,0
SEK_I,D,19710111,000000,100.01,100.01,100.01,100.01,0,0
SEK_I,D,19710112,000000,99.9018,99.9018,99.9018,99.9018,0,0
SEK_I,D,19710113,000000,99.9467,99.9467,99.9467,99.9467,0,0
SEK_I,D,19710114,000000,99.9924,99.9924,99.9924,99.9924,0,0
SEK_I,D,19710115,000000,99.7781,99.7781,99.7781,99.7781,0,0
SEK_I,D,19710118,000000,99.8448,99.8448,99.8448,99.8448,0,0
SEK_I,D,19710119,000000,99.7656,99.7656,99.7656,99.7656,0,0
SEK_I,D,19710120,000000,99.8974,99.8974,99.8974,99.8974,0,0
SEK_I,D,19710121,000000,99.754,99.754,99.754,99.754,0,0
SEK_I,D,19710122,000000,99.8427,99.8427,99.8427,99.8427,0,0
SEK_I,D,19710125,000000,99.6746,99.6746,99.6746,99.6746,0,0
SEK_I,D,19710126,000000,99.6944,99.6944,99.6944,99.6944,0,0
SEK_I,D,19710127,000000,99.7435,99.7435,99.7435,99.7435,0,0
SEK_I,D,19710128,000000,99.665,99.665,99.665,99.665,0,0
SEK_I,D,19710129,000000,99.5634,99.5634,99.5634,99.5634,0,0
SEK_I,D,19710201,000000,99.4113,99.4113,99.4113,99.4113,0,0
SEK_I,D,19710202,000000,99.5081,99.5081,99.5081,99.5081,0,0
SEK_I,D,19710203,000000,99.4997,99.4997,99.4997,99.4997,0,0
SEK_I,D,19710204,000000,99.5824,99.5824,99.5824,99.5824,0,0
SEK_I,D,19710205,000000,99.4043,99.4043,99.4043,99.4043,0,0
SEK_I,D,19710208,000000,99.3342,99.3342,99.3342,99.3342,0,0
