<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEKNOK,D,19710104,000000,1.38137,1.38137,1.38137,1.38137,0,0
SEKNOK,D,19710105,000000,1.38358,1.38358,1.38358,1.38358,0,0
SEKNOK,D,19710106,000000,1.38195,1.38195,1.38195,1.38195,0,0
SEKNOK,D,19710107,000000,1.382,1.382,1.382,1.382,0,0
SEKNOK,D,19710108,000000,1.3838,1.3838,1.3838,1.3838,0,0
SEKNOK,D,19710111,000000,1.38325,1.38325,1.38325,1.38325,0,0
SEKNOK,D,19710112,000000,1.38229,1.38229,1.38229,1.38229,0,0
SEKNOK,D,19710113,000000,1.38285,1.38285,1.38285,1.38285,0,0
SEKNOK,D,19710114,000000,1.38442,1.38442,1.38442,1.38442,0,0
SEKNOK,D,19710115,000000,1.38166,1.38166,1.38166,1.38166,0,0
SEKNOK,D,19710118,000000,1.38276,1.38276,1.38276,1.38276,0,0
SEKNOK,D,19710119,000000,1.38246,1.38246,1.38246,1.38246,0,0
SEKNOK,D,19710120,000000,1.3846,1.3846,1.3846,1.3846,0,0
SEKNOK,D,19710121,000000,1.38299,1.38299,1.38299,1.38299,0,0
SEKNOK,D,19710122,000000,1.3843,1.3843,1.3843,1.3843,0,0
SEKNOK,D,19710125,000000,1.38257,1.38257,1.38257,1.38257,0,0
SEKNOK,D,19710126,000000,1.38329,1.38329,1.38329,1.38329,0,0
SEKNOK,D,19710127,000000,1.38356,1.38356,1.38356,1.38356,0,0
SEKNOK,D,19710128,000000,1.38271,1.38271,1.38271,1.38271,0,0
SEKNOK,D,19710129,000000,1.3817,1.3817,1.3817,1.3817,0,0
SEKNOK,D,19710201,000000,1.37995,1.37995,1.37995,1.37995,0,0
SEKNOK,D,19710202,000000,1.38109,1.38109,1.38109,1.38109,0,0
SEKNOK,D,19710203,000000,1.38086,1.38086,1.38086,1.38086,0,0
SEKNOK,D,19710204,000000,1.38169,1.38169,1.38169,1.38169,0,0
SEKNOK,D,19710205,000000,1.37908,1.37908,1.37908,1.37908,0,0
SEKNOK,D,19710208,000000,1.37827,1.37827,1.37827,1.37827,0,0
SEKNOK,D,19710209,000000,1.37765,1.37765,1.37765,1.37765,0,0
SEKNOK,D,19710210,000000,1.37751,1.37751,1.37751,1.37751,0,0
SEKNOK,D,19710211,000000,1.38017,1.38017,1.38017,1.38017,0,0
SEKNOK,D,19710216,000000,1.38038,1.38038,1.38038,1.38038,0,0
SEKNOK,D,19710217,000000,1.37965,1.37965,1.37965,1.37965,0,0
SEKNOK,D,19710218,000000,1.38171,1.38171,1.38171,1.38171,0,0
SEKNOK,D,19710219,000000,1.38066,1.38066,1.38066,1.38066,0,0
SEKNOK,D,19710222,000000,1.38378,1.38378,1.38378,1.38378,0,0
SEKNOK,D,19710223,000000,1.38479,1.38479,1.38479,1.38479,0,0
SEKNOK,D,19710224,000000,1.38455,1.38455,1.38455,1.38455,0,0
SEKNOK,D,19710225,000000,1.38289,1.38289,1.38289,1.38289,0,0
SEKNOK,D,19710226,000000,1.38244,1.38244,1.38244,1.38244,0,0
SEKNOK,D,19710301,000000,1.38437,1.38437,1.38437,1.38437,0,0
SEKNOK,D,19710302,000000,1.38231,1.38231,1.38231,1.38231,0,0
SEKNOK,D,19710303,000000,1.38403,1.38403,1.38403,1.38403,0,0
SEKNOK,D,19710304,000000,1.3827,1.3827,1.3827,1.3827,0,0
SEKNOK,D,19710305,000000,1.38222,1.38222,1.38222,1.38222,0,0
SEKNOK,D,19710308,000000,1.38157,1.38157,1.38157,1.38157,0,0
SEKNOK,D,19710309,000000,1.38262,1.38262,1.38262,1.38262,0,0
SEKNOK,D,19710310,000000,1.38316,1.38316,1.38316,1.38316,0,0
SEKNOK,D,19710311,000000,1.38166,1.38166,1.38166,1.38166,0,0
SEKNOK,D,19710312,000000,1.38329,1.38329,1.38329,1.38329,0,0
SEKNOK,D,19710315,000000,1.38322,1.38322,1.38322,1.38322,0,0
SEKNOK,D,19710316,000000,1.38148,1.38148,1.38148,1.38148,0,0
SEKNOK,D,19710317,000000,1.38382,1.38382,1.38382,1.38382,0,0
SEKNOK,D,19710318,000000,1.38256,1.38256,1.38256,1.38256,0,0
SEKNOK,D,19710319,000000,1.38368,1.38368,1.38368,1.38368,0,0
SEKNOK,D,19710322,000000,1.38389,1.38389,1.38389,1.38389,0,0
SEKNOK,D,19710323,000000,1.38407,1.38407,1.38407,1.38407,0,0
SEKNOK,D,19710324,000000,1.38387,1.38387,1.38387,1.38387,0,0
SEKNOK,D,19710325,000000,1.38182,1.38182,1.38182,1.38182,0,0
SEKNOK,D,19710326,000000,1.38098,1.38098,1.38098,1.38098,0,0
SEKNOK,D,19710329,000000,1.38051,1.38051,1.38051,1.38051,0,0
SEKNOK,D,19710330,000000,1.38182,1.38182,1.38182,1.38182,0,0
SEKNOK,D,19710331,000000,1.3817,1.3817,1.3817,1.3817,0,0
SEKNOK,D,19710401,000000,1.37991,1.37991,1.37991,1.37991,0,0
SEKNOK,D,19710402,000000,1.38041,1.38041,1.38041,1.38041,0,0
SEKNOK,D,19710405,000000,1.38068,1.38068,1.38068,1.38068,0,0
SEKNOK,D,19710406,000000,1.38107,1.38107,1.38107,1.38107,0,0
SEKNOK,D,19710407,000000,1.38007,1.38007,1.38007,1.38007,0,0
SEKNOK,D,19710408,000000,1.37981,1.37981,1.37981,1.37981,0,0
SEKNOK,D,19710409,000000,1.37999,1.37999,1.37999,1.37999,0,0
SEKNOK,D,19710412,000000,1.38007,1.38007,1.38007,1.38007,0,0
SEKNOK,D,19710413,000000,1.3795,1.3795,1.3795,1.3795,0,0
SEKNOK,D,19710414,000000,1.38116,1.38116,1.38116,1.38116,0,0
