<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLSPLN00,D,20210104,000000,-0.003,-0.003,-0.003,-0.003,0,0
PLSPLN00,D,20210105,000000,-0.033,-0.033,-0.033,-0.033,0,0
PLSPLN00,D,20210107,000000,-0.017,-0.017,-0.017,-0.017,0,0
PLSPLN00,D,20210108,000000,0.005,0.005,0.005,0.005,0,0
PLSPLN00,D,20210111,000000,-0.057,-0.057,-0.057,-0.057,0,0
PLSPLN00,D,20210112,000000,-0.004,-0.004,-0.004,-0.004,0,0
PLSPLN00,D,20210113,000000,-0.011,-0.011,-0.011,-0.011,0,0
PLSPLN00,D,20210114,000000,0.002,0.002,0.002,0.002,0,0
PLSPLN00,D,20210115,000000,0.008,0.008,0.008,0.008,0,0
PLSPLN00,D,20210118,000000,0.004,0.004,0.004,0.004,0,0
PLSPLN00,D,20210119,000000,-0.026,-0.026,-0.026,-0.026,0,0
PLSPLN00,D,20210120,000000,0.01,0.01,0.01,0.01,0,0
PLSPLN00,D,20210121,000000,0.012,0.012,0.012,0.012,0,0
PLSPLN00,D,20210122,000000,0.01,0.01,0.01,0.01,0,0
PLSPLN00,D,20210125,000000,0.011,0.011,0.011,0.011,0,0
PLSPLN00,D,20210126,000000,0.015,0.015,0.015,0.015,0,0
PLSPLN00,D,20210127,000000,0.02,0.02,0.02,0.02,0,0
PLSPLN00,D,20210128,000000,0.019,0.019,0.019,0.019,0,0
PLSPLN00,D,20210129,000000,-0.007,-0.007,-0.007,-0.007,0,0
PLSPLN00,D,20210201,000000,0.008,0.008,0.008,0.008,0,0
PLSPLN00,D,20210202,000000,0.007,0.007,0.007,0.007,0,0
PLSPLN00,D,20210203,000000,0.011,0.011,0.011,0.011,0,0
PLSPLN00,D,20210204,000000,0.004,0.004,0.004,0.004,0,0
PLSPLN00,D,20210205,000000,0.019,0.019,0.019,0.019,0,0
PLSPLN00,D,20210208,000000,0.007,0.007,0.007,0.007,0,0
PLSPLN00,D,20210209,000000,0.013,0.013,0.013,0.013,0,0
PLSPLN00,D,20210210,000000,0.01,0.01,0.01,0.01,0,0
PLSPLN00,D,20210211,000000,0.01,0.01,0.01,0.01,0,0
PLSPLN00,D,20210212,000000,0.01,0.01,0.01,0.01,0,0
PLSPLN00,D,20210215,000000,0.014,0.014,0.014,0.014,0,0
PLSPLN00,D,20210216,000000,0.013,0.013,0.013,0.013,0,0
PLSPLN00,D,20210217,000000,0.012,0.012,0.012,0.012,0,0
PLSPLN00,D,20210218,000000,0.014,0.014,0.014,0.014,0,0
PLSPLN00,D,20210219,000000,0.01,0.01,0.01,0.01,0,0
PLSPLN00,D,20210222,000000,0.007,0.007,0.007,0.007,0,0
PLSPLN00,D,20210223,000000,0.01,0.01,0.01,0.01,0,0
PLSPLN00,D,20210224,000000,-0.002,-0.002,-0.002,-0.002,0,0
PLSPLN00,D,20210225,000000,0.008,0.008,0.008,0.008,0,0
