<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLSPLN1M,D,20210201,000000,-0.00154,-0.00154,-0.00154,-0.00154,0,0
PLSPLN1M,D,20210202,000000,-0.00121,-0.00121,-0.00121,-0.00121,0,0
PLSPLN1M,D,20210203,000000,-0.00093,-0.00093,-0.00093,-0.00093,0,0
PLSPLN1M,D,20210204,000000,-0.00055,-0.00055,-0.00055,-0.00055,0,0
PLSPLN1M,D,20210205,000000,-0.00032,-0.00032,-0.00032,-0.00032,0,0
PLSPLN1M,D,20210208,000000,0.00419,0.00419,0.00419,0.00419,0,0
PLSPLN1M,D,20210209,000000,0.00428,0.00428,0.00428,0.00428,0,0
PLSPLN1M,D,20210210,000000,0.00455,0.00455,0.00455,0.00455,0,0
PLSPLN1M,D,20210211,000000,0.00468,0.00468,0.00468,0.00468,0,0
PLSPLN1M,D,20210212,000000,0.00684,0.00684,0.00684,0.00684,0,0
PLSPLN1M,D,20210215,000000,0.00823,0.00823,0.00823,0.00823,0,0
PLSPLN1M,D,20210216,000000,0.00841,0.00841,0.00841,0.00841,0,0
PLSPLN1M,D,20210217,000000,0.00855,0.00855,0.00855,0.00855,0,0
PLSPLN1M,D,20210218,000000,0.00871,0.00871,0.00871,0.00871,0,0
PLSPLN1M,D,20210219,000000,0.00903,0.00903,0.00903,0.00903,0,0
PLSPLN1M,D,20210222,000000,0.01013,0.01013,0.01013,0.01013,0,0
PLSPLN1M,D,20210223,000000,0.01003,0.01003,0.01003,0.01003,0,0
PLSPLN1M,D,20210224,000000,0.01003,0.01003,0.01003,0.01003,0,0
PLSPLN1M,D,20210225,000000,0.00965,0.00965,0.00965,0.00965,0,0
PLSPLN1M,D,20210226,000000,0.00955,0.00955,0.00955,0.00955,0,0
PLSPLN1M,D,20210301,000000,0.0095,0.0095,0.0095,0.0095,0,0
PLSPLN1M,D,20210302,000000,0.0095,0.0095,0.0095,0.0095,0,0
PLSPLN1M,D,20210303,000000,0.00946,0.00946,0.00946,0.00946,0,0
PLSPLN1M,D,20210304,000000,0.00943,0.00943,0.00943,0.00943,0,0
PLSPLN1M,D,20210305,000000,0.00961,0.00961,0.00961,0.00961,0,0
PLSPLN1M,D,20210308,000000,0.00896,0.00896,0.00896,0.00896,0,0
PLSPLN1M,D,20210309,000000,0.00918,0.00918,0.00918,0.00918,0,0
PLSPLN1M,D,20210310,000000,0.00911,0.00911,0.00911,0.00911,0,0
PLSPLN1M,D,20210311,000000,0.00921,0.00921,0.00921,0.00921,0,0
PLSPLN1M,D,20210312,000000,0.00929,0.00929,0.00929,0.00929,0,0
PLSPLN1M,D,20210315,000000,0.00971,0.00971,0.00971,0.00971,0,0
PLSPLN1M,D,20210316,000000,0.00993,0.00993,0.00993,0.00993,0,0
PLSPLN1M,D,20210317,000000,0.01011,0.01011,0.01011,0.01011,0,0
PLSPLN1M,D,20210318,000000,0.01036,0.01036,0.01036,0.01036,0,0
PLSPLN1M,D,20210319,000000,0.0105,0.0105,0.0105,0.0105,0,0
PLSPLN1M,D,20210322,000000,0.01114,0.01114,0.01114,0.01114,0,0
PLSPLN1M,D,20210323,000000,0.0115,0.0115,0.0115,0.0115,0,0
PLSPLN1M,D,20210324,000000,0.01161,0.01161,0.01161,0.01161,0,0
PLSPLN1M,D,20210325,000000,0.01214,0.01214,0.01214,0.01214,0,0
PLSPLN1M,D,20210326,000000,0.0125,0.0125,0.0125,0.0125,0,0
PLSPLN1M,D,20210329,000000,0.01235,0.01235,0.01235,0.01235,0,0
PLSPLN1M,D,20210330,000000,0.01234,0.01234,0.01234,0.01234,0,0
PLSPLN1M,D,20210331,000000,0.01233,0.01233,0.01233,0.01233,0,0
PLSPLN1M,D,20210401,000000,0.01345,0.01345,0.01345,0.01345,0,0
PLSPLN1M,D,20210402,000000,0.01352,0.01352,0.01352,0.01352,0,0
PLSPLN1M,D,20210406,000000,0.01406,0.01406,0.01406,0.01406,0,0
PLSPLN1M,D,20210407,000000,0.014,0.014,0.014,0.014,0,0
PLSPLN1M,D,20210408,000000,0.014,0.014,0.014,0.014,0,0
PLSPLN1M,D,20210409,000000,0.0139,0.0139,0.0139,0.0139,0,0
PLSPLN1M,D,20210412,000000,0.01371,0.01371,0.01371,0.01371,0,0
