<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLSPLNCI,D,20210104,000000,100.00000000,100.00000000,100.00000000,100.00000000,0,0
PLSPLNCI,D,20210105,000000,99.99999178,99.99999178,99.99999178,99.99999178,0,0
PLSPLNCI,D,20210107,000000,99.99981096,99.99981096,99.99981096,99.99981096,0,0
PLSPLNCI,D,20210108,000000,99.99976438,99.99976438,99.99976438,99.99976438,0,0
PLSPLNCI,D,20210111,000000,99.99980548,99.99980548,99.99980548,99.99980548,0,0
PLSPLNCI,D,20210112,000000,99.99964932,99.99964932,99.99964932,99.99964932,0,0
PLSPLNCI,D,20210113,000000,99.99963836,99.99963836,99.99963836,99.99963836,0,0
PLSPLNCI,D,20210114,000000,99.99960822,99.99960822,99.99960822,99.99960822,0,0
PLSPLNCI,D,20210115,000000,99.99961370,99.99961370,99.99961370,99.99961370,0,0
PLSPLNCI,D,20210118,000000,99.99967945,99.99967945,99.99967945,99.99967945,0,0
PLSPLNCI,D,20210119,000000,99.99969041,99.99969041,99.99969041,99.99969041,0,0
PLSPLNCI,D,20210120,000000,99.99961918,99.99961918,99.99961918,99.99961918,0,0
PLSPLNCI,D,20210121,000000,99.99964658,99.99964658,99.99964658,99.99964658,0,0
PLSPLNCI,D,20210122,000000,99.99967945,99.99967945,99.99967945,99.99967945,0,0
PLSPLNCI,D,20210125,000000,99.99976164,99.99976164,99.99976164,99.99976164,0,0
PLSPLNCI,D,20210126,000000,99.99979178,99.99979178,99.99979178,99.99979178,0,0
PLSPLNCI,D,20210127,000000,99.99983288,99.99983288,99.99983288,99.99983288,0,0
PLSPLNCI,D,20210128,000000,99.99988767,99.99988767,99.99988767,99.99988767,0,0
PLSPLNCI,D,20210129,000000,99.99993973,99.99993973,99.99993973,99.99993973,0,0
PLSPLNCI,D,20210201,000000,99.99988219,99.99988219,99.99988219,99.99988219,0,0
PLSPLNCI,D,20210202,000000,99.99990411,99.99990411,99.99990411,99.99990411,0,0
PLSPLNCI,D,20210203,000000,99.99992329,99.99992329,99.99992329,99.99992329,0,0
PLSPLNCI,D,20210204,000000,99.99995342,99.99995342,99.99995342,99.99995342,0,0
PLSPLNCI,D,20210205,000000,99.99996438,99.99996438,99.99996438,99.99996438,0,0
PLSPLNCI,D,20210208,000000,100.00012055,100.00012055,100.00012055,100.00012055,0,0
PLSPLNCI,D,20210209,000000,100.00013973,100.00013973,100.00013973,100.00013973,0,0
PLSPLNCI,D,20210210,000000,100.00017534,100.00017534,100.00017534,100.00017534,0,0
PLSPLNCI,D,20210211,000000,100.00020274,100.00020274,100.00020274,100.00020274,0,0
PLSPLNCI,D,20210212,000000,100.00023014,100.00023014,100.00023014,100.00023014,0,0
PLSPLNCI,D,20210215,000000,100.00031233,100.00031233,100.00031233,100.00031233,0,0
PLSPLNCI,D,20210216,000000,100.00035068,100.00035068,100.00035068,100.00035068,0,0
PLSPLNCI,D,20210217,000000,100.00038630,100.00038630,100.00038630,100.00038630,0,0
PLSPLNCI,D,20210218,000000,100.00041918,100.00041918,100.00041918,100.00041918,0,0
PLSPLNCI,D,20210219,000000,100.00045753,100.00045753,100.00045753,100.00045753,0,0
PLSPLNCI,D,20210222,000000,100.00053973,100.00053973,100.00053973,100.00053973,0,0
