<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLWPLN00,D,20190102,000000,1.267,1.267,1.267,1.267,0,0
PLWPLN00,D,20190103,000000,1.216,1.216,1.216,1.216,0,0
PLWPLN00,D,20190104,000000,1.233,1.233,1.233,1.233,0,0
PLWPLN00,D,20190107,000000,1.354,1.354,1.354,1.354,0,0
PLWPLN00,D,20190108,000000,1.305,1.305,1.305,1.305,0,0
PLWPLN00,D,20190109,000000,1.332,1.332,1.332,1.332,0,0
PLWPLN00,D,20190110,000000,1.317,1.317,1.317,1.317,0,0
PLWPLN00,D,20190111,000000,1.262,1.262,1.262,1.262,0,0
PLWPLN00,D,20190114,000000,1.225,1.225,1.225,1.225,0,0
PLWPLN00,D,20190115,000000,1.194,1.194,1.194,1.194,0,0
PLWPLN00,D,20190116,000000,1.195,1.195,1.195,1.195,0,0
PLWPLN00,D,20190117,000000,1.087,1.087,1.087,1.087,0,0
PLWPLN00,D,20190118,000000,1.001,1.001,1.001,1.001,0,0
PLWPLN00,D,20190121,000000,0.84,0.84,0.84,0.84,0,0
PLWPLN00,D,20190122,000000,1.003,1.003,1.003,1.003,0,0
PLWPLN00,D,20190123,000000,0.76,0.76,0.76,0.76,0,0
PLWPLN00,D,20190124,000000,0.662,0.662,0.662,0.662,0,0
PLWPLN00,D,20190125,000000,0.656,0.656,0.656,0.656,0,0
PLWPLN00,D,20190128,000000,0.712,0.712,0.712,0.712,0,0
PLWPLN00,D,20190129,000000,0.716,0.716,0.716,0.716,0,0
PLWPLN00,D,20190130,000000,1.006,1.006,1.006,1.006,0,0
PLWPLN00,D,20190131,000000,0.913,0.913,0.913,0.913,0,0
PLWPLN00,D,20190201,000000,1.266,1.266,1.266,1.266,0,0
PLWPLN00,D,20190204,000000,1.236,1.236,1.236,1.236,0,0
PLWPLN00,D,20190205,000000,1.264,1.264,1.264,1.264,0,0
PLWPLN00,D,20190206,000000,1.242,1.242,1.242,1.242,0,0
PLWPLN00,D,20190207,000000,1.253,1.253,1.253,1.253,0,0
PLWPLN00,D,20190208,000000,1.246,1.246,1.246,1.246,0,0
PLWPLN00,D,20190211,000000,1.326,1.326,1.326,1.326,0,0
PLWPLN00,D,20190212,000000,1.392,1.392,1.392,1.392,0,0
PLWPLN00,D,20190213,000000,1.346,1.346,1.346,1.346,0,0
PLWPLN00,D,20190214,000000,1.324,1.324,1.324,1.324,0,0
PLWPLN00,D,20190215,000000,1.247,1.247,1.247,1.247,0,0
PLWPLN00,D,20190218,000000,1.276,1.276,1.276,1.276,0,0
PLWPLN00,D,20190219,000000,1.236,1.236,1.236,1.236,0,0
PLWPLN00,D,20190220,000000,1.28,1.28,1.28,1.28,0,0
PLWPLN00,D,20190221,000000,1.295,1.295,1.295,1.295,0,0
PLWPLN00,D,20190222,000000,1.174,1.174,1.174,1.174,0,0
PLWPLN00,D,20190225,000000,0.884,0.884,0.884,0.884,0,0
PLWPLN00,D,20190226,000000,0.789,0.789,0.789,0.789,0,0
PLWPLN00,D,20190227,000000,1.137,1.137,1.137,1.137,0,0
PLWPLN00,D,20190228,000000,0.885,0.885,0.885,0.885,0,0
PLWPLN00,D,20190301,000000,1.288,1.288,1.288,1.288,0,0
PLWPLN00,D,20190304,000000,1.288,1.288,1.288,1.288,0,0
PLWPLN00,D,20190305,000000,1.312,1.312,1.312,1.312,0,0
PLWPLN00,D,20190306,000000,1.333,1.333,1.333,1.333,0,0
PLWPLN00,D,20190307,000000,1.305,1.305,1.305,1.305,0,0
PLWPLN00,D,20190308,000000,1.361,1.361,1.361,1.361,0,0
PLWPLN00,D,20190311,000000,1.259,1.259,1.259,1.259,0,0
PLWPLN00,D,20190312,000000,1.335,1.335,1.335,1.335,0,0
PLWPLN00,D,20190313,000000,1.316,1.316,1.316,1.316,0,0
PLWPLN00,D,20190314,000000,1.31,1.31,1.31,1.31,0,0
PLWPLN00,D,20190315,000000,1.282,1.282,1.282,1.282,0,0
PLWPLN00,D,20190318,000000,1.308,1.308,1.308,1.308,0,0
PLWPLN00,D,20190319,000000,1.307,1.307,1.307,1.307,0,0
PLWPLN00,D,20190320,000000,1.296,1.296,1.296,1.296,0,0
PLWPLN00,D,20190321,000000,1.336,1.336,1.336,1.336,0,0
PLWPLN00,D,20190322,000000,1.23,1.23,1.23,1.23,0,0
PLWPLN00,D,20190325,000000,1.167,1.167,1.167,1.167,0,0
PLWPLN00,D,20190326,000000,1.131,1.131,1.131,1.131,0,0
PLWPLN00,D,20190327,000000,1.277,1.277,1.277,1.277,0,0
PLWPLN00,D,20190328,000000,1.227,1.227,1.227,1.227,0,0
PLWPLN00,D,20190329,000000,0.822,0.822,0.822,0.822,0,0
PLWPLN00,D,20190401,000000,1.223,1.223,1.223,1.223,0,0
PLWPLN00,D,20190402,000000,1.27,1.27,1.27,1.27,0,0
PLWPLN00,D,20190403,000000,1.289,1.289,1.289,1.289,0,0
PLWPLN00,D,20190404,000000,1.352,1.352,1.352,1.352,0,0
PLWPLN00,D,20190405,000000,1.245,1.245,1.245,1.245,0,0
PLWPLN00,D,20190408,000000,1.255,1.255,1.255,1.255,0,0
PLWPLN00,D,20190409,000000,1.289,1.289,1.289,1.289,0,0
PLWPLN00,D,20190410,000000,1.244,1.244,1.244,1.244,0,0
PLWPLN00,D,20190411,000000,1.282,1.282,1.282,1.282,0,0
PLWPLN00,D,20190412,000000,1.198,1.198,1.198,1.198,0,0
PLWPLN00,D,20190415,000000,1.345,1.345,1.345,1.345,0,0
PLWPLN00,D,20190416,000000,1.384,1.384,1.384,1.384,0,0
PLWPLN00,D,20190417,000000,1.303,1.303,1.303,1.303,0,0
PLWPLN00,D,20190418,000000,1.296,1.296,1.296,1.296,0,0
PLWPLN00,D,20190419,000000,1.341,1.341,1.341,1.341,0,0
PLWPLN00,D,20190423,000000,1.3,1.3,1.3,1.3,0,0
PLWPLN00,D,20190424,000000,1.311,1.311,1.311,1.311,0,0
PLWPLN00,D,20190425,000000,1.27,1.27,1.27,1.27,0,0
PLWPLN00,D,20190426,000000,0.95,0.95,0.95,0.95,0,0
PLWPLN00,D,20190429,000000,1.318,1.318,1.318,1.318,0,0
PLWPLN00,D,20190430,000000,1.158,1.158,1.158,1.158,0,0
PLWPLN00,D,20190502,000000,1.312,1.312,1.312,1.312,0,0
PLWPLN00,D,20190506,000000,1.242,1.242,1.242,1.242,0,0
PLWPLN00,D,20190507,000000,1.154,1.154,1.154,1.154,0,0
PLWPLN00,D,20190508,000000,1.244,1.244,1.244,1.244,0,0
PLWPLN00,D,20190509,000000,1.238,1.238,1.238,1.238,0,0
PLWPLN00,D,20190510,000000,1.34,1.34,1.34,1.34,0,0
PLWPLN00,D,20190513,000000,1.324,1.324,1.324,1.324,0,0
