<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLWPLN1M,D,20190201,000000,1.05243,1.05243,1.05243,1.05243,0,0
PLWPLN1M,D,20190204,000000,1.06093,1.06093,1.06093,1.06093,0,0
PLWPLN1M,D,20190205,000000,1.06643,1.06643,1.06643,1.06643,0,0
PLWPLN1M,D,20190206,000000,1.07246,1.07246,1.07246,1.07246,0,0
PLWPLN1M,D,20190207,000000,1.06232,1.06232,1.06232,1.06232,0,0
PLWPLN1M,D,20190208,000000,1.05906,1.05906,1.05906,1.05906,0,0
PLWPLN1M,D,20190211,000000,1.05208,1.05208,1.05208,1.05208,0,0
PLWPLN1M,D,20190212,000000,1.06068,1.06068,1.06068,1.06068,0,0
PLWPLN1M,D,20190213,000000,1.07076,1.07076,1.07076,1.07076,0,0
PLWPLN1M,D,20190214,000000,1.06106,1.06106,1.06106,1.06106,0,0
PLWPLN1M,D,20190215,000000,1.06426,1.06426,1.06426,1.06426,0,0
PLWPLN1M,D,20190218,000000,1.07281,1.07281,1.07281,1.07281,0,0
PLWPLN1M,D,20190219,000000,1.0792,1.0792,1.0792,1.0792,0,0
PLWPLN1M,D,20190220,000000,1.08398,1.08398,1.08398,1.08398,0,0
PLWPLN1M,D,20190221,000000,1.09829,1.09829,1.09829,1.09829,0,0
PLWPLN1M,D,20190222,000000,1.11298,1.11298,1.11298,1.11298,0,0
PLWPLN1M,D,20190225,000000,1.14839,1.14839,1.14839,1.14839,0,0
PLWPLN1M,D,20190226,000000,1.14016,1.14016,1.14016,1.14016,0,0
PLWPLN1M,D,20190227,000000,1.12954,1.12954,1.12954,1.12954,0,0
PLWPLN1M,D,20190228,000000,1.17558,1.17558,1.17558,1.17558,0,0
PLWPLN1M,D,20190301,000000,1.21353,1.21353,1.21353,1.21353,0,0
PLWPLN1M,D,20190304,000000,1.21589,1.21589,1.21589,1.21589,0,0
PLWPLN1M,D,20190305,000000,1.21774,1.21774,1.21774,1.21774,0,0
PLWPLN1M,D,20190306,000000,1.21946,1.21946,1.21946,1.21946,0,0
PLWPLN1M,D,20190307,000000,1.22271,1.22271,1.22271,1.22271,0,0
PLWPLN1M,D,20190308,000000,1.22457,1.22457,1.22457,1.22457,0,0
PLWPLN1M,D,20190311,000000,1.2369,1.2369,1.2369,1.2369,0,0
PLWPLN1M,D,20190312,000000,1.23451,1.23451,1.23451,1.23451,0,0
PLWPLN1M,D,20190313,000000,1.23247,1.23247,1.23247,1.23247,0,0
PLWPLN1M,D,20190314,000000,1.2314,1.2314,1.2314,1.2314,0,0
PLWPLN1M,D,20190315,000000,1.2309,1.2309,1.2309,1.2309,0,0
PLWPLN1M,D,20190318,000000,1.23465,1.23465,1.23465,1.23465,0,0
PLWPLN1M,D,20190319,000000,1.2358,1.2358,1.2358,1.2358,0,0
PLWPLN1M,D,20190320,000000,1.23833,1.23833,1.23833,1.23833,0,0
PLWPLN1M,D,20190321,000000,1.23891,1.23891,1.23891,1.23891,0,0
PLWPLN1M,D,20190322,000000,1.24037,1.24037,1.24037,1.24037,0,0
PLWPLN1M,D,20190325,000000,1.24638,1.24638,1.24638,1.24638,0,0
PLWPLN1M,D,20190326,000000,1.25649,1.25649,1.25649,1.25649,0,0
PLWPLN1M,D,20190327,000000,1.26872,1.26872,1.26872,1.26872,0,0
PLWPLN1M,D,20190328,000000,1.27372,1.27372,1.27372,1.27372,0,0
PLWPLN1M,D,20190329,000000,1.27215,1.27215,1.27215,1.27215,0,0
PLWPLN1M,D,20190401,000000,1.24113,1.24113,1.24113,1.24113,0,0
PLWPLN1M,D,20190402,000000,1.2406,1.2406,1.2406,1.2406,0,0
PLWPLN1M,D,20190403,000000,1.24154,1.24154,1.24154,1.24154,0,0
PLWPLN1M,D,20190404,000000,1.23849,1.23849,1.23849,1.23849,0,0
PLWPLN1M,D,20190405,000000,1.24055,1.24055,1.24055,1.24055,0,0
PLWPLN1M,D,20190408,000000,1.23361,1.23361,1.23361,1.23361,0,0
PLWPLN1M,D,20190409,000000,1.23432,1.23432,1.23432,1.23432,0,0
PLWPLN1M,D,20190410,000000,1.23601,1.23601,1.23601,1.23601,0,0
PLWPLN1M,D,20190411,000000,1.22408,1.22408,1.22408,1.22408,0,0
PLWPLN1M,D,20190412,000000,1.22483,1.22483,1.22483,1.22483,0,0
PLWPLN1M,D,20190415,000000,1.21297,1.21297,1.21297,1.21297,0,0
PLWPLN1M,D,20190416,000000,1.21714,1.21714,1.21714,1.21714,0,0
PLWPLN1M,D,20190417,000000,1.22224,1.22224,1.22224,1.22224,0,0
PLWPLN1M,D,20190418,000000,1.21898,1.21898,1.21898,1.21898,0,0
PLWPLN1M,D,20190419,000000,1.2186,1.2186,1.2186,1.2186,0,0
PLWPLN1M,D,20190423,000000,1.22508,1.22508,1.22508,1.22508,0,0
PLWPLN1M,D,20190424,000000,1.2274,1.2274,1.2274,1.2274,0,0
PLWPLN1M,D,20190425,000000,1.22976,1.22976,1.22976,1.22976,0,0
PLWPLN1M,D,20190426,000000,1.23309,1.23309,1.23309,1.23309,0,0
PLWPLN1M,D,20190429,000000,1.20774,1.20774,1.20774,1.20774,0,0
PLWPLN1M,D,20190430,000000,1.21123,1.21123,1.21123,1.21123,0,0
PLWPLN1M,D,20190502,000000,1.24616,1.24616,1.24616,1.24616,0,0
PLWPLN1M,D,20190506,000000,1.24913,1.24913,1.24913,1.24913,0,0
PLWPLN1M,D,20190507,000000,1.24895,1.24895,1.24895,1.24895,0,0
PLWPLN1M,D,20190508,000000,1.24609,1.24609,1.24609,1.24609,0,0
PLWPLN1M,D,20190509,000000,1.24572,1.24572,1.24572,1.24572,0,0
PLWPLN1M,D,20190510,000000,1.24402,1.24402,1.24402,1.24402,0,0
PLWPLN1M,D,20190513,000000,1.25213,1.25213,1.25213,1.25213,0,0
PLWPLN1M,D,20190514,000000,1.25442,1.25442,1.25442,1.25442,0,0
PLWPLN1M,D,20190515,000000,1.26601,1.26601,1.26601,1.26601,0,0
PLWPLN1M,D,20190516,000000,1.26908,1.26908,1.26908,1.26908,0,0
PLWPLN1M,D,20190517,000000,1.27001,1.27001,1.27001,1.27001,0,0
PLWPLN1M,D,20190520,000000,1.27309,1.27309,1.27309,1.27309,0,0
PLWPLN1M,D,20190521,000000,1.27259,1.27259,1.27259,1.27259,0,0
PLWPLN1M,D,20190522,000000,1.27189,1.27189,1.27189,1.27189,0,0
PLWPLN1M,D,20190523,000000,1.26448,1.26448,1.26448,1.26448,0,0
PLWPLN1M,D,20190524,000000,1.26294,1.26294,1.26294,1.26294,0,0
PLWPLN1M,D,20190527,000000,1.25569,1.25569,1.25569,1.25569,0,0
PLWPLN1M,D,20190528,000000,1.25574,1.25574,1.25574,1.25574,0,0
PLWPLN1M,D,20190529,000000,1.28526,1.28526,1.28526,1.28526,0,0
PLWPLN1M,D,20190530,000000,1.26471,1.26471,1.26471,1.26471,0,0
PLWPLN1M,D,20190531,000000,1.26076,1.26076,1.26076,1.26076,0,0
PLWPLN1M,D,20190603,000000,1.22155,1.22155,1.22155,1.22155,0,0
PLWPLN1M,D,20190604,000000,1.22193,1.22193,1.22193,1.22193,0,0
PLWPLN1M,D,20190605,000000,1.22309,1.22309,1.22309,1.22309,0,0
PLWPLN1M,D,20190606,000000,1.21256,1.21256,1.21256,1.21256,0,0
PLWPLN1M,D,20190607,000000,1.2121,1.2121,1.2121,1.2121,0,0
PLWPLN1M,D,20190610,000000,1.212,1.212,1.212,1.212,0,0
PLWPLN1M,D,20190611,000000,1.21164,1.21164,1.21164,1.21164,0,0
PLWPLN1M,D,20190612,000000,1.21099,1.21099,1.21099,1.21099,0,0
PLWPLN1M,D,20190613,000000,1.1987,1.1987,1.1987,1.1987,0,0
PLWPLN1M,D,20190614,000000,1.19661,1.19661,1.19661,1.19661,0,0
PLWPLN1M,D,20190617,000000,1.17481,1.17481,1.17481,1.17481,0,0
PLWPLN1M,D,20190618,000000,1.17369,1.17369,1.17369,1.17369,0,0
PLWPLN1M,D,20190619,000000,1.17428,1.17428,1.17428,1.17428,0,0
PLWPLN1M,D,20190621,000000,1.15973,1.15973,1.15973,1.15973,0,0
PLWPLN1M,D,20190624,000000,1.1563,1.1563,1.1563,1.1563,0,0
PLWPLN1M,D,20190625,000000,1.15858,1.15858,1.15858,1.15858,0,0
PLWPLN1M,D,20190626,000000,1.16085,1.16085,1.16085,1.16085,0,0
PLWPLN1M,D,20190627,000000,1.16099,1.16099,1.16099,1.16099,0,0
PLWPLN1M,D,20190628,000000,1.15886,1.15886,1.15886,1.15886,0,0
PLWPLN1M,D,20190701,000000,1.16967,1.16967,1.16967,1.16967,0,0
PLWPLN1M,D,20190702,000000,1.17434,1.17434,1.17434,1.17434,0,0
PLWPLN1M,D,20190703,000000,1.1777,1.1777,1.1777,1.1777,0,0
PLWPLN1M,D,20190704,000000,1.1795,1.1795,1.1795,1.1795,0,0
PLWPLN1M,D,20190705,000000,1.17944,1.17944,1.17944,1.17944,0,0
PLWPLN1M,D,20190708,000000,1.18314,1.18314,1.18314,1.18314,0,0
PLWPLN1M,D,20190709,000000,1.18248,1.18248,1.18248,1.18248,0,0
PLWPLN1M,D,20190710,000000,1.17807,1.17807,1.17807,1.17807,0,0
PLWPLN1M,D,20190711,000000,1.17733,1.17733,1.17733,1.17733,0,0
PLWPLN1M,D,20190712,000000,1.17884,1.17884,1.17884,1.17884,0,0
PLWPLN1M,D,20190715,000000,1.18911,1.18911,1.18911,1.18911,0,0
PLWPLN1M,D,20190716,000000,1.1939,1.1939,1.1939,1.1939,0,0
PLWPLN1M,D,20190717,000000,1.19689,1.19689,1.19689,1.19689,0,0
PLWPLN1M,D,20190718,000000,1.20116,1.20116,1.20116,1.20116,0,0
PLWPLN1M,D,20190719,000000,1.20349,1.20349,1.20349,1.20349,0,0
PLWPLN1M,D,20190722,000000,1.20542,1.20542,1.20542,1.20542,0,0
PLWPLN1M,D,20190723,000000,1.20788,1.20788,1.20788,1.20788,0,0
PLWPLN1M,D,20190724,000000,1.20733,1.20733,1.20733,1.20733,0,0
PLWPLN1M,D,20190725,000000,1.20953,1.20953,1.20953,1.20953,0,0
PLWPLN1M,D,20190726,000000,1.21377,1.21377,1.21377,1.21377,0,0
PLWPLN1M,D,20190729,000000,1.2184,1.2184,1.2184,1.2184,0,0
PLWPLN1M,D,20190730,000000,1.21333,1.21333,1.21333,1.21333,0,0
PLWPLN1M,D,20190731,000000,1.21235,1.21235,1.21235,1.21235,0,0
PLWPLN1M,D,20190801,000000,1.25088,1.25088,1.25088,1.25088,0,0
PLWPLN1M,D,20190802,000000,1.25075,1.25075,1.25075,1.25075,0,0
PLWPLN1M,D,20190805,000000,1.25356,1.25356,1.25356,1.25356,0,0
PLWPLN1M,D,20190806,000000,1.25483,1.25483,1.25483,1.25483,0,0
PLWPLN1M,D,20190807,000000,1.25616,1.25616,1.25616,1.25616,0,0
PLWPLN1M,D,20190808,000000,1.25863,1.25863,1.25863,1.25863,0,0
PLWPLN1M,D,20190809,000000,1.26361,1.26361,1.26361,1.26361,0,0
PLWPLN1M,D,20190812,000000,1.2883,1.2883,1.2883,1.2883,0,0
PLWPLN1M,D,20190813,000000,1.2951,1.2951,1.2951,1.2951,0,0
PLWPLN1M,D,20190814,000000,1.29811,1.29811,1.29811,1.29811,0,0
PLWPLN1M,D,20190816,000000,1.30274,1.30274,1.30274,1.30274,0,0
PLWPLN1M,D,20190819,000000,1.30668,1.30668,1.30668,1.30668,0,0
PLWPLN1M,D,20190820,000000,1.30492,1.30492,1.30492,1.30492,0,0
PLWPLN1M,D,20190821,000000,1.30384,1.30384,1.30384,1.30384,0,0
PLWPLN1M,D,20190822,000000,1.30639,1.30639,1.30639,1.30639,0,0
PLWPLN1M,D,20190823,000000,1.30306,1.30306,1.30306,1.30306,0,0
