<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^_HU,D,20160216,000000,804.97,807.01,804.97,807.01,4430015.550066,0
^_HU,D,20160217,000000,800.87,804.1,800.87,804.1,3069115.7136886,0
^_HU,D,20160218,000000,803.67,808.74,803.67,808.74,4475508.6886239,0
^_HU,D,20160219,000000,806.74,812.59,806.74,812.59,3954112.3631907,0
^_HU,D,20160222,000000,807.43,814.46,807.43,814.46,4050479.6012376,0
^_HU,D,20160223,000000,814.73,817.42,814.73,817.42,11019782.817841,0
^_HU,D,20160224,000000,816.98,825.13,816.98,825.13,6905369.9239535,0
^_HU,D,20160225,000000,831.4,831.4,827.85,827.85,11739985.117582,0
^_HU,D,20160226,000000,827.151,827.151,825.82,825.82,5112352.5817132,0
^_HU,D,20160229,000000,823.199,827.48,823.199,827.48,5757012.2333906,0
^_HU,D,20160301,000000,828.16,835.14,828.16,835.14,7407867.9969294,0
^_HU,D,20160302,000000,822.72,831.17,822.72,831.17,5866533.5771556,0
^_HU,D,20160303,000000,822.14,827.44,822.14,827.44,3668840.0802093,0
^_HU,D,20160304,000000,828.4,832.89,828.4,832.89,12785419.82414,0
^_HU,D,20160307,000000,832.759,834.24,832.759,834.24,4457340.6817645,0
^_HU,D,20160308,000000,833.52,839.76,833.52,839.76,8140513.5267007,0
^_HU,D,20160309,000000,833.099,839.64,833.099,839.64,4284928.1464952,0
^_HU,D,20160310,000000,839.85,840.091,839.85,840.091,4280862.4024366,0
^_HU,D,20160311,000000,835.48,842.44,835.48,842.44,4288466.0605129,0
^_HU,D,20160316,000000,837.75,841.93,837.75,841.93,5155105.8465354,0
^_HU,D,20160317,000000,839.38,846.56,839.38,846.56,4559045.2984458,0
^_HU,D,20160318,000000,846.09,846.09,845.2,845.2,8879041.698066,0
^_HU,D,20160321,000000,842.46,844.07,842.46,844.07,4141591.7827667,0
^_HU,D,20160322,000000,845.63,852.74,845.63,852.74,5020345.5103532,0
^_HU,D,20160323,000000,851.56,854.53,851.56,854.53,3102544.3039524,0
^_HU,D,20160324,000000,850.49,852.45,850.49,852.45,3092992.0329542,0
^_HU,D,20160329,000000,847.78,855.01,847.78,855.01,2691203.9317935,0
^_HU,D,20160330,000000,852.059,856.47,852.059,856.47,4749141.5928305,0
^_HU,D,20160331,000000,854.46,858.68,854.46,858.68,4367701.5818726,0
^_HU,D,20160401,000000,853.6,856.12,853.6,856.12,4079238.1062583,0
^_HU,D,20160404,000000,850.421,855.14,850.421,855.14,1771416.9873715,0
^_HU,D,20160405,000000,856.241,856.241,856.23,856.23,2758523.0846689,0
^_HU,D,20160406,000000,850.59,852.75,850.59,852.75,3698433.4283406,0
^_HU,D,20160407,000000,849.93,851,849.93,851,3093282.5816006,0
^_HU,D,20160408,000000,848.01,851.69,848.01,851.69,2112450.3980745,0
^_HU,D,20160411,000000,847.36,847.47,847.36,847.47,3151373.9094664,0
^_HU,D,20160412,000000,843.41,847.52,843.41,847.52,3202584.0768899,0
^_HU,D,20160413,000000,849.78,857.41,849.78,857.41,2591733.634203,0
^_HU,D,20160414,000000,852.39,858.04,852.39,858.04,3178292.2730598,0
^_HU,D,20160415,000000,853.57,859.43,853.57,859.43,2856074.7926977,0
^_HU,D,20160418,000000,858.68,860.368,858.68,860.368,2241550.8466249,0
^_HU,D,20160419,000000,858.4,862.75,858.4,862.75,2372298.7060004,0
^_HU,D,20160420,000000,866.591,869,866.591,869,2014187.8143575,0
^_HU,D,20160421,000000,868.23,871.28,868.23,871.28,2015547.5820227,0
^_HU,D,20160422,000000,872.59,872.59,869.36,869.36,1983848.7247004,0
^_HU,D,20160425,000000,870.06,871.25,870.06,871.25,1833969.205455,0
^_HU,D,20160426,000000,867.9,869.39,867.9,869.39,2962084.3718232,0
^_HU,D,20160427,000000,868.06,869.511,868.06,869.511,2639439.7849509,0
^_HU,D,20160428,000000,868.97,873.22,868.97,873.22,2146668.312161,0
^_HU,D,20160429,000000,873,875.41,873,875.41,2902523.8363022,0
^_HU,D,20160502,000000,874.36,874.36,873.33,873.33,2547464.673942,0
^_HU,D,20160503,000000,870.73,870.73,869.97,869.97,2773630.6457862,0
^_HU,D,20160504,000000,867.67,869.64,867.67,869.64,4140179.7163452,0
^_HU,D,20160505,000000,865.85,869.1,865.85,869.1,3106032.8247002,0
^_HU,D,20160506,000000,866.63,872.62,866.63,872.62,2365392.3646755,0
^_HU,D,20160509,000000,866.55,869.2,866.55,869.2,1891687.6625578,0
^_HU,D,20160510,000000,868.3,874.911,868.3,874.911,2543485.1259818,0
^_HU,D,20160511,000000,872.689,878.06,872.689,878.06,3357788.3843283,0
^_HU,D,20160512,000000,877.95,881.16,877.95,881.16,2606705.605952,0
^_HU,D,20160513,000000,880.73,880.73,879.85,879.85,2360217.6932831,0
^_HU,D,20160517,000000,876.58,877.21,876.58,877.21,3085969.4721708,0
^_HU,D,20160518,000000,874.37,877.47,874.37,877.47,3877522.7715041,0
^_HU,D,20160519,000000,872.54,874.27,872.54,874.27,3750189.8272193,0
^_HU,D,20160520,000000,873.701,876.349,873.701,876.349,2207282.570773,0
^_HU,D,20160523,000000,869.99,870.45,869.99,870.45,2138294.7001718,0
^_HU,D,20160524,000000,867.99,869.97,867.99,869.97,2507028.050327,0
^_HU,D,20160525,000000,870.2,871.79,870.2,871.79,1949071.9887173,0
^_HU,D,20160526,000000,868.1,870.73,868.1,870.73,1514457.7014863,0
^_HU,D,20160527,000000,868.9,875.08,868.9,875.08,2235182.9887913,0
^_HU,D,20160530,000000,873.281,873.281,872.919,872.919,1274537.1567215,0
^_HU,D,20160531,000000,872.64,874.27,872.64,874.27,3679340.5082902,0
^_HU,D,20160601,000000,871.07,872.54,871.07,872.54,2294032.6486241,0
^_HU,D,20160602,000000,869.78,873.27,869.78,873.27,1602544.3031109,0
^_HU,D,20160603,000000,873.68,873.81,873.68,873.81,1283729.1473981,0
^_HU,D,20160606,000000,868.7,870.61,868.7,870.61,945166.36868506,0
^_HU,D,20160607,000000,868.86,873.45,868.86,873.45,2200424.6542225,0
